prompt_id,seed,condition,cond_tag,block_name,angle_label,angle_deg,image_path,run_id,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
P01,1618033,B1_neg,B1_neg_high,B1,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_neg_high_00001_.png,0.0,P01_s1618033_B1_neg_high_00001_.png,,52e5b19ca6,P01_s1618033_B1_neg_high_00001_.png,1024,1280,56.9397,11.3002,77.46,0.0609,#958776,3.4632,1.1803,50.24,0.3038,#0f0c0a,0.9482,81.8456,7.3242,6,0.3259,54.2624,2.5397,0.8444,68.84,0.2879,#0b0907,23.3705,26.921,29.24,0.0379,#5c2825,47.1027,39.275,36.97,0.0308,#a9594a,55.4121,15.963,255.52,0.0208,#6d889f,62.0869,55.1068,48.89,0.0259,#e17a4e,84.3853,31.2295,80.19,0.0146,#f1cd99
P01,1618033,B1_neg,B1_neg_low,B1,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_neg_low_00001_.png,1.0,P01_s1618033_B1_neg_low_00001_.png,,52e5b19ca6,P01_s1618033_B1_neg_low_00001_.png,1024,1280,69.6537,49.3291,60.02,0.0334,#e8975d,2.8244,0.9441,32.47,0.3494,#0d0a09,0.9839,82.7489,15.6824,5,0.4017,48.8838,1.8855,0.568,44.26,0.3149,#080706,41.9211,7.2455,263.05,0.0868,#5b646f,47.4492,24.9119,38.12,0.0387,#986458,48.1292,13.4546,64.57,0.0582,#846e5e,54.1552,49.4518,43.87,0.0272,#c66648,84.6344,35.1894,79.33,0.0119,#f6cd92
P01,1618033,B1_neg,B1_neg_mid,B1,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_neg_mid_00001_.png,2.0,P01_s1618033_B1_neg_mid_00001_.png,,52e5b19ca6,P01_s1618033_B1_neg_mid_00001_.png,1024,1280,58.0587,51.7311,45.72,0.0354,#d4704c,3.0956,1.0508,47.07,0.3371,#0e0b09,0.9795,83.7877,6.5576,6,0.3885,48.8897,2.2882,0.818,59.04,0.3147,#0a0807,28.883,25.3525,25.72,0.0479,#693534,47.5182,20.0434,56.97,0.0738,#8c6955,53.6638,20.3741,258.55,0.0154,#6284a2,70.7339,49.7077,60.69,0.0135,#eb9b5f,86.0759,35.1675,81.85,0.0132,#f7d296
P01,1618033,B1_pos,B1_pos_high,B1,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_pos_high_00001_.png,3.0,P01_s1618033_B1_pos_high_00001_.png,,52e5b19ca6,P01_s1618033_B1_pos_high_00001_.png,1024,1280,59.3794,9.1074,69.79,0.0628,#9b8d80,3.0362,1.3023,8.59,0.3301,#0e0a0b,0.9533,80.8945,11.487,5,0.3875,53.5728,1.8119,0.76,356.26,0.3078,#090607,38.6374,30.4368,29.65,0.0395,#894944,41.1566,15.115,46.85,0.0797,#785b50,50.587,54.3328,39.7,0.0322,#c4573f,65.8364,52.3332,59.04,0.0228,#e08c50,82.7065,20.1437,82.5,0.0178,#e1cba9
P01,1618033,B1_pos,B1_pos_low,B1,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_pos_low_00001_.png,4.0,P01_s1618033_B1_pos_low_00001_.png,,52e5b19ca6,P01_s1618033_B1_pos_low_00001_.png,1024,1280,69.1491,45.9981,61.27,0.0352,#e29860,2.8649,0.923,7.48,0.3705,#0d0a0a,0.9806,80.6772,12.2396,6,0.3962,45.8864,1.7596,0.5328,358.42,0.3328,#080606,41.3654,28.9469,34.77,0.0348,#8d5148,51.0808,15.7149,56.29,0.0634,#907464,56.702,46.4192,45.9,0.022,#c97050,66.0298,10.2207,85.77,0.033,#a99f8e,82.4368,34.9138,79.95,0.0127,#eec78d
P01,1618033,B1_pos,B1_pos_mid,B1,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_pos_mid_00001_.png,5.0,P01_s1618033_B1_pos_mid_00001_.png,,52e5b19ca6,P01_s1618033_B1_pos_mid_00001_.png,1024,1280,66.5122,10.8104,82.73,0.0495,#aca08f,3.1304,1.1412,5.35,0.338,#0e0a0b,0.9686,82.6914,7.4709,6,0.4617,50.3344,2.183,0.7727,354.72,0.3174,#0a0708,32.0874,11.7893,34.32,0.1443,#5e4641,39.0814,26.0575,35.04,0.047,#834e45,55.1907,51.1071,42.17,0.025,#cd674b,71.3344,46.4448,64.97,0.0259,#e6a062,84.8745,21.8545,83.85,0.0131,#e8d1ab
P01,P01_s1618033_B2_neg_high_00001_,,B2_neg_high,B2,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B2_neg_high_00001_.png,,P01_s1618033_B2_neg_high_00001_.png,,52e5b19ca6,P01_s1618033_B2_neg_high_00001_.png,1024,1280,74.2076,42.0445,67.92,0.0306,#e7aa6f,2.4522,0.8051,0.37,0.2754,#0b0809,0.9908,81.9612,10.2683,5,0.3416,46.4154,2.2881,0.7321,359.42,0.2708,#0a0808,34.9689,23.5664,30.66,0.033,#764540,39.4653,10.3124,48.93,0.0708,#6d5951,46.3822,44.9818,36.49,0.0245,#ae5343,62.3434,47.1475,53.8,0.0264,#d58254,84.2494,35.3759,81.15,0.0097,#f3cd90
P01,P01_s1618033_B2_neg_low_00001_,,B2_neg_low,B2,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B2_neg_low_00001_.png,,P01_s1618033_B2_neg_low_00001_.png,,52e5b19ca6,P01_s1618033_B2_neg_low_00001_.png,1024,1280,68.9089,46.2532,59.95,0.0345,#e39760,2.9251,0.9658,6.27,0.3667,#0d0a0a,0.9817,82.6905,13.788,5,0.398,44.3137,2.0202,0.6263,357.73,0.3378,#090707,36.8535,30.1573,29.39,0.0288,#834540,48.2423,21.9694,36.13,0.0324,#96675e,48.7635,12.348,65.83,0.0602,#847061,53.9181,44.9399,42.53,0.0287,#c1684e,84.7107,36.0991,80.72,0.0117,#f5ce90
P01,P01_s1618033_B2_neg_mid_00001_,,B2_neg_mid,B2,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B2_neg_mid_00001_.png,,P01_s1618033_B2_neg_mid_00001_.png,,52e5b19ca6,P01_s1618033_B2_neg_mid_00001_.png,1024,1280,72.4582,42.9479,64.81,0.0307,#e6a46b,3.475,1.1386,357.89,0.3288,#0f0c0d,0.9814,83.7581,11.5377,5,0.3627,40.956,2.2912,0.7341,344.43,0.2933,#0a0809,36.0765,23.5905,30.14,0.0376,#794843,46.3581,40.7859,34.76,0.0247,#aa5549,48.1986,14.6373,51.29,0.0694,#896c60,59.9898,41.6901,48.18,0.0292,#cc7c5b,86.0493,31.9225,82.25,0.0088,#f4d39c
P01,P01_s1618033_B2_pos_high_00001_,,B2_pos_high,B2,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B2_pos_high_00001_.png,,P01_s1618033_B2_pos_high_00001_.png,,52e5b19ca6,P01_s1618033_B2_pos_high_00001_.png,1024,1280,59.8309,49.8608,49.63,0.0419,#d4784f,2.6037,1.0752,30.22,0.3113,#0c0908,0.9763,88.104,11.995,5,0.3628,43.8478,2.4246,0.9195,29.18,0.3113,#0b0808,37.6884,26.5767,32.44,0.0515,#814a43,46.5355,19.3698,262.42,0.0202,#54718e,48.0761,43.9445,38.07,0.0266,#b15846,74.1279,44.7672,67.52,0.0176,#eaa96b,90.5286,22.8198,90.33,0.0064,#f5e2b8
