angle,block,n_cells,mean_norm_A,sd_norm_A
high,B1,6,0.8974971610855041,0.07097090715716999
high,B2,6,0.1336362121456437,0.07357485409134072
high,B3,6,0.38548228253124295,0.12072425062127343
high,B4,6,0.44083608077560754,0.10899528764293301
high,B5,6,0.16592868869826272,0.055439997736041434
high,B6,6,3.705586312892613,0.22349334422272576
low,B1,6,0.11848595307419411,0.04706513622037386
low,B2,6,0.09214999050505747,0.01881260678255333
low,B3,6,0.17026116590546367,0.05172828212131686
low,B4,6,0.14096429221606047,0.04167109172131704
low,B5,6,0.07030254327639571,0.027144101656842334
low,B6,6,0.6339678228171176,0.041084800184765694
mid,B1,6,0.3969207064630564,0.05200616975211617
mid,B2,6,0.08718513181007988,0.033552487940803864
mid,B3,6,0.2585893145093287,0.08726223641842526
mid,B4,6,0.18285533106722374,0.015621374464565605
mid,B5,6,0.11166770172976999,0.02912100675624271
mid,B6,6,1.6509774126783618,0.12300424672114775
