angle,pair,n_cells,mean_cos,p_signflip,floor
high,B1-B2,6,-0.09046175369469471,0.5625,0.03125
high,B1-B3,6,0.5492005210261867,0.03125,0.03125
high,B1-B4,6,-0.06822563179441456,0.6875,0.03125
high,B1-B5,6,0.4860420987156206,0.125,0.03125
high,B1-B6,6,-0.31776182760595606,0.03125,0.03125
high,B2-B3,6,0.2721479466480296,0.28125,0.03125
high,B2-B4,6,0.12551395491548123,0.625,0.03125
high,B2-B5,6,-0.06552174226870332,0.78125,0.03125
high,B2-B6,6,0.22120507296037317,0.4375,0.03125
high,B3-B4,6,0.3502700644304808,0.28125,0.03125
high,B3-B5,6,0.15467387771969043,0.625,0.03125
high,B3-B6,6,0.5326141277736832,0.03125,0.03125
high,B4-B5,6,0.47557480325339135,0.0625,0.03125
high,B4-B6,6,0.6211697881049371,0.03125,0.03125
high,B5-B6,6,-0.17681170405923363,0.28125,0.03125
low,B1-B2,6,0.11198768130629178,0.65625,0.03125
low,B1-B3,6,0.03536196051800065,0.8125,0.03125
low,B1-B4,6,-0.21326353061643558,0.375,0.03125
low,B1-B5,6,0.3429016238140627,0.09375,0.03125
low,B1-B6,6,0.043759959379376705,0.875,0.03125
low,B2-B3,6,0.329887950869554,0.15625,0.03125
low,B2-B4,6,0.46007619453774257,0.15625,0.03125
low,B2-B5,6,0.40514850429517174,0.03125,0.03125
low,B2-B6,6,0.34030873346454915,0.21875,0.03125
low,B3-B4,6,0.28614272575190397,0.21875,0.03125
low,B3-B5,6,0.2617460865774252,0.40625,0.03125
low,B3-B6,6,0.6233415095324178,0.03125,0.03125
low,B4-B5,6,0.574913019101995,0.03125,0.03125
low,B4-B6,6,0.609202522602665,0.0625,0.03125
low,B5-B6,6,0.53404141628488,0.0625,0.03125
mid,B1-B2,6,-0.4807972157769211,0.03125,0.03125
mid,B1-B3,6,0.19867036313802613,0.125,0.03125
mid,B1-B4,6,-0.46180895010663403,0.03125,0.03125
mid,B1-B5,6,0.08146350634416387,0.6875,0.03125
mid,B1-B6,6,-0.5138453165450706,0.03125,0.03125
mid,B2-B3,6,0.02176482303358764,0.96875,0.03125
mid,B2-B4,6,0.269058983458584,0.3125,0.03125
mid,B2-B5,6,0.2574587806068564,0.25,0.03125
mid,B2-B6,6,0.14692286932807555,0.625,0.03125
mid,B3-B4,6,0.47692540935419986,0.0625,0.03125
mid,B3-B5,6,0.2815575264603071,0.375,0.03125
mid,B3-B6,6,0.4867851972910819,0.03125,0.03125
mid,B4-B5,6,0.457091402776983,0.125,0.03125
mid,B4-B6,6,0.758740295215759,0.03125,0.03125
mid,B5-B6,6,0.1319571401554601,0.4375,0.03125
