set_id,condition,folder,image_file,preset_file,model_strength,clip_strength,prompt_key,prompt_sha1,seed,barnacles,comfy_image_file,comfy_folder
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,1337.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,1337,1,G1_blockshuf_exact_seed1337_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,42.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,42,1,G1_blockshuf_exact_seed42_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,4242145.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,4242145,1,G1_blockshuf_exact_seed4242145_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,777.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,777,1,G1_blockshuf_exact_seed777_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,9999.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,9999,1,G1_blockshuf_exact_seed9999_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,101.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,101,1,G1_blockshuf_exact_seed101_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,102.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,102,1,G1_blockshuf_exact_seed102_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,103.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,103,1,G1_blockshuf_exact_seed103_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,104.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,104,1,G1_blockshuf_exact_seed104_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,105.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,105,1,G1_blockshuf_exact_seed105_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,106.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,106,1,G1_blockshuf_exact_seed106_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,107.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,107,1,G1_blockshuf_exact_seed107_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,108.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,108,1,G1_blockshuf_exact_seed108_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,109.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,109,0,G1_blockshuf_exact_seed109_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,110.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,110,1,G1_blockshuf_exact_seed110_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,201.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,201,1,G1_blockshuf_exact_seed201_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,202.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,202,1,G1_blockshuf_exact_seed202_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,203.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,203,1,G1_blockshuf_exact_seed203_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,204.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,204,1,G1_blockshuf_exact_seed204_00001_.png,1_exact
A1,"blockshuffle, full prompt",A1_blockshuffle_full_prompt,205.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,full,30de058455,205,1,G1_blockshuf_exact_seed205_00001_.png,1_exact
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,1337.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,1337,0,G1_blockshuf_no_barnacles_seed1337_00001_.png,2_no_barnacles
A2,"blockshuffle, barnacle keyword removed",A2_no_barnacles,42.png,Arthemy_Bench_BLOCKSHUFFLE.json,1.0,1.0,no_keyword,8b9be1cef5,42,0,G1_blockshuf_no_barnacles_seed42_00001_.png,2_no_barnacles
