scale,side_px,feature,n_prompts,seed,mean_diff,sd_diff,dz,abs_dz,p_sign_flip,p_floor,contrast,fraction_of_native_dz
native,native 1024x1280,stroke_width_median_px,16,1337,0.00155,0.567448,0.0027,0.0027,1.0,3.052e-05,preset_pos minus blockshuf_pos,92.5926
native,native 1024x1280,stroke_width_std_px,16,1337,0.052209,0.118458,0.4407,0.4407,0.09854126,3.052e-05,preset_pos minus blockshuf_pos,2.4588
native,native 1024x1280,stroke_width_cv,16,1337,0.012442,0.066674,0.1866,0.1866,0.46893311,3.052e-05,preset_pos minus blockshuf_pos,2.4432
native,native 1024x1280,edge_density,16,1337,-0.005042,0.008605,-0.586,0.586,0.03442383,3.052e-05,preset_pos minus blockshuf_pos,0.5817
native,native 1024x1280,contour_mean_length_px,16,1337,2.001886,11.679175,0.1714,0.1714,0.50033569,3.052e-05,preset_pos minus blockshuf_pos,2.1272
native,native 1024x1280,contour_n_components,16,1337,-102.0,164.705394,-0.6193,0.6193,0.0262146,3.052e-05,preset_pos minus blockshuf_pos,0.8101
native,native 1024x1280,crosshatch_entropy_mean,16,1337,-0.247873,0.133182,-1.8612,1.8612,3.052e-05,3.052e-05,preset_pos minus blockshuf_pos,0.3867
native,native 1024x1280,crosshatch_entropy_p90,16,1337,-0.149911,0.167686,-0.894,0.894,0.00082397,3.052e-05,preset_pos minus blockshuf_pos,0.7258
native,native 1024x1280,lbp_entropy,16,1337,-0.119228,0.162961,-0.7316,0.7316,0.00012207,3.052e-05,preset_pos minus blockshuf_pos,0.915
native,native 1024x1280,glcm_contrast,16,1337,-0.509899,1.003445,-0.5081,0.5081,0.06201172,3.052e-05,preset_pos minus blockshuf_pos,0.5273
native,native 1024x1280,fft_high_freq_share,16,1337,0.0,2e-06,0.0684,0.0684,0.78695679,3.052e-05,preset_pos minus blockshuf_pos,1.4561
clip224,224x224,stroke_width_median_px,16,1337,0.1,0.4,0.25,0.25,0.625,3.052e-05,preset_pos minus blockshuf_pos,92.5926
clip224,224x224,stroke_width_std_px,16,1337,0.279787,0.25821,1.0836,1.0836,0.00018311,3.052e-05,preset_pos minus blockshuf_pos,2.4588
clip224,224x224,stroke_width_cv,16,1337,0.069015,0.151395,0.4559,0.4559,0.08889771,3.052e-05,preset_pos minus blockshuf_pos,2.4432
clip224,224x224,edge_density,16,1337,-0.004884,0.014328,-0.3409,0.3409,0.19488525,3.052e-05,preset_pos minus blockshuf_pos,0.5817
clip224,224x224,contour_mean_length_px,16,1337,0.986989,2.706892,0.3646,0.3646,0.16207886,3.052e-05,preset_pos minus blockshuf_pos,2.1272
clip224,224x224,contour_n_components,16,1337,-30.25,60.300912,-0.5017,0.5017,0.06155396,3.052e-05,preset_pos minus blockshuf_pos,0.8101
clip224,224x224,crosshatch_entropy_mean,16,1337,-0.0348,0.048356,-0.7197,0.7197,0.01046753,3.052e-05,preset_pos minus blockshuf_pos,0.3867
clip224,224x224,crosshatch_entropy_p90,16,1337,-0.017033,0.026251,-0.6489,0.6489,0.01516724,3.052e-05,preset_pos minus blockshuf_pos,0.7258
clip224,224x224,lbp_entropy,16,1337,-0.077463,0.115726,-0.6694,0.6694,0.00061035,3.052e-05,preset_pos minus blockshuf_pos,0.915
clip224,224x224,glcm_contrast,16,1337,-1.061232,3.961421,-0.2679,0.2679,0.30316162,3.052e-05,preset_pos minus blockshuf_pos,0.5273
clip224,224x224,fft_high_freq_share,16,1337,-1.3e-05,0.000134,-0.0996,0.0996,0.69564819,3.052e-05,preset_pos minus blockshuf_pos,1.4561
