metric,contrast,delta,ci_lo,ci_hi,t,dz,p,p_holm,n_prompts
PC1,Preset+  -  Block+,-2.69634,-3.29798,-2.09471,-9.455,-2.229,2e-05,6e-05,18
PC1,Preset+  -  Rand+,-1.53473,-2.11503,-0.95443,-5.58,-1.315,6e-05,0.00012,18
PC1,Block+   -  Rand+,1.16162,0.33259,1.99064,2.956,0.697,0.00952,0.00952,18
PC1,A (odd)   Preset,-2.1365,-2.5276,-1.74541,-11.526,-2.717,2e-05,,18
PC1,A (odd)   Block,0.82691,0.40966,1.24416,4.181,0.986,0.00078,,18
PC1,A (odd)   Rand,-0.20424,-0.63303,0.22454,-1.005,-0.237,0.32309,,18
PC1,S (even)  Preset,0.22153,-0.19225,0.63532,1.13,0.266,0.27561,,18
PC2,Preset+  -  Block+,-0.05513,-0.40301,0.29275,-0.334,-0.079,0.74703,0.74703,18
PC2,Preset+  -  Rand+,-2.72628,-3.19053,-2.26204,-12.39,-2.92,2e-05,6e-05,18
PC2,Block+   -  Rand+,-2.67115,-3.06932,-2.27298,-14.154,-3.336,2e-05,6e-05,18
PC2,A (odd)   Preset,-0.9342,-1.16609,-0.70232,-8.5,-2.003,2e-05,,18
PC2,A (odd)   Block,-1.11052,-1.35165,-0.86939,-9.717,-2.29,2e-05,,18
PC2,A (odd)   Rand,1.19969,0.92707,1.47232,9.284,2.188,2e-05,,18
PC2,S (even)  Preset,-0.27461,-0.52625,-0.02297,-2.302,-0.543,0.03386,,18
PC3,Preset+  -  Block+,0.59883,0.29861,0.89906,4.208,0.992,0.00054,0.00054,18
PC3,Preset+  -  Rand+,-0.86148,-1.2119,-0.51105,-5.187,-1.223,0.00022,0.00044,18
PC3,Block+   -  Rand+,-1.46031,-1.79516,-1.12546,-9.201,-2.169,2e-05,6e-05,18
PC3,A (odd)   Preset,0.33314,0.11628,0.54999,3.241,0.764,0.00588,,18
PC3,A (odd)   Block,-0.09047,-0.34576,0.16482,-0.748,-0.176,0.46134,,18
PC3,A (odd)   Rand,0.70892,0.42881,0.98902,5.34,1.259,0.00019,,18
PC3,S (even)  Preset,-0.10349,-0.44864,0.24166,-0.633,-0.149,0.54949,,18
stroke_width_median_px,Preset+  -  Block+,0.18975,0.00858,0.37092,2.21,0.521,0.04305,0.12915,18
stroke_width_median_px,Preset+  -  Rand+,0.25948,-0.02778,0.54673,1.906,0.449,0.07431,0.14862,18
stroke_width_median_px,Block+   -  Rand+,0.06973,-0.17485,0.31431,0.602,0.142,0.54122,0.54122,18
stroke_width_median_px,A (odd)   Preset,0.45193,0.2793,0.62456,5.523,1.302,8e-05,,18
stroke_width_median_px,A (odd)   Block,0.27038,0.09444,0.44633,3.242,0.764,0.00531,,18
stroke_width_median_px,A (odd)   Rand,0.17303,-0.06696,0.41302,1.521,0.359,0.15026,,18
stroke_width_median_px,S (even)  Preset,-0.03739,-0.15645,0.08166,-0.663,-0.156,0.52055,,18
contour_mean_length_px,Preset+  -  Block+,0.98262,0.65095,1.3143,6.251,1.473,3e-05,9e-05,18
