metric,contrast,delta,ci_lo,ci_hi,t,dz,p,p_holm,n_prompts
PC1,Preset+  -  Block+,-2.53214,-2.99688,-2.06741,-11.271,-2.301,1e-05,3e-05,24
PC1,Preset+  -  Rand+,-2.11668,-2.69166,-1.5417,-7.615,-1.554,1e-05,3e-05,24
PC1,Block+   -  Rand+,0.41546,-0.371,1.20192,1.093,0.223,0.28546,0.28546,24
PC1,A (odd)   Preset,-2.26278,-2.58648,-1.93908,-14.461,-2.952,1e-05,,24
PC1,A (odd)   Block,0.59501,0.26304,0.92698,3.708,0.757,0.00102,,24
PC1,A (odd)   Rand,0.10926,-0.29707,0.51559,0.556,0.114,0.58057,,24
PC1,S (even)  Preset,0.19367,-0.11312,0.50046,1.306,0.267,0.20544,,24
PC2,Preset+  -  Block+,0.23491,-0.08318,0.553,1.528,0.312,0.14066,0.14066,24
PC2,Preset+  -  Rand+,-2.61302,-2.97837,-2.24768,-14.795,-3.02,1e-05,3e-05,24
PC2,Block+   -  Rand+,-2.84793,-3.18381,-2.51206,-17.541,-3.58,1e-05,3e-05,24
PC2,A (odd)   Preset,-0.71816,-0.94429,-0.49202,-6.57,-1.341,1e-05,,24
PC2,A (odd)   Block,-1.18295,-1.37237,-0.99354,-12.919,-2.637,1e-05,,24
PC2,A (odd)   Rand,1.24737,1.04597,1.44877,12.812,2.615,1e-05,,24
PC2,S (even)  Preset,-0.29246,-0.52277,-0.06215,-2.627,-0.536,0.01559,,24
PC3,Preset+  -  Block+,0.4294,0.14743,0.71137,3.15,0.643,0.00462,0.00462,24
PC3,Preset+  -  Rand+,-0.7018,-0.97727,-0.42634,-5.27,-1.076,5e-05,0.0001,24
PC3,Block+   -  Rand+,-1.1312,-1.41695,-0.84546,-8.189,-1.672,1e-05,3e-05,24
PC3,A (odd)   Preset,0.36446,0.1895,0.53942,4.309,0.88,0.0003,,24
PC3,A (odd)   Block,-0.00873,-0.22832,0.21086,-0.082,-0.017,0.93336,,24
PC3,A (odd)   Rand,0.62542,0.4102,0.84065,6.011,1.227,1e-05,,24
PC3,S (even)  Preset,-0.12821,-0.39253,0.1361,-1.003,-0.205,0.3387,,24
stroke_width_median_px,Preset+  -  Block+,0.23759,0.07605,0.39912,3.043,0.621,0.00546,0.01638,24
stroke_width_median_px,Preset+  -  Rand+,0.39361,0.10116,0.68605,2.784,0.568,0.0101,0.0202,24
stroke_width_median_px,Block+   -  Rand+,0.15602,-0.07322,0.38527,1.408,0.287,0.17391,0.17391,24
stroke_width_median_px,A (odd)   Preset,0.52267,0.36452,0.68083,6.837,1.396,1e-05,,24
stroke_width_median_px,A (odd)   Block,0.26982,0.12111,0.41853,3.753,0.766,0.00114,,24
stroke_width_median_px,A (odd)   Rand,0.15173,-0.03341,0.33687,1.695,0.346,0.10187,,24
stroke_width_median_px,S (even)  Preset,-0.02109,-0.12545,0.08328,-0.418,-0.085,0.68953,,24
contour_mean_length_px,Preset+  -  Block+,0.92697,0.67062,1.18333,7.48,1.527,1e-05,3e-05,24
contour_mean_length_px,Preset+  -  Rand+,0.86907,0.52026,1.21788,5.154,1.052,5e-05,0.0001,24
contour_mean_length_px,Block+   -  Rand+,-0.0579,-0.40483,0.28902,-0.345,-0.07,0.73365,0.73365,24
