image_path,output_folder,file,bench,prompt_id,seed,condition,recorded_in,notebook_page
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\00_baseline_00001_.png,benchmark_african_scientist,00_baseline_00001_.png,pilot_rotations,african_scientist,4242145,baseline,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_1_rotX_+15.0_00001_.png,rotations,Block_1_rotX_+15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_1_rotX_+30.0_00001_.png,rotations,Block_1_rotX_+30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_1_rotX_-15.0_00001_.png,rotations,Block_1_rotX_-15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_1_rotX_-30.0_00001_.png,rotations,Block_1_rotX_-30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_2_rotX_+15.0_00001_.png,rotations,Block_2_rotX_+15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_2_rotX_+30.0_00001_.png,rotations,Block_2_rotX_+30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_2_rotX_-15.0_00001_.png,rotations,Block_2_rotX_-15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_2_rotX_-30.0_00001_.png,rotations,Block_2_rotX_-30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_3_rotX_+15.0_00001_.png,rotations,Block_3_rotX_+15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_3_rotX_+30.0_00001_.png,rotations,Block_3_rotX_+30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_3_rotX_-15.0_00001_.png,rotations,Block_3_rotX_-15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_3_rotX_-30.0_00001_.png,rotations,Block_3_rotX_-30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_4_rotX_+15.0_00001_.png,rotations,Block_4_rotX_+15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_4_rotX_+30.0_00001_.png,rotations,Block_4_rotX_+30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_4_rotX_-15.0_00001_.png,rotations,Block_4_rotX_-15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_4_rotX_-30.0_00001_.png,rotations,Block_4_rotX_-30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_5_rotX_+15.0_00001_.png,rotations,Block_5_rotX_+15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_5_rotX_+30.0_00001_.png,rotations,Block_5_rotX_+30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_5_rotX_-15.0_00001_.png,rotations,Block_5_rotX_-15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_5_rotX_-30.0_00001_.png,rotations,Block_5_rotX_-30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_6_rotX_+15.0_00001_.png,rotations,Block_6_rotX_+15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_6_rotX_+30.0_00001_.png,rotations,Block_6_rotX_+30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_6_rotX_-15.0_00001_.png,rotations,Block_6_rotX_-15.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_6_rotX_-30.0_00001_.png,rotations,Block_6_rotX_-30.0_00001_.png,pilot_rotations,african_scientist,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\00_baseline_00001_.png,benchmark_combat_robot,00_baseline_00001_.png,pilot_rotations,combat_robot,4242145,baseline,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_1_rotX_+15.0_00001_.png,rotations,Block_1_rotX_+15.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,pilot_rotations_palette_features.csv; pilot_rotations_style_features.csv,04-where-in-the-model
