model,slot,dose,n_pairs,null_threshold,mean_abs_diff,frac_above_floor,composition_shift_px,maps_interpretable
krea2,Block_1neg,0.05,9,0.40158,0.09328149259090424,0.0,0.0,True
krea2,Block_1pos,0.02,9,0.40158,0.06541881710290909,0.0,0.0,True
krea2,Block_1pos,0.035,9,0.40158,0.07573787122964859,0.0,0.0,True
krea2,Block_1pos,0.05,9,0.40158,0.08735688775777817,0.0,0.0,True
krea2,Block_1pos,0.08,9,0.40158,0.09576918929815292,0.0,0.0,True
krea2,Block_1pos,0.12,9,0.40158,0.10987095534801483,0.0,0.0,True
krea2,Block_1pos,0.2,9,0.40158,0.14249776303768158,0.0,0.0,True
krea2,Block_2neg,0.05,6,0.40158,0.09755454212427139,1.220703125e-05,0.0,True
krea2,Block_2pos,0.02,6,0.40158,0.07315794378519058,0.0,0.0,True
krea2,Block_2pos,0.035,6,0.40158,0.09649459272623062,4.8828125e-05,0.0,True
krea2,Block_2pos,0.05,6,0.40158,0.10608790069818497,6.103515625e-05,0.0,True
krea2,Block_2pos,0.08,6,0.40158,0.1140933409333229,0.000146484375,0.0,True
krea2,Block_2pos,0.12,6,0.40158,0.12625554203987122,0.000341796875,0.0,True
krea2,Block_2pos,0.2,6,0.40158,0.14598041772842407,0.00050048828125,0.0,True
krea2,Block_3neg,0.05,6,0.40158,0.1033228263258934,7.32421875e-05,0.0,True
krea2,Block_3pos,0.02,6,0.40158,0.07095310837030411,8.544921875e-05,0.0,True
krea2,Block_3pos,0.035,6,0.40158,0.08544568717479706,8.544921875e-05,0.0,True
krea2,Block_3pos,0.05,6,0.40158,0.09410654008388519,8.544921875e-05,0.0,True
krea2,Block_3pos,0.08,6,0.40158,0.10920592397451401,0.0001220703125,0.0,True
krea2,Block_3pos,0.12,6,0.40158,0.1316906213760376,0.0005615234375,0.0,True
krea2,Block_3pos,0.2,6,0.40158,0.1562173068523407,0.00206298828125,0.0,True
krea2,Block_4neg,0.05,6,0.40158,0.08697640895843506,3.662109375e-05,0.0,True
krea2,Block_4pos,0.02,6,0.40158,0.058250438421964645,1.220703125e-05,0.0,True
krea2,Block_4pos,0.035,6,0.40158,0.06822562217712402,0.0,0.0,True
krea2,Block_4pos,0.05,6,0.40158,0.07856130599975586,1.220703125e-05,0.0,True
krea2,Block_4pos,0.08,6,0.40158,0.10050300508737564,0.00010986328125,0.0,True
krea2,Block_4pos,0.12,6,0.40158,0.1280810534954071,0.00108642578125,0.0,True
krea2,Block_4pos,0.2,6,0.40158,0.15508881211280823,0.00205078125,0.0,True
krea2,Block_5neg,0.05,6,0.40158,0.0713111162185669,0.0,0.0,True
krea2,Block_5pos,0.02,6,0.40158,0.06008169800043106,0.0,0.0,True
krea2,Block_5pos,0.035,6,0.40158,0.07426013052463531,0.0,0.0,True
krea2,Block_5pos,0.05,6,0.40158,0.08710580319166183,3.662109375e-05,0.0,True
krea2,Block_5pos,0.08,6,0.40158,0.0972667708992958,8.544921875e-05,0.0,True
krea2,Block_5pos,0.12,6,0.40158,0.11183010041713715,0.0004638671875,0.0,True
krea2,Block_5pos,0.2,6,0.40158,0.1337164342403412,0.0018798828125,0.0,True
krea2,Block_6neg,0.05,9,0.40158,0.062239039689302444,0.0,0.0,True
krea2,Block_6pos,0.02,9,0.40158,0.0483090803027153,0.0,0.0,True
krea2,Block_6pos,0.035,9,0.40158,0.062221772968769073,0.0,0.0,True
krea2,Block_6pos,0.05,9,0.40158,0.07270985841751099,0.0,0.0,True
krea2,Block_6pos,0.08,9,0.40158,0.08562939614057541,0.0,0.0,True
krea2,Block_6pos,0.12,9,0.40158,0.0999068096280098,0.0,0.0,True
krea2,Block_6pos,0.2,9,0.40158,0.1285938322544098,1.220703125e-05,0.0,True
krea2,Projectionneg,0.05,3,0.40158,0.047510772943496704,2.44140625e-05,0.0,True
krea2,Projectionpos,0.05,3,0.40158,0.04718159884214401,2.44140625e-05,0.0,True
krea2,Text_Fusionneg,0.05,6,0.40158,0.09049389511346817,0.0,0.0,True
krea2,Text_Fusionpos,0.05,6,0.40158,0.08170242607593536,1.220703125e-05,0.0,True
krea2,Time_Embedneg,0.05,3,0.40158,0.06742270290851593,0.0003662109375,0.0,True
krea2,Time_Embedpos,0.05,4,0.40158,0.08540655672550201,0.00020751953125,0.0,True
