feature,mean_P01,sd_P01,relative_sigma_pct_P01,n_seeds_P01,mean_P02,sd_P02,relative_sigma_pct_P02,n_seeds_P02
color_cluster_entropy_norm,0.87269439,0.0130945,1.5005,16,0.94307719,0.01046946,1.1101,16
glcm_homogeneity,0.71267409,0.00618509,0.8679,16,0.66003587,0.00865182,1.3108,16
shadow_edge_transition_width_std,6.18636743,0.14358932,2.3211,16,6.49746425,0.17405881,2.6789,16
crosshatch_entropy_mean,3.21590479,0.02706006,0.8414,16,2.96872525,0.03309561,1.1148,16
glcm_correlation,0.88033014,0.00527125,0.5988,16,0.87743212,0.00709109,0.8082,16
crosshatch_entropy_p90,3.99556787,0.01668955,0.4177,16,3.89238742,0.03425816,0.8801,16
edge_density,0.12321849,0.00357123,2.8983,16,0.14124861,0.00458427,3.2455,16
lbp_uniform_share,0.83553295,0.00373714,0.4473,16,0.82465696,0.00301046,0.3651,16
shadow_edge_transition_width_px,16.40625,0.49053542,2.9899,16,14.5625,0.51234754,3.5183,16
color_n_effective,11.2486124,0.4126765,3.6687,16,13.66937271,0.39321482,2.8766,16
lbp_entropy,3.1514004,0.00828188,0.2628,16,3.16623998,0.00457816,0.1446,16
stroke_width_std_px,2.12691075,0.08750666,4.1143,16,2.30743383,0.06034368,2.6152,16
glcm_contrast,8.71525637,0.27381416,3.1418,16,19.31513327,0.71124735,3.6823,16
colorfulness_hs,38.90896964,1.36816794,3.5163,16,33.56897557,1.20922629,3.6022,16
fft_radial_slope,-3.39721304,0.02209316,-0.6503,16,-3.37380619,0.02212381,-0.6558,16
color_top4_cluster_share,0.54114375,0.01846179,3.4116,16,0.45400313,0.02801011,6.1696,16
contour_mean_length_px,63.0428804,3.70665587,5.8796,16,54.33333783,2.46033,4.5282,16
contour_n_components,2571.4375,187.14520877,7.2778,16,3414.0625,194.45529692,5.6957,16
glcm_energy,0.24108171,0.01647295,6.8329,16,0.15195208,0.01023349,6.7347,16
fft_high_freq_share,1.996e-05,1.39e-06,6.96,16,1.624e-05,1.51e-06,9.279,16
stroke_width_median_px,2.79999995,0.0,0.0,16,3.47499998,0.61481707,17.6926,16
stroke_width_cv,0.75961099,0.03125238,4.1143,16,0.68449944,0.12470738,18.2188,16
luminance_hist_n_peaks,1.5,0.63245553,42.1637,16,3.5,0.51639778,14.7542,16
