file,bench,prompt_id,model,seed,width_px,height_px,hf,duplicate_of_earlier_bench,counted_in_sigma,sha256
P01_baseline_lat_krea2_seed1337_00001_.png,benchmark_latenti_b6,P01,krea2,1337,1024,1280,12.915333,no,yes,6a1f29294ed515052978af6c608cb075a3d40779ee14ffb1035ebe3cefa23cd1
P01_baseline_lat_krea2_seed42_00001_.png,benchmark_latenti_b6,P01,krea2,42,1024,1280,12.905408,no,yes,cbc0579cd9feb360ae8986f03f9914baf55d02229b5c3fb29e21be9cce285c37
P01_baseline_lat_krea2_seed777_00001_.png,benchmark_latenti_b6,P01,krea2,777,1024,1280,12.837955,no,yes,70df973c2878611828a11d140106391f74f12f66cf50b77a30ac643e11a9a79f
P02_baseline_lat_krea2_seed1337_00001_.png,benchmark_latenti_b6,P02,krea2,1337,1024,1280,19.626402,no,yes,5684173166dae9961bb7c2c0a26b4eac1effeeb18b2ce47ea426fb0a0e689af6
P02_baseline_lat_krea2_seed42_00001_.png,benchmark_latenti_b6,P02,krea2,42,1024,1280,18.676889,no,yes,1a92dbdb6fab5b62fe067cea830aafd41e4faff0b1e579d8a0b269ace16853dc
P02_baseline_lat_krea2_seed777_00001_.png,benchmark_latenti_b6,P02,krea2,777,1024,1280,19.09388,no,yes,fe16180173df42e016ac7f591299b76cdcc555dfc27818c5b1a2a9910dff337a
P01_baseline_lat_krea2_seed101_00001_.png,benchmark_pavimento_rumore,P01,krea2,101,1024,1280,12.489388,no,yes,cd2d77ccbabd32da1dafafda0a7a25a170dd68c4e77ee6cf04689ed140cee5fa
P01_baseline_lat_krea2_seed102_00001_.png,benchmark_pavimento_rumore,P01,krea2,102,1024,1280,12.619583,no,yes,555b11720e2636459aec08c9252b065e856172950cda851e2d234d031bb6897d
P01_baseline_lat_krea2_seed103_00001_.png,benchmark_pavimento_rumore,P01,krea2,103,1024,1280,12.575871,no,yes,01e1cbe36fba657e4e3190f38c43799884edb8904c97760d38f896cd2ddd31de
P01_baseline_lat_krea2_seed104_00001_.png,benchmark_pavimento_rumore,P01,krea2,104,1024,1280,12.65982,no,yes,c4521b1af8855a4d6150dfbd03c8fce332966b0f00c63b8b2cec859cecd6dac5
P01_baseline_lat_krea2_seed105_00001_.png,benchmark_pavimento_rumore,P01,krea2,105,1024,1280,12.7693,no,yes,70e4158dfb92aa49ee63d2181a410fb2d9ecc9bf3981cbbda811924786027461
P01_baseline_lat_krea2_seed106_00001_.png,benchmark_pavimento_rumore,P01,krea2,106,1024,1280,12.720412,no,yes,68790f3333fda136fbda78f9a6389983f62e2a7aef578d10d0781eb5bbc56f72
P01_baseline_lat_krea2_seed107_00001_.png,benchmark_pavimento_rumore,P01,krea2,107,1024,1280,13.126958,no,yes,e41ba25d6f67a85d51e591a0914822adb7b6853cf399b4255a378a83be1e1f68
P01_baseline_lat_krea2_seed108_00001_.png,benchmark_pavimento_rumore,P01,krea2,108,1024,1280,12.510121,no,yes,0502ecbba5fedb72256ee8bf01228cd1b2a7286e9b418ce7aff713a28ba98fc0
P01_baseline_lat_krea2_seed109_00001_.png,benchmark_pavimento_rumore,P01,krea2,109,1024,1280,12.722199,no,yes,4a85c34a4e168e4e7e70e8299985d10541c215f0e94f2af197728680469fe33c
P01_baseline_lat_krea2_seed110_00001_.png,benchmark_pavimento_rumore,P01,krea2,110,1024,1280,12.473421,no,yes,d289c548043e15ba077720ff6156f70bbeb916ddcc3afda036b5d15337ed175c
P01_baseline_lat_krea2_seed111_00001_.png,benchmark_pavimento_rumore,P01,krea2,111,1024,1280,12.240212,no,yes,79a9a4954e01278f97b7f26be13149443b3f90c698e0d6c2947a33486fb732bd
P01_baseline_lat_krea2_seed112_00001_.png,benchmark_pavimento_rumore,P01,krea2,112,1024,1280,12.550944,no,yes,aea808ea8f91c2d63e27995fffafd4cb9509797e2501a5bbc102ccafd0d7ac77
P01_baseline_lat_krea2_seed113_00001_.png,benchmark_pavimento_rumore,P01,krea2,113,1024,1280,12.889196,no,yes,e8ddb160a902546a8ac10e4295f63b7b3a0585ef1398c14aab31b64968c60049
P01_baseline_lat_krea2_seed114_00001_.png,benchmark_pavimento_rumore,P01,krea2,114,1024,1280,12.562008,no,yes,81ffb819ef388820b9ddd64d6f3ca52fedbeb4fc0338d410b9e1dd0a7098fb6e
P01_baseline_lat_krea2_seed115_00001_.png,benchmark_pavimento_rumore,P01,krea2,115,1024,1280,12.589189,no,yes,c62a781804706acdab7b808fa6ee8a9cfe64a267b96d7c3cc1925722efdc1d4b
P01_baseline_lat_krea2_seed42_00001_.png,benchmark_pavimento_rumore,P01,krea2,42,1024,1280,12.905408,yes,no,4ecdc215f80975e691c3a0c5f23cc52c30957e33c7f8c2334e0197219d66edcd
P02_baseline_lat_krea2_seed101_00001_.png,benchmark_pavimento_rumore,P02,krea2,101,1024,1280,19.060995,no,yes,0d27dc2e00ef66232a5ca0cfd5915e634b7baa0dbc52944d8481e18878320ca1
P02_baseline_lat_krea2_seed102_00001_.png,benchmark_pavimento_rumore,P02,krea2,102,1024,1280,19.357655,no,yes,e9991c4a4bcaab49ee8bd94b1d9c634c226893c90fa85df973205b40ad944478
P02_baseline_lat_krea2_seed103_00001_.png,benchmark_pavimento_rumore,P02,krea2,103,1024,1280,19.562902,no,yes,c0d496f5033b2e9de9c5938bc228a5cb221121221c9a9f9d3d0c7b361a75dd21
P02_baseline_lat_krea2_seed104_00001_.png,benchmark_pavimento_rumore,P02,krea2,104,1024,1280,18.863506,no,yes,97b47b3f6f987fe39bd8279ad17df5adb00aa3690e3c3cfb6fde3bf9a500e406
P02_baseline_lat_krea2_seed105_00001_.png,benchmark_pavimento_rumore,P02,krea2,105,1024,1280,19.011063,no,yes,4c3b53b7757bbe561ddbd956292f180662fd84691d1a66c45fa3d73a65fb3e5f
P02_baseline_lat_krea2_seed106_00001_.png,benchmark_pavimento_rumore,P02,krea2,106,1024,1280,19.074013,no,yes,dd7bfe38b10946d2479c72c0f5dd7d759eca03dbff389bf2c5483a02aa9c2785
P02_baseline_lat_krea2_seed107_00001_.png,benchmark_pavimento_rumore,P02,krea2,107,1024,1280,18.611328,no,yes,ccd76e7d0fbf9aa3459370bc4ef6095d9c0f0d86dd5911fcbf9027385c661291
P02_baseline_lat_krea2_seed108_00001_.png,benchmark_pavimento_rumore,P02,krea2,108,1024,1280,19.193039,no,yes,1923af85593f951a00d75db40775a4ab8f3048d00a35d0da1cf21adb96005a61
P02_baseline_lat_krea2_seed109_00001_.png,benchmark_pavimento_rumore,P02,krea2,109,1024,1280,18.595436,no,yes,283bd64aa82008a7f5c2a493851afa2d56fe01a1ab9b1e44fc2bd125f675d99c
P02_baseline_lat_krea2_seed110_00001_.png,benchmark_pavimento_rumore,P02,krea2,110,1024,1280,19.571636,no,yes,09a46ba70476da794de21cbc62c9caa1d2199af9a7f79c4463cec2c3fc36e53c
P02_baseline_lat_krea2_seed111_00001_.png,benchmark_pavimento_rumore,P02,krea2,111,1024,1280,18.835638,no,yes,93819ebfd00831e37cb96c4d801fe681f25eaf95356879d6d1218588e91ed4ea
P02_baseline_lat_krea2_seed112_00001_.png,benchmark_pavimento_rumore,P02,krea2,112,1024,1280,19.468151,no,yes,931126daf49b000e9584d24a42f7404eb6723b35099bbf484c937b2b5dbcf029
P02_baseline_lat_krea2_seed113_00001_.png,benchmark_pavimento_rumore,P02,krea2,113,1024,1280,18.931736,no,yes,717705cae34329e0e934d57f3b463a84030aeaa05dec72c851bfa446f7ef9e0f
P02_baseline_lat_krea2_seed114_00001_.png,benchmark_pavimento_rumore,P02,krea2,114,1024,1280,18.547216,no,yes,d895c0423623a962d3cf3a28f15d9476b7d99256fbc837b6e3042850cbb06993
P02_baseline_lat_krea2_seed115_00001_.png,benchmark_pavimento_rumore,P02,krea2,115,1024,1280,19.241888,no,yes,ec8f8863a02870bdd406c70b06552f6732fc7a9a0f0f5ab93d02a87aea5a816b
P02_baseline_lat_krea2_seed42_00001_.png,benchmark_pavimento_rumore,P02,krea2,42,1024,1280,18.676889,yes,no,a32ed61b3ad08da2a391a8d12afebaa039dfda2a33400d12bc80b97df6ae9731
