file,condition,prompt_dir,prompt_sha1,seed,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex,source_csv
F1_blockshuf_neg_seed1337_00001_.png,blockshuf_neg,F1,7e8536f9bb,1337,F1_blockshuf_neg_seed1337_00001_.png,1024,1280,99.1928,0.4151,7.65,0.1201,#fefcfd,0.6343,0.7634,17.14,0.3679,#040202,0.8835,71.2029,4.2289,6,0.5292,49.6907,0.3358,0.3346,13.32,0.3843,#020101,16.151,28.257,29.25,0.0268,#4b1716,26.4238,39.9102,30.92,0.0266,#722321,39.8078,50.0253,31.11,0.0303,#a33b36,49.9643,19.5065,38.79,0.1449,#976d63,71.5387,11.2027,18.57,0.0096,#c5a8a9,palette_features_stage4_preset.csv
F1_blockshuf_neg_seed4242145_00001_.png,blockshuf_neg,F1,7e8536f9bb,4242145,F1_blockshuf_neg_seed4242145_00001_.png,1024,1280,99.35,0.2058,355.2,0.0696,#fefdfd,0.4433,0.6203,17.88,0.4585,#030101,0.932,71.3418,6.2826,5,0.6026,58.0377,0.2164,0.2814,15.93,0.4684,#020101,20.3414,42.1133,32.89,0.0119,#621211,35.0701,58.3191,33.71,0.0093,#9d2522,38.0853,29.8065,20.86,0.0215,#87474a,58.288,18.5092,38.65,0.1342,#ac8379,71.5583,9.6176,36.67,0.0086,#c2aaa5,palette_features_stage4_preset.csv
F1_blockshuf_neg_seed42_00001_.png,blockshuf_neg,F1,7e8536f9bb,42,F1_blockshuf_neg_seed42_00001_.png,1024,1280,99.218,0.3916,16.31,0.0975,#fefcfd,1.1312,0.9612,13.78,0.355,#070304,0.9044,71.6083,9.8978,6,0.5457,58.695,0.8048,0.5342,9.7,0.3683,#040303,7.9779,9.8842,20.16,0.051,#241313,41.2721,24.5165,20.96,0.1775,#895254,48.4875,17.7846,35.31,0.1521,#916a62,57.5228,59.2292,30.41,0.0329,#e45f59,72.4131,40.5143,37.96,0.0722,#f59a86,palette_features_stage4_preset.csv
F1_blockshuf_neg_seed777_00001_.png,blockshuf_neg,F1,7e8536f9bb,777,F1_blockshuf_neg_seed777_00001_.png,1024,1280,98.5241,1.5309,58.83,0.134,#fefaf8,0.5724,0.5677,11.76,0.3563,#040202,0.8687,76.9853,8.2695,6,0.4838,60.6235,0.4293,0.3948,8.19,0.3984,#030101,14.4439,29.209,30.28,0.0211,#471211,43.3137,61.0182,33.36,0.0142,#b93832,52.2646,24.0091,38.22,0.0853,#a47064,57.7327,43.9295,33.54,0.015,#d06f62,77.4146,15.8096,31.54,0.0127,#deb6b1,palette_features_stage4_preset.csv
F1_blockshuf_neg_seed9999_00001_.png,blockshuf_neg,F1,7e8536f9bb,9999,F1_blockshuf_neg_seed9999_00001_.png,1024,1280,99.4584,0.1416,353.64,0.084,#fefdfd,0.39,0.4329,16.26,0.3675,#030101,0.917,68.5068,9.0217,4,0.5444,54.5371,0.2643,0.2536,14.61,0.3881,#020101,22.8572,36.6016,29.55,0.0127,#651e1d,26.9804,16.8178,17.43,0.022,#593639,41.9507,26.9763,24.13,0.1563,#8e5352,66.1862,54.7907,29.02,0.0867,#fa7b74,68.7711,4.3142,26.14,0.0065,#b1a5a4,palette_features_stage4_preset.csv
F1_blockshuf_pos_seed1337_00001_.png,blockshuf_pos,F1,7e8536f9bb,1337,F1_blockshuf_pos_seed1337_00001_.png,1024,1280,97.7554,0.3192,9.88,0.1309,#f9f8f8,0.8197,0.7225,30.58,0.4322,#050202,0.8738,75.1946,3.5728,6,0.523,68.0078,0.6296,0.5139,33.31,0.4753,#040202,15.0039,23.0966,26.44,0.0086,#431818,34.8898,38.5889,27.34,0.02,#893838,53.1833,68.5217,30.66,0.0477,#e14847,63.5976,51.6221,29.46,0.0132,#ed776f,75.8242,7.4897,14.53,0.0085,#cab6b8,palette_features_stage4_preset.csv
F1_blockshuf_pos_seed4242145_00001_.png,blockshuf_pos,F1,7e8536f9bb,4242145,F1_blockshuf_pos_seed4242145_00001_.png,1024,1280,98.8561,0.3514,214.41,0.0898,#fbfcfc,0.5602,0.4291,11.16,0.3939,#030202,0.9108,76.2187,10.489,5,0.4843,69.4054,0.4179,0.2977,8.16,0.4213,#020101,28.9526,25.9205,18.77,0.0193,#6a3438,46.8831,12.0634,40.5,0.0549,#836962,46.9892,49.6278,27.49,0.0073,#b94c4b,53.5445,69.7031,30.09,0.0629,#e44748,76.6366,5.2574,216.19,0.0075,#b2c0c3,palette_features_stage4_preset.csv
F1_blockshuf_pos_seed42_00001_.png,blockshuf_pos,F1,7e8536f9bb,42,F1_blockshuf_pos_seed42_00001_.png,1024,1280,98.6357,0.379,0.63,0.2431,#fcfbfb,0.315,0.5646,19.34,0.4572,#030101,0.7506,85.9969,8.6776,6,0.7281,40.6971,0.21,0.3695,18.12,0.5874,#020001,33.3124,35.1113,28.02,0.0254,#803836,48.5396,41.0666,26.18,0.1407,#b35857,66.9623,26.3983,24.42,0.0187,#d39390,77.8858,19.51,24.16,0.0244,#e7b5b3,86.2069,11.8935,23.62,0.0316,#f0d0cf,palette_features_stage4_preset.csv
F1_blockshuf_pos_seed777_00001_.png,blockshuf_pos,F1,7e8536f9bb,777,F1_blockshuf_pos_seed777_00001_.png,1024,1280,99.6368,0.1175,235.61,0.1777,#fefefe,0.4457,0.3511,7.23,0.4194,#030102,0.8226,73.0381,7.4901,5,0.5621,69.5297,0.308,0.2243,6.8,0.4965,#020101,19.1708,13.2049,4.23,0.0271,#41272d,19.7451,27.7326,19.54,0.0135,#541d23,40.8462,48.1278,28.33,0.0055,#a53e3d,54.1036,69.754,29.24,0.0657,#e7484a,73.346,5.6835,237.18,0.0122,#aab6bd,palette_features_stage4_preset.csv
F1_blockshuf_pos_seed9999_00001_.png,blockshuf_pos,F1,7e8536f9bb,9999,F1_blockshuf_pos_seed9999_00001_.png,1024,1280,99.2038,0.2319,321.8,0.2606,#fdfdfd,0.3519,0.5395,18.79,0.4414,#030101,0.7391,84.4355,14.7648,5,0.6238,49.469,0.2217,0.3475,18.32,0.5738,#020101,13.5713,16.9139,25.83,0.0262,#391a19,28.5331,22.6265,27.6,0.0216,#643734,29.2197,49.8165,31.98,0.0176,#831f1e,39.958,30.7156,26.11,0.05,#8d4b49,84.6572,10.4379,23.66,0.015,#e9cdcc,palette_features_stage4_preset.csv
