file,condition,prompt_dir,prompt_sha1,seed,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex,source_csv
I01_baseline_seed4242145_00001_.png,baseline,I01,2adb8ea1cd,4242145,renders/I01_baseline_seed4242145_00001_.png,1024,1280,87.7775,7.6098,240.54,0.1413,#cedfe8,4.749,1.1765,356.34,0.2391,#121010,0.8162,75.9713,11.2204,4,0.5272,43.3474,3.9566,1.0736,356.48,0.2668,#100d0e,32.0484,30.3845,17.12,0.0181,#78373f,59.9509,24.6155,85.04,0.021,#a38e65,74.0422,15.8162,245.97,0.2604,#99bbd0,76.6425,44.4209,86.83,0.0289,#dbb96a,79.9278,20.7515,51.03,0.0578,#e9bda9,palette_features_stage7a_candidates.csv
I01_baseline_seed42_00001_.png,baseline,I01,2adb8ea1cd,42,renders/I01_baseline_seed42_00001_.png,1024,1280,88.1749,6.6384,237.91,0.1895,#d0e0e8,4.7586,1.182,9.5,0.2045,#121010,0.7798,77.5013,14.5357,4,0.5499,44.8327,3.9389,0.9241,351.11,0.2386,#100d0e,16.9021,10.6642,55.12,0.0308,#36261d,60.3326,31.418,80.84,0.0173,#ac8d5b,73.4214,14.5464,241.38,0.3113,#98b9cb,77.3667,45.7568,86.27,0.0308,#dfbb69,81.4402,19.6592,53.5,0.0616,#ebc2ad,palette_features_stage7a_candidates.csv
I01_baseline_seed1337_00001_.png,baseline,I01,2adb8ea1cd,1337,renders/I01_baseline_seed1337_00001_.png,1024,1280,89.8587,5.136,243.23,0.1691,#d9e4eb,5.8648,1.1594,8.83,0.2276,#151213,0.6506,75.4498,19.4062,4,0.3705,42.9323,4.2051,0.9508,6.62,0.2916,#110e0f,57.6089,19.8785,87.11,0.031,#998968,67.8049,22.0238,34.51,0.0379,#cd9990,69.0066,17.693,238.43,0.0568,#84afc3,76.264,43.8831,88.63,0.0443,#d8b96a,79.6548,19.0357,59.01,0.0789,#e3bea8,palette_features_stage7a_candidates.csv
I01_baseline_seed777_00001_.png,baseline,I01,2adb8ea1cd,777,renders/I01_baseline_seed777_00001_.png,1024,1280,88.6795,6.3655,242.56,0.1556,#d3e1e9,5.5869,1.2671,345.74,0.2251,#141213,0.7826,76.5168,20.6993,5,0.3003,42.5057,3.9525,1.0724,332.89,0.244,#0f0d0f,60.3272,20.4542,242.35,0.0484,#6898b1,60.8177,13.7185,82.5,0.0391,#9f917b,66.2257,23.5036,30.9,0.0286,#cb938c,71.8919,43.5781,84.37,0.0356,#d0ab60,80.4693,18.9191,53.07,0.0563,#e7bfac,palette_features_stage7a_candidates.csv
I01_baseline_seed9999_00001_.png,baseline,I01,2adb8ea1cd,9999,renders/I01_baseline_seed9999_00001_.png,1024,1280,91.3381,4.529,236.68,0.102,#dde8ed,6.6336,1.6011,330.7,0.2145,#161416,0.8145,75.4338,15.1496,4,0.5367,40.6121,4.8236,1.6099,320.88,0.2156,#121012,47.7055,24.9807,74.91,0.0147,#896c49,67.1326,23.4055,32.36,0.0244,#ce968e,74.2278,42.222,87.17,0.0363,#d3b368,76.6025,13.1286,248.44,0.3212,#a7c1d3,80.2574,18.8157,56.14,0.0599,#e6bfab,palette_features_stage7a_candidates.csv
I02_baseline_seed4242145_00001_.png,baseline,I02,0aa12a28b0,4242145,renders/I02_baseline_seed4242145_00001_.png,1024,1280,87.8716,6.4662,111.39,0.0368,#ddddd1,2.283,0.3017,43.19,0.2969,#090808,0.9564,72.5048,16.8708,4,0.4307,27.5734,1.4716,0.2487,41.16,0.281,#060505,48.5698,27.8221,60.82,0.0356,#966a4b,57.7546,26.8517,83.5,0.0582,#a0885c,61.3371,20.6363,45.2,0.0182,#b68a7b,73.9496,18.2766,65.14,0.031,#cfb098,73.9764,9.8813,141.32,0.1497,#acbaaa,palette_features_stage7a_candidates.csv
I02_baseline_seed42_00001_.png,baseline,I02,0aa12a28b0,42,renders/I02_baseline_seed42_00001_.png,1024,1280,78.0854,6.359,116.56,0.205,#c0c2b6,1.6939,0.3251,15.17,0.2139,#070606,0.8431,90.1744,9.0251,5,0.3514,25.1815,1.683,0.325,15.69,0.2549,#070606,33.5114,7.4937,308.07,0.085,#524d58,51.9952,25.5065,65.76,0.0647,#9a7555,68.2661,16.1569,71.15,0.0966,#bba28b,71.8207,22.9692,136.23,0.0417,#9cb893,91.8574,3.5764,108.79,0.0239,#e8e8e1,palette_features_stage7a_candidates.csv
I02_baseline_seed1337_00001_.png,baseline,I02,0aa12a28b0,1337,renders/I02_baseline_seed1337_00001_.png,1024,1280,85.1518,5.7551,109.13,0.0619,#d6d5ca,2.6773,0.0886,6.85,0.2835,#0a0a0a,0.901,72.5271,8.8056,5,0.3376,30.2935,1.1465,0.2062,352.1,0.2519,#050404,30.417,5.8565,286.36,0.0857,#464750,33.2922,10.6148,154.55,0.0557,#415247,50.8066,30.4997,61.82,0.0537,#9e6f4c,60.4379,29.3812,82.28,0.0366,#aa8e5e,73.6736,19.1171,64.81,0.0391,#d0af96,palette_features_stage7a_candidates.csv
I02_baseline_seed777_00001_.png,baseline,I02,0aa12a28b0,777,renders/I02_baseline_seed777_00001_.png,1024,1280,78.3515,7.8782,129.01,0.175,#bdc4b6,2.2683,0.2549,51.06,0.2673,#090808,0.825,88.5615,16.6939,5,0.3955,30.1771,1.9494,0.2326,49.53,0.3135,#080707,50.4931,29.5021,54.53,0.0384,#a06c50,63.479,30.4097,82.8,0.0641,#b29664,70.5203,17.1542,67.34,0.082,#c3a790,70.8322,30.1535,138.13,0.0086,#90b888,90.5109,6.5624,110.64,0.0142,#e4e5d8,palette_features_stage7a_candidates.csv
I02_baseline_seed9999_00001_.png,baseline,I02,0aa12a28b0,9999,renders/I02_baseline_seed9999_00001_.png,1024,1280,86.8286,3.9062,103.04,0.0538,#dbdad2,1.5749,0.2519,40.26,0.2644,#060605,0.8894,77.2558,15.0976,5,0.358,24.8989,1.5734,0.2539,40.0,0.2987,#060605,46.8566,24.9672,59.87,0.0323,#8e674b,56.9462,24.6326,77.56,0.0594,#a0845f,63.1422,15.526,43.66,0.0197,#b49186,74.1149,16.2095,75.14,0.0377,#c9b39a,78.8292,25.1528,140.97,0.0076,#a9cda5,palette_features_stage7a_candidates.csv
I03_baseline_seed4242145_00001_.png,baseline,I03,c31d285321,4242145,renders/I03_baseline_seed4242145_00001_.png,1024,1280,84.9867,23.7406,94.21,0.0588,#e2d4a8,2.6372,1.0733,58.99,0.302,#0c0907,0.9478,77.3814,10.2049,5,0.388,56.7013,1.8526,0.7004,58.81,0.2937,#080605,33.1983,27.4671,33.31,0.0238,#763f37,33.2241,12.9076,51.86,0.0943,#60493f,52.9936,25.8931,99.09,0.0572,#877f52,65.5658,57.4017,55.09,0.0107,#e8864b,79.234,6.6798,142.26,0.0463,#bdc7bc,palette_features_stage7a_candidates.csv
I03_baseline_seed42_00001_.png,baseline,I03,c31d285321,42,renders/I03_baseline_seed42_00001_.png,1024,1280,79.5229,23.6835,91.66,0.08,#d5c499,2.819,1.0316,57.64,0.2912,#0d0a08,0.9304,71.066,9.319,5,0.5343,60.3979,1.8134,0.6894,52.35,0.2816,#080605,30.9969,23.5495,32.35,0.0278,#6b3c36,51.7351,29.5491,59.47,0.0606,#a17150,55.8217,19.4548,113.16,0.0414,#848967,64.7777,61.0873,59.56,0.009,#e4853e,72.8794,9.0505,184.6,0.2527,#a0b8b4,palette_features_stage7a_candidates.csv
I03_baseline_seed1337_00001_.png,baseline,I03,c31d285321,1337,renders/I03_baseline_seed1337_00001_.png,1024,1280,82.5495,24.1675,93.17,0.0671,#dccda0,3.0277,1.2743,57.6,0.272,#0e0a08,0.9365,77.4841,15.4899,5,0.3472,64.1812,2.0254,0.9157,55.36,0.2632,#0a0706,46.9901,28.0732,46.91,0.0335,#98624e,55.7285,22.3618,121.4,0.0277,#7e8a64,62.8306,24.0202,89.98,0.0489,#a8976d,63.6626,65.0969,54.53,0.0099,#ea7c3b,79.5095,8.399,162.96,0.084,#b7c9c0,palette_features_stage7a_candidates.csv
I03_baseline_seed777_00001_.png,baseline,I03,c31d285321,777,renders/I03_baseline_seed777_00001_.png,1024,1280,81.8193,9.6514,135.49,0.2395,#c3cfbf,3.2839,1.3113,67.16,0.2903,#0e0b09,0.7619,82.1828,8.9866,5,0.4239,63.5411,2.0801,0.8762,65.34,0.3391,#090706,30.2373,12.735,48.67,0.0848,#594239,32.1489,24.1155,30.7,0.0439,#6f3e39,51.186,27.704,56.65,0.0636,#9f6f53,62.7918,64.4172,54.05,0.013,#e87a3b,84.2628,24.6672,96.07,0.0736,#dfd2a4,palette_features_stage7a_candidates.csv
I03_baseline_seed9999_00001_.png,baseline,I03,c31d285321,9999,renders/I03_baseline_seed9999_00001_.png,1024,1280,94.7164,6.4066,87.87,0.2538,#f6efe4,2.3182,1.2261,63.91,0.2898,#0b0806,0.7495,81.1219,8.4125,5,0.496,61.931,1.7231,0.9033,65.66,0.3607,#080604,31.5886,20.0002,32.76,0.051,#68403a,35.8195,13.9516,60.02,0.1353,#665041,47.6119,26.3835,65.77,0.0312,#8f6949,64.7792,62.8343,56.88,0.0109,#e9823e,82.845,23.3905,91.69,0.0649,#decda3,palette_features_stage7a_candidates.csv
I04_baseline_seed4242145_00001_.png,baseline,I04,bb8edafd35,4242145,renders/I04_baseline_seed4242145_00001_.png,1024,1280,74.5244,2.6152,262.0,0.0403,#b4b8bc,1.5293,0.7115,53.56,0.4169,#070504,0.9715,86.682,17.8168,4,0.4981,70.176,1.5371,0.717,53.26,0.4293,#070504,49.4265,27.2232,116.12,0.0689,#707a4b,55.2838,38.8237,78.48,0.025,#a47e42,58.7886,32.1414,40.81,0.0572,#c07c6a,86.0911,70.893,94.3,0.0057,#f3d747,88.2191,2.971,201.37,0.0075,#d7dfdf,palette_features_stage7a_candidates.csv
I04_baseline_seed42_00001_.png,baseline,I04,bb8edafd35,42,renders/I04_baseline_seed42_00001_.png,1024,1280,77.251,3.4812,268.89,0.0407,#bcbfc5,1.2967,0.6297,46.26,0.4532,#060404,0.9698,93.3567,18.5216,5,0.5542,65.8448,0.915,0.4046,41.36,0.4476,#040303,52.5561,27.4324,113.27,0.067,#7b8252,58.711,44.0043,83.69,0.0132,#ab883e,65.5779,30.2977,49.01,0.1066,#ce9177,92.0662,66.2494,100.75,0.0048,#f7ec65,94.2717,3.2163,96.52,0.008,#f1eee8,palette_features_stage7a_candidates.csv
I04_baseline_seed1337_00001_.png,baseline,I04,bb8edafd35,1337,renders/I04_baseline_seed1337_00001_.png,1024,1280,76.0369,2.1721,252.77,0.0513,#b8bcbf,1.9455,0.8307,56.95,0.4271,#090705,0.9589,87.1166,12.5532,5,0.5636,64.1362,1.502,0.5705,57.87,0.426,#070504,39.9506,20.8992,49.11,0.1376,#7b5545,51.3393,35.9052,68.83,0.0242,#9f7141,53.4772,26.8487,111.9,0.0561,#7e8454,64.8937,35.5283,43.18,0.0266,#d68b73,88.6186,64.7067,96.5,0.006,#f5e05e,palette_features_stage7a_candidates.csv
I04_baseline_seed777_00001_.png,baseline,I04,bb8edafd35,777,renders/I04_baseline_seed777_00001_.png,1024,1280,76.4388,1.2215,203.34,0.0374,#babdbd,1.3942,0.5961,54.27,0.4072,#070504,0.9727,85.9161,14.3203,5,0.5282,71.6455,1.3011,0.5348,54.6,0.4188,#060404,38.4002,22.4759,50.75,0.1094,#79513f,48.2637,25.2591,118.87,0.0601,#6c774d,53.6978,38.7699,80.94,0.0247,#9d7b3d,55.6803,16.1891,79.42,0.055,#95836a,87.2171,72.1804,96.74,0.0049,#f2dc48,palette_features_stage7a_candidates.csv
I04_baseline_seed9999_00001_.png,baseline,I04,bb8edafd35,9999,renders/I04_baseline_seed9999_00001_.png,1024,1280,76.5157,1.9613,251.16,0.051,#babdc0,1.7103,0.7461,53.43,0.4429,#080605,0.966,91.9921,15.9733,4,0.5024,68.0402,1.2504,0.5147,50.29,0.4378,#060404,48.0194,12.5953,77.48,0.0646,#7f705d,62.615,29.5346,45.06,0.0614,#c68973,66.5659,29.0557,94.36,0.0319,#b0a16e,89.8147,68.5549,99.17,0.004,#f4e559,93.2424,2.0439,113.27,0.0117,#ecece8,palette_features_stage7a_candidates.csv
I05_baseline_seed4242145_00001_.png,baseline,I05,5b67e787c8,4242145,renders/I05_baseline_seed4242145_00001_.png,1024,1280,67.314,29.8429,103.49,0.12,#aaa66f,3.9266,1.6261,358.45,0.2773,#110d0e,0.9012,82.0562,15.0405,6,0.3749,42.7049,2.7565,0.9371,4.97,0.2747,#0c090a,48.6031,37.8563,0.73,0.0432,#ae5874,55.4265,20.2643,78.68,0.1002,#988163,60.8582,30.0813,315.08,0.0217,#a787b8,75.3696,43.642,86.4,0.0114,#d8b668,84.8127,2.0915,265.96,0.0129,#d2d4d8,palette_features_stage7a_candidates.csv
I05_baseline_seed42_00001_.png,baseline,I05,5b67e787c8,42,renders/I05_baseline_seed42_00001_.png,1024,1280,72.2505,28.4977,96.68,0.1148,#beb17d,3.9279,1.5737,358.46,0.2339,#110d0e,0.8654,79.0385,20.7374,4,0.4786,47.6423,2.4331,0.8914,15.9,0.2371,#0b0808,59.3961,34.9037,321.96,0.0154,#ae7fb5,61.8632,36.2248,37.77,0.0421,#d08170,64.8608,32.8451,118.56,0.2415,#94a469,74.1127,48.5337,96.4,0.0134,#c8b75b,81.4716,2.7828,265.86,0.0102,#c8cbd0,palette_features_stage7a_candidates.csv
I05_baseline_seed1337_00001_.png,baseline,I05,5b67e787c8,1337,renders/I05_baseline_seed1337_00001_.png,1024,1280,81.1511,24.1166,90.12,0.2509,#dbc89d,3.0834,1.5643,3.49,0.2616,#0f0a0b,0.7545,63.4532,13.1505,4,0.3964,35.7132,2.4608,1.0417,13.57,0.3146,#0c0808,40.1921,31.7492,350.08,0.0496,#8b4a68,48.8299,18.29,24.35,0.0817,#946968,61.3381,36.7548,45.13,0.0379,#cc8167,65.1676,23.9549,75.38,0.0166,#b79975,65.914,21.0116,297.13,0.0102,#a19cc2,palette_features_stage7a_candidates.csv
I05_baseline_seed777_00001_.png,baseline,I05,5b67e787c8,777,renders/I05_baseline_seed777_00001_.png,1024,1280,70.161,34.3095,106.94,0.145,#afaf6f,3.6662,1.6164,355.36,0.246,#100c0d,0.8346,80.7522,13.9917,5,0.3493,38.0713,2.6727,0.8999,10.8,0.2649,#0c0909,44.6772,33.1447,353.6,0.0844,#9a5371,61.5106,19.0132,299.02,0.0173,#9790b2,62.2228,31.2505,29.67,0.0595,#cc837c,70.5875,38.9712,91.86,0.0128,#c2ab65,83.4249,1.4616,147.98,0.0089,#ced1ce,palette_features_stage7a_candidates.csv
I05_baseline_seed9999_00001_.png,baseline,I05,5b67e787c8,9999,renders/I05_baseline_seed9999_00001_.png,1024,1280,74.8183,35.5465,109.94,0.2618,#b8bd7a,3.5374,1.7872,345.61,0.2839,#100c0e,0.7423,83.7369,11.1133,5,0.4027,33.3428,2.3217,0.8844,4.85,0.3369,#0b0808,27.4059,34.2272,319.64,0.0658,#573263,32.9678,16.9795,307.49,0.0654,#544963,62.3377,28.4741,88.4,0.0379,#aa9564,63.8102,33.1808,25.46,0.0305,#d48583,86.0585,3.0863,283.81,0.0165,#d6d7dd,palette_features_stage7a_candidates.csv
I06_baseline_seed4242145_00001_.png,baseline,I06,a324a148e4,4242145,renders/I06_baseline_seed4242145_00001_.png,1024,1280,85.2819,12.8735,236.32,0.1794,#bbdae9,2.9535,0.8204,51.29,0.2305,#0d0a09,0.8207,88.1529,16.2444,5,0.3227,43.466,2.7908,0.7949,51.96,0.2743,#0c0a09,51.8575,28.671,78.25,0.0341,#95774c,64.9225,27.932,116.84,0.0337,#98a370,71.5088,43.749,89.12,0.0484,#c9ac5e,75.6088,24.6814,49.36,0.0373,#e3af99,90.9437,0.283,93.45,0.0325,#e5e5e4,palette_features_stage7a_candidates.csv
I06_baseline_seed42_00001_.png,baseline,I06,a324a148e4,42,renders/I06_baseline_seed42_00001_.png,1024,1280,83.1455,12.5621,240.27,0.2394,#b7d4e3,3.433,0.9744,50.79,0.2236,#0e0c0b,0.8035,89.1415,9.7234,5,0.3757,61.215,3.0331,0.9713,52.09,0.2703,#0d0b09,36.4332,37.6082,280.91,0.025,#315591,40.8344,58.7861,31.96,0.1053,#af3330,61.4501,35.1045,80.13,0.0268,#b28f57,80.6866,62.1864,91.71,0.0122,#e6c64e,92.1746,1.1309,87.71,0.028,#eae8e6,palette_features_stage7a_candidates.csv
