file,condition,prompt_dir,prompt_sha1,seed,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex,source_csv
P0_empty_baseline_seed42_00001_.png,baseline,P0,da39a3ee5e,42,renders/P0_empty_baseline_seed42_00001_.png,1024,1280,68.5625,0.121,325.1,0.7538,#a7a7a7,7.5949,6.3514,59.11,0.0699,#1e150e,0.2495,47.7353,5.5721,4,0.2617,28.4694,6.5197,6.1351,57.33,0.1852,#1c130b,19.3999,18.4606,119.05,0.0765,#2a3217,31.9655,32.7591,43.94,0.0461,#753b29,35.7345,25.268,131.1,0.0584,#435b35,52.1177,4.2896,284.3,0.0317,#7b7c83,54.2551,28.4482,48.71,0.0266,#ac755e,palette_features_stage8.csv
P0_empty_baseline_seed777_00001_.png,baseline,P0,da39a3ee5e,777,renders/P0_empty_baseline_seed777_00001_.png,1024,1280,99.8111,0.1827,288.2,0.3558,#fefeff,9.2338,2.4532,23.56,0.1685,#1e1919,0.5904,83.7597,4.3359,6,0.2178,31.2536,4.4781,0.5169,29.44,0.0669,#110f0f,19.6755,15.7799,17.49,0.1462,#462729,43.3639,22.9534,10.97,0.035,#8c5860,53.7337,31.7705,28.84,0.0086,#b56d67,69.9278,20.5554,32.64,0.0716,#d19f98,88.2378,10.3288,42.67,0.0226,#f2d8d0,palette_features_stage8.csv
P0_empty_baseline_seed1337_00001_.png,baseline,P0,da39a3ee5e,1337,renders/P0_empty_baseline_seed1337_00001_.png,1024,1280,98.0758,1.2896,41.3,0.3099,#fcf9f8,13.333,3.9293,347.86,0.1673,#272023,0.7201,73.761,13.3835,5,0.3731,52.4383,13.2988,3.8993,348.78,0.2316,#272023,36.5367,56.3376,318.57,0.0074,#7a3b93,37.603,28.9742,287.26,0.1415,#4b5685,74.5194,53.3805,132.69,0.0084,#8ac76c,81.5418,48.0015,79.94,0.0296,#f5c371,87.0597,12.478,44.81,0.0618,#f2d4ca,palette_features_stage8.csv
P0_empty_baseline_seed9999_00001_.png,baseline,P0,da39a3ee5e,9999,renders/P0_empty_baseline_seed9999_00001_.png,1024,1280,99.762,0.2539,287.28,0.5904,#fefeff,7.3967,3.0076,299.86,0.1186,#17161a,0.3488,85.3819,9.0836,6,0.1961,18.3932,2.3301,1.1643,314.47,0.0334,#0a080b,35.1062,19.5574,302.39,0.0028,#564e6d,49.9982,4.089,347.31,0.0124,#7d7579,63.3463,9.5864,294.95,0.1203,#9998a9,68.4753,17.1025,29.83,0.0757,#c79d98,87.712,9.5524,52.58,0.009,#edd8ce,palette_features_stage8.csv
P0_empty_baseline_seed4242145_00001_.png,baseline,P0,da39a3ee5e,4242145,renders/P0_empty_baseline_seed4242145_00001_.png,1024,1280,93.1302,3.5381,267.12,0.1426,#e8ecf2,7.0255,1.689,46.5,0.1783,#181514,0.8561,79.8404,14.9082,6,0.2256,12.7115,4.7305,1.1043,35.23,0.137,#12100f,13.7073,5.8881,64.65,0.0886,#29221c,24.2541,8.5325,72.42,0.0782,#42382e,31.714,3.7177,250.7,0.0884,#464b50,38.884,13.8158,69.82,0.0695,#6b5847,84.5709,11.55,67.65,0.0267,#e4d0bf,palette_features_stage8.csv
P0_empty_preset_pos_seed42_00001_.png,preset_pos,P0,da39a3ee5e,42,renders/P0_empty_preset_pos_seed42_00001_.png,1024,1280,90.3508,18.7152,82.34,0.0443,#f6e1c0,9.2475,3.4733,18.69,0.1202,#1f1819,0.9489,74.256,10.5846,5,0.0949,52.2966,5.1854,4.5797,31.86,0.0511,#190f0d,38.7942,49.5745,46.6,0.007,#974121,44.8189,37.0599,49.76,0.0112,#9a593c,59.1923,56.8763,59.87,0.0089,#cf7937,75.8553,17.6975,66.54,0.0438,#d3b69e,79.4414,30.4008,67.54,0.0104,#ecbc91,palette_features_stage8.csv
P0_empty_preset_pos_seed777_00001_.png,preset_pos,P0,da39a3ee5e,777,renders/P0_empty_preset_pos_seed777_00001_.png,1024,1280,99.5111,0.1,279.93,0.3465,#fefefe,8.1792,1.8342,59.26,0.1324,#1a1716,0.5995,81.1001,8.5574,6,0.3807,27.8951,7.4354,1.3735,70.38,0.1685,#181615,24.9977,6.6201,29.86,0.2122,#463837,56.978,29.2686,57.6,0.0055,#b07e5e,71.0044,19.0376,41.28,0.0421,#d0a498,79.7113,14.0286,55.06,0.0217,#ddc0b1,88.5355,9.4542,53.32,0.027,#efdad0,palette_features_stage8.csv
P0_empty_preset_pos_seed1337_00001_.png,preset_pos,P0,da39a3ee5e,1337,renders/P0_empty_preset_pos_seed1337_00001_.png,1024,1280,98.7449,0.6351,49.93,0.3333,#fdfbfa,17.0555,4.1698,290.06,0.2743,#292a30,0.6737,69.2681,12.0854,5,0.3046,52.1838,11.6872,3.515,302.48,0.1608,#201e23,47.5842,55.6988,26.05,0.0748,#c3464b,53.7978,44.4737,305.51,0.006,#8c74bf,68.2205,44.5762,146.95,0.0332,#6ab779,68.5219,23.8571,245.65,0.1438,#77aece,80.9553,13.1702,40.32,0.0362,#e2c2ba,palette_features_stage8.csv
P0_empty_preset_pos_seed9999_00001_.png,preset_pos,P0,da39a3ee5e,9999,renders/P0_empty_preset_pos_seed9999_00001_.png,1024,1280,99.6369,0.2672,288.56,0.5972,#fefefe,9.6554,5.778,300.48,0.0594,#1c1a21,0.3232,77.4439,3.4532,6,0.3753,11.5238,9.5686,5.9839,298.67,0.1748,#1b1a22,19.3983,9.6094,296.87,0.2005,#2f2d3b,32.7657,15.7058,296.17,0.0123,#4d4a63,50.4902,4.182,354.82,0.0149,#7f7679,69.9187,15.239,30.86,0.1031,#c8a29d,87.0126,6.8581,47.46,0.0266,#e7d7d1,palette_features_stage8.csv
P0_empty_preset_pos_seed4242145_00001_.png,preset_pos,P0,da39a3ee5e,4242145,renders/P0_empty_preset_pos_seed4242145_00001_.png,1024,1280,90.927,7.2548,242.5,0.0466,#d8e7f1,9.8704,7.6948,52.15,0.2496,#241913,0.9553,79.589,9.5653,6,0.2735,39.3468,6.2825,6.2795,42.69,0.1523,#1d110d,19.1998,22.7833,42.25,0.1212,#4a2419,32.0207,35.8471,46.17,0.0508,#773a24,66.7985,45.6264,53.81,0.038,#e18e61,75.401,24.4621,252.48,0.0927,#8ec0e4,85.8715,22.1499,83.53,0.0659,#ebd4ad,palette_features_stage8.csv
