report,prompt_id,seed,steps,cfg,family,block,rot_kind,angle_deg,amplitude,image_rel,clip_dist,cosine_sim
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_1,,,-2.0,macro/Block_1_-2.0_00001_.png,0.1964,0.8036
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_1,,,-1.0,macro/Block_1_-1.0_00001_.png,0.0571,0.9429
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_1,,,1.0,macro/Block_1_+1.0_00001_.png,0.0292,0.9708
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_1,,,2.0,macro/Block_1_+2.0_00001_.png,0.0685,0.9315
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_2,,,-2.0,macro/Block_2_-2.0_00001_.png,0.0585,0.9415
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_2,,,-1.0,macro/Block_2_-1.0_00001_.png,0.0361,0.9639
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_2,,,1.0,macro/Block_2_+1.0_00001_.png,0.0875,0.9125
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_2,,,2.0,macro/Block_2_+2.0_00001_.png,0.0919,0.9081
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_3,,,-2.0,macro/Block_3_-2.0_00001_.png,0.0571,0.9429
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_3,,,-1.0,macro/Block_3_-1.0_00001_.png,0.0211,0.9789
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_3,,,1.0,macro/Block_3_+1.0_00001_.png,0.0433,0.9567
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_3,,,2.0,macro/Block_3_+2.0_00001_.png,0.062,0.938
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_4,,,-2.0,macro/Block_4_-2.0_00001_.png,0.0394,0.9606
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_4,,,-1.0,macro/Block_4_-1.0_00001_.png,0.0346,0.9654
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_4,,,1.0,macro/Block_4_+1.0_00001_.png,0.0299,0.9701
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_4,,,2.0,macro/Block_4_+2.0_00001_.png,0.047,0.953
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_5,,,-2.0,macro/Block_5_-2.0_00001_.png,0.0438,0.9562
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_5,,,-1.0,macro/Block_5_-1.0_00001_.png,0.0201,0.9799
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_5,,,1.0,macro/Block_5_+1.0_00001_.png,0.0222,0.9778
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_5,,,2.0,macro/Block_5_+2.0_00001_.png,0.0506,0.9494
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_6,,,-2.0,macro/Block_6_-2.0_00001_.png,0.1922,0.8078
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_6,,,-1.0,macro/Block_6_-1.0_00001_.png,0.0509,0.9491
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_6,,,1.0,macro/Block_6_+1.0_00001_.png,0.099,0.901
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,macro,Block_6,,,2.0,macro/Block_6_+2.0_00001_.png,0.2243,0.7757
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_1,,,-2.0,macro/Block_1_-2.0_00001_.png,0.1128,0.8872
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_1,,,-1.0,macro/Block_1_-1.0_00001_.png,0.0681,0.9319
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_1,,,1.0,macro/Block_1_+1.0_00001_.png,0.0644,0.9356
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_1,,,2.0,macro/Block_1_+2.0_00001_.png,0.1143,0.8857
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_2,,,-2.0,macro/Block_2_-2.0_00001_.png,0.0785,0.9215
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_2,,,-1.0,macro/Block_2_-1.0_00001_.png,0.0623,0.9377
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_2,,,1.0,macro/Block_2_+1.0_00001_.png,0.0566,0.9434
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_2,,,2.0,macro/Block_2_+2.0_00001_.png,0.0696,0.9304
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_3,,,-2.0,macro/Block_3_-2.0_00001_.png,0.0616,0.9384
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_3,,,-1.0,macro/Block_3_-1.0_00001_.png,0.0487,0.9513
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_3,,,1.0,macro/Block_3_+1.0_00001_.png,0.0536,0.9464
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_3,,,2.0,macro/Block_3_+2.0_00001_.png,0.0793,0.9207
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_4,,,-2.0,macro/Block_4_-2.0_00001_.png,0.0482,0.9518
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_4,,,-1.0,macro/Block_4_-1.0_00001_.png,0.0334,0.9666
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_4,,,1.0,macro/Block_4_+1.0_00001_.png,0.0582,0.9418
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_4,,,2.0,macro/Block_4_+2.0_00001_.png,0.106,0.894
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_5,,,-2.0,macro/Block_5_-2.0_00001_.png,0.0797,0.9203
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_5,,,-1.0,macro/Block_5_-1.0_00001_.png,0.0621,0.9379
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_5,,,1.0,macro/Block_5_+1.0_00001_.png,0.0437,0.9563
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_5,,,2.0,macro/Block_5_+2.0_00001_.png,0.0523,0.9477
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_6,,,-2.0,macro/Block_6_-2.0_00001_.png,0.1278,0.8722
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_6,,,-1.0,macro/Block_6_-1.0_00001_.png,0.074,0.926
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_6,,,1.0,macro/Block_6_+1.0_00001_.png,0.1342,0.8658
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,macro,Block_6,,,2.0,macro/Block_6_+2.0_00001_.png,0.2117,0.7883
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_1,,,-2.0,macro/Block_1_-2.0_00001_.png,0.1131,0.8869
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_1,,,-1.0,macro/Block_1_-1.0_00001_.png,0.0548,0.9452
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_1,,,1.0,macro/Block_1_+1.0_00001_.png,0.0809,0.9191
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_1,,,2.0,macro/Block_1_+2.0_00001_.png,0.0862,0.9138
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_2,,,-2.0,macro/Block_2_-2.0_00001_.png,0.0855,0.9145
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_2,,,-1.0,macro/Block_2_-1.0_00001_.png,0.0797,0.9203
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_2,,,1.0,macro/Block_2_+1.0_00001_.png,0.0454,0.9546
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_2,,,2.0,macro/Block_2_+2.0_00001_.png,0.0947,0.9053
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_3,,,-2.0,macro/Block_3_-2.0_00001_.png,0.1213,0.8787
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_3,,,-1.0,macro/Block_3_-1.0_00001_.png,0.1014,0.8986
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_3,,,1.0,macro/Block_3_+1.0_00001_.png,0.0957,0.9043
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_3,,,2.0,macro/Block_3_+2.0_00001_.png,0.0753,0.9247
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_4,,,-2.0,macro/Block_4_-2.0_00001_.png,0.0576,0.9424
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_4,,,-1.0,macro/Block_4_-1.0_00001_.png,0.0532,0.9468
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_4,,,1.0,macro/Block_4_+1.0_00001_.png,0.1127,0.8873
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_4,,,2.0,macro/Block_4_+2.0_00001_.png,0.1789,0.8211
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_5,,,-2.0,macro/Block_5_-2.0_00001_.png,0.0643,0.9357
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_5,,,-1.0,macro/Block_5_-1.0_00001_.png,0.057,0.943
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_5,,,1.0,macro/Block_5_+1.0_00001_.png,0.0551,0.9449
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_5,,,2.0,macro/Block_5_+2.0_00001_.png,0.1512,0.8488
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_6,,,-2.0,macro/Block_6_-2.0_00001_.png,0.1774,0.8226
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_6,,,-1.0,macro/Block_6_-1.0_00001_.png,0.051,0.949
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_6,,,1.0,macro/Block_6_+1.0_00001_.png,0.1083,0.8917
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,macro,Block_6,,,2.0,macro/Block_6_+2.0_00001_.png,0.2416,0.7584
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_1,,,-2.0,macro/Block_1_-2.0_00001_.png,0.1898,0.8102
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_1,,,-1.0,macro/Block_1_-1.0_00001_.png,0.1159,0.8841
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_1,,,1.0,macro/Block_1_+1.0_00001_.png,0.0886,0.9114
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_1,,,2.0,macro/Block_1_+2.0_00001_.png,0.1592,0.8408
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_2,,,-2.0,macro/Block_2_-2.0_00001_.png,0.1618,0.8382
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_2,,,-1.0,macro/Block_2_-1.0_00001_.png,0.1362,0.8638
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_2,,,1.0,macro/Block_2_+1.0_00001_.png,0.0682,0.9318
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_2,,,2.0,macro/Block_2_+2.0_00001_.png,0.0949,0.9051
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_3,,,-2.0,macro/Block_3_-2.0_00001_.png,0.0966,0.9034
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_3,,,-1.0,macro/Block_3_-1.0_00001_.png,0.0668,0.9332
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_3,,,1.0,macro/Block_3_+1.0_00001_.png,0.1266,0.8734
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_3,,,2.0,macro/Block_3_+2.0_00001_.png,0.2097,0.7903
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_4,,,-2.0,macro/Block_4_-2.0_00001_.png,0.0789,0.9211
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_4,,,-1.0,macro/Block_4_-1.0_00001_.png,0.08,0.92
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_4,,,1.0,macro/Block_4_+1.0_00001_.png,0.1856,0.8144
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_4,,,2.0,macro/Block_4_+2.0_00001_.png,0.1401,0.8599
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_5,,,-2.0,macro/Block_5_-2.0_00001_.png,0.1723,0.8277
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_5,,,-1.0,macro/Block_5_-1.0_00001_.png,0.0728,0.9272
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_5,,,1.0,macro/Block_5_+1.0_00001_.png,0.0737,0.9263
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_5,,,2.0,macro/Block_5_+2.0_00001_.png,0.0853,0.9147
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_6,,,-2.0,macro/Block_6_-2.0_00001_.png,0.1318,0.8682
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_6,,,-1.0,macro/Block_6_-1.0_00001_.png,0.0897,0.9103
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_6,,,1.0,macro/Block_6_+1.0_00001_.png,0.0987,0.9013
benchmark_flag_report.html,flag,4242145,6,1.0,macro,Block_6,,,2.0,macro/Block_6_+2.0_00001_.png,0.3552,0.6448
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_1,,,-2.0,macro/Block_1_-2.0_00001_.png,0.0897,0.9103
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_1,,,-1.0,macro/Block_1_-1.0_00001_.png,0.0436,0.9564
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_1,,,1.0,macro/Block_1_+1.0_00001_.png,0.0743,0.9257
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_1,,,2.0,macro/Block_1_+2.0_00001_.png,0.0681,0.9319
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_2,,,-2.0,macro/Block_2_-2.0_00001_.png,0.1018,0.8982
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_2,,,-1.0,macro/Block_2_-1.0_00001_.png,0.0768,0.9232
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_2,,,1.0,macro/Block_2_+1.0_00001_.png,0.0398,0.9602
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_2,,,2.0,macro/Block_2_+2.0_00001_.png,0.0668,0.9332
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_3,,,-2.0,macro/Block_3_-2.0_00001_.png,0.0946,0.9054
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_3,,,-1.0,macro/Block_3_-1.0_00001_.png,0.0723,0.9277
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_3,,,1.0,macro/Block_3_+1.0_00001_.png,0.0753,0.9247
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_3,,,2.0,macro/Block_3_+2.0_00001_.png,0.1344,0.8656
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_4,,,-2.0,macro/Block_4_-2.0_00001_.png,0.0517,0.9483
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_4,,,-1.0,macro/Block_4_-1.0_00001_.png,0.0463,0.9537
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_4,,,1.0,macro/Block_4_+1.0_00001_.png,0.0754,0.9246
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_4,,,2.0,macro/Block_4_+2.0_00001_.png,0.0899,0.9101
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_5,,,-2.0,macro/Block_5_-2.0_00001_.png,0.0579,0.9421
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_5,,,-1.0,macro/Block_5_-1.0_00001_.png,0.0225,0.9775
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_5,,,1.0,macro/Block_5_+1.0_00001_.png,0.0379,0.9621
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_5,,,2.0,macro/Block_5_+2.0_00001_.png,0.0727,0.9273
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_6,,,-2.0,macro/Block_6_-2.0_00001_.png,0.131,0.869
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_6,,,-1.0,macro/Block_6_-1.0_00001_.png,0.0282,0.9718
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_6,,,1.0,macro/Block_6_+1.0_00001_.png,0.0941,0.9059
benchmark_preraphaelite_altar_report.html,preraphaelite_altar,4242145,6,1.0,macro,Block_6,,,2.0,macro/Block_6_+2.0_00001_.png,0.203,0.797
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_1,,,-2.0,macro/Block_1_-2.0_00001_.png,0.1423,0.8577
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_1,,,-1.0,macro/Block_1_-1.0_00001_.png,0.0708,0.9292
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_1,,,1.0,macro/Block_1_+1.0_00001_.png,0.1012,0.8988
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_1,,,2.0,macro/Block_1_+2.0_00001_.png,0.1893,0.8107
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_2,,,-2.0,macro/Block_2_-2.0_00001_.png,0.1354,0.8646
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_2,,,-1.0,macro/Block_2_-1.0_00001_.png,0.0913,0.9087
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_2,,,1.0,macro/Block_2_+1.0_00001_.png,0.0561,0.9439
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_2,,,2.0,macro/Block_2_+2.0_00001_.png,0.0784,0.9216
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_3,,,-2.0,macro/Block_3_-2.0_00001_.png,0.0865,0.9135
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_3,,,-1.0,macro/Block_3_-1.0_00001_.png,0.1259,0.8741
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_3,,,1.0,macro/Block_3_+1.0_00001_.png,0.1307,0.8693
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_3,,,2.0,macro/Block_3_+2.0_00001_.png,0.1046,0.8954
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_4,,,-2.0,macro/Block_4_-2.0_00001_.png,0.1215,0.8785
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_4,,,-1.0,macro/Block_4_-1.0_00001_.png,0.0963,0.9037
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_4,,,1.0,macro/Block_4_+1.0_00001_.png,0.0953,0.9047
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_4,,,2.0,macro/Block_4_+2.0_00001_.png,0.1336,0.8664
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_5,,,-2.0,macro/Block_5_-2.0_00001_.png,0.0549,0.9451
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_5,,,-1.0,macro/Block_5_-1.0_00001_.png,0.0537,0.9463
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_5,,,1.0,macro/Block_5_+1.0_00001_.png,0.0723,0.9277
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_5,,,2.0,macro/Block_5_+2.0_00001_.png,0.1319,0.8681
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_6,,,-2.0,macro/Block_6_-2.0_00001_.png,0.1858,0.8142
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_6,,,-1.0,macro/Block_6_-1.0_00001_.png,0.0848,0.9152
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_6,,,1.0,macro/Block_6_+1.0_00001_.png,0.1069,0.8931
benchmark_tiefling_report.html,tiefling,4242145,6,1.0,macro,Block_6,,,2.0,macro/Block_6_+2.0_00001_.png,0.3506,0.6494
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_1,,,-2.0,macro/Block_1_-2.0_00001_.png,0.179,0.821
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_1,,,-1.0,macro/Block_1_-1.0_00001_.png,0.0781,0.9219
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_1,,,1.0,macro/Block_1_+1.0_00001_.png,0.0931,0.9069
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_1,,,2.0,macro/Block_1_+2.0_00001_.png,0.2137,0.7863
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_2,,,-2.0,macro/Block_2_-2.0_00001_.png,0.188,0.812
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_2,,,-1.0,macro/Block_2_-1.0_00001_.png,0.12,0.88
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_2,,,1.0,macro/Block_2_+1.0_00001_.png,0.0851,0.9149
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_2,,,2.0,macro/Block_2_+2.0_00001_.png,0.0843,0.9157
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_3,,,-2.0,macro/Block_3_-2.0_00001_.png,0.1731,0.8269
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_3,,,-1.0,macro/Block_3_-1.0_00001_.png,0.1508,0.8492
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_3,,,1.0,macro/Block_3_+1.0_00001_.png,0.0917,0.9083
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_3,,,2.0,macro/Block_3_+2.0_00001_.png,0.12,0.88
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_4,,,-2.0,macro/Block_4_-2.0_00001_.png,0.1007,0.8993
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_4,,,-1.0,macro/Block_4_-1.0_00001_.png,0.095,0.905
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_4,,,1.0,macro/Block_4_+1.0_00001_.png,0.0624,0.9376
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_4,,,2.0,macro/Block_4_+2.0_00001_.png,0.1422,0.8578
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_5,,,-2.0,macro/Block_5_-2.0_00001_.png,0.0897,0.9103
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_5,,,-1.0,macro/Block_5_-1.0_00001_.png,0.0529,0.9471
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_5,,,1.0,macro/Block_5_+1.0_00001_.png,0.0694,0.9306
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_5,,,2.0,macro/Block_5_+2.0_00001_.png,0.1213,0.8787
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_6,,,-2.0,macro/Block_6_-2.0_00001_.png,0.1718,0.8282
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_6,,,-1.0,macro/Block_6_-1.0_00001_.png,0.0557,0.9443
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_6,,,1.0,macro/Block_6_+1.0_00001_.png,0.1265,0.8735
benchmark_tiefling_seed1337_report.html,tiefling,1337,6,1.0,macro,Block_6,,,2.0,macro/Block_6_+2.0_00001_.png,0.3292,0.6708
benchmark_tiefling_seed42_report.html,tiefling,42,6,1.0,macro,Block_1,,,-2.0,macro/Block_1_-2.0_00001_.png,0.1512,0.8488
benchmark_tiefling_seed42_report.html,tiefling,42,6,1.0,macro,Block_1,,,-1.0,macro/Block_1_-1.0_00001_.png,0.1448,0.8552
benchmark_tiefling_seed42_report.html,tiefling,42,6,1.0,macro,Block_1,,,1.0,macro/Block_1_+1.0_00001_.png,0.0827,0.9173
benchmark_tiefling_seed42_report.html,tiefling,42,6,1.0,macro,Block_1,,,2.0,macro/Block_1_+2.0_00001_.png,0.1275,0.8725
benchmark_tiefling_seed42_report.html,tiefling,42,6,1.0,macro,Block_2,,,-2.0,macro/Block_2_-2.0_00001_.png,0.1326,0.8674
benchmark_tiefling_seed42_report.html,tiefling,42,6,1.0,macro,Block_2,,,-1.0,macro/Block_2_-1.0_00001_.png,0.1518,0.8482
benchmark_tiefling_seed42_report.html,tiefling,42,6,1.0,macro,Block_2,,,1.0,macro/Block_2_+1.0_00001_.png,0.0871,0.9129
benchmark_tiefling_seed42_report.html,tiefling,42,6,1.0,macro,Block_2,,,2.0,macro/Block_2_+2.0_00001_.png,0.1519,0.8481
