block,rot_kind,angle_deg,tensors_touched,delta_norm,base_block_norm,d_block,base_model_norm,d_model
Block_1,rotX,-30.0,40,284.23760492,1933.87849770,0.14697801,5009.44749221,0.05674031
Block_1,rotX,-15.0,40,143.35360939,1933.87849770,0.07412752,5009.44749221,0.02861665
Block_1,rotX,15.0,40,143.35313482,1933.87849770,0.07412727,5009.44749221,0.02861656
Block_1,rotX,30.0,40,284.23829250,1933.87849770,0.14697836,5009.44749221,0.05674045
Block_2,rotX,-30.0,40,292.73045204,2325.19797617,0.12589485,5009.44749221,0.05843568
Block_2,rotX,-15.0,40,147.63537566,2325.19797617,0.06349368,5009.44749221,0.02947139
Block_2,rotX,15.0,40,147.63666981,2325.19797617,0.06349424,5009.44749221,0.02947165
Block_2,rotX,30.0,40,292.72965806,2325.19797617,0.12589451,5009.44749221,0.05843552
Block_3,rotX,-30.0,40,267.06855894,2265.08043293,0.11790688,5009.44749221,0.05331298
Block_3,rotX,-15.0,40,134.69476743,2265.08043293,0.05946578,5009.44749221,0.02688815
Block_3,rotX,15.0,40,134.69382168,2265.08043293,0.05946536,5009.44749221,0.02688796
Block_3,rotX,30.0,40,267.06841667,2265.08043293,0.11790681,5009.44749221,0.05331295
Block_4,rotX,-30.0,40,254.49549835,2085.24268795,0.12204599,5009.44749221,0.05080311
Block_4,rotX,-15.0,40,128.35339530,2085.24268795,0.06155322,5009.44749221,0.02562227
Block_4,rotX,15.0,40,128.35325562,2085.24268795,0.06155315,5009.44749221,0.02562224
Block_4,rotX,30.0,40,254.49615140,2085.24268795,0.12204630,5009.44749221,0.05080324
Block_5,rotX,-30.0,32,217.24206528,1720.95199532,0.12623366,5009.44749221,0.04336647
Block_5,rotX,-15.0,32,109.56407862,1720.95199532,0.06366481,5009.44749221,0.02187149
Block_5,rotX,15.0,32,109.56398440,1720.95199532,0.06366475,5009.44749221,0.02187147
Block_5,rotX,30.0,32,217.24076137,1720.95199532,0.12623290,5009.44749221,0.04336621
Block_6,rotX,-30.0,32,210.33709604,1360.07122866,0.15465153,5009.44749221,0.04198808
Block_6,rotX,-15.0,32,106.08214970,1360.07122866,0.07799750,5009.44749221,0.02117642
Block_6,rotX,15.0,32,106.08241451,1360.07122866,0.07799769,5009.44749221,0.02117647
Block_6,rotX,30.0,32,210.33652714,1360.07122866,0.15465111,5009.44749221,0.04198797
Block_3,structural_rot_y,-20.0,40,154.23115437,2265.08043293,0.06809081,5009.44749221,0.03078806
Block_3,structural_rot_y,20.0,40,154.23084292,2265.08043293,0.06809067,5009.44749221,0.03078799
Block_3,tensor_rot_x,-20.0,40,179.19096417,2265.08043293,0.07911020,5009.44749221,0.03577060
Block_3,tensor_rot_x,20.0,40,179.19110949,2265.08043293,0.07911026,5009.44749221,0.03577063
Block_3,tensor_rot_y,-20.0,40,179.19162003,2265.08043293,0.07911049,5009.44749221,0.03577074
Block_3,tensor_rot_y,20.0,40,179.19136648,2265.08043293,0.07911038,5009.44749221,0.03577068
