report,prompt_id,seed,steps,cfg,family,block,rot_kind,angle_deg,amplitude,image_rel,clip_dist,cosine_sim
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_1,rotX,-30.0,,rotations/Block_1_rotX_-30.0_00001_.png,0.4576,0.5424
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_1,rotX,-15.0,,rotations/Block_1_rotX_-15.0_00001_.png,0.1984,0.8016
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_1,rotX,15.0,,rotations/Block_1_rotX_+15.0_00001_.png,0.1347,0.8653
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_1,rotX,30.0,,rotations/Block_1_rotX_+30.0_00001_.png,0.3363,0.6637
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_2,rotX,-30.0,,rotations/Block_2_rotX_-30.0_00001_.png,0.1052,0.8948
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_2,rotX,-15.0,,rotations/Block_2_rotX_-15.0_00001_.png,0.0663,0.9337
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_2,rotX,15.0,,rotations/Block_2_rotX_+15.0_00001_.png,0.0661,0.9339
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_2,rotX,30.0,,rotations/Block_2_rotX_+30.0_00001_.png,0.0861,0.9139
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_3,rotX,-30.0,,rotations/Block_3_rotX_-30.0_00001_.png,0.0913,0.9087
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_3,rotX,-15.0,,rotations/Block_3_rotX_-15.0_00001_.png,0.0611,0.9389
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_3,rotX,15.0,,rotations/Block_3_rotX_+15.0_00001_.png,0.0555,0.9445
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_3,rotX,30.0,,rotations/Block_3_rotX_+30.0_00001_.png,0.1358,0.8642
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_4,rotX,-30.0,,rotations/Block_4_rotX_-30.0_00001_.png,0.0738,0.9262
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_4,rotX,-15.0,,rotations/Block_4_rotX_-15.0_00001_.png,0.0736,0.9264
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_4,rotX,15.0,,rotations/Block_4_rotX_+15.0_00001_.png,0.048,0.952
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_4,rotX,30.0,,rotations/Block_4_rotX_+30.0_00001_.png,0.084,0.916
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_5,rotX,-30.0,,rotations/Block_5_rotX_-30.0_00001_.png,0.073,0.927
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_5,rotX,-15.0,,rotations/Block_5_rotX_-15.0_00001_.png,0.0365,0.9635
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_5,rotX,15.0,,rotations/Block_5_rotX_+15.0_00001_.png,0.0572,0.9428
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_5,rotX,30.0,,rotations/Block_5_rotX_+30.0_00001_.png,0.063,0.937
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_6,rotX,-30.0,,rotations/Block_6_rotX_-30.0_00001_.png,0.652,0.348
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_6,rotX,-15.0,,rotations/Block_6_rotX_-15.0_00001_.png,0.4613,0.5387
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_6,rotX,15.0,,rotations/Block_6_rotX_+15.0_00001_.png,0.2973,0.7027
benchmark_african_scientist_report.html,african_scientist,4242145,6,1.0,rotX,Block_6,rotX,30.0,,rotations/Block_6_rotX_+30.0_00001_.png,0.6962,0.3038
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_1,rotX,-30.0,,rotations/Block_1_rotX_-30.0_00001_.png,0.5504,0.4496
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_1,rotX,-15.0,,rotations/Block_1_rotX_-15.0_00001_.png,0.1204,0.8796
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_1,rotX,15.0,,rotations/Block_1_rotX_+15.0_00001_.png,0.114,0.886
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_1,rotX,30.0,,rotations/Block_1_rotX_+30.0_00001_.png,0.4404,0.5596
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_2,rotX,-30.0,,rotations/Block_2_rotX_-30.0_00001_.png,0.086,0.914
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_2,rotX,-15.0,,rotations/Block_2_rotX_-15.0_00001_.png,0.0858,0.9142
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_2,rotX,15.0,,rotations/Block_2_rotX_+15.0_00001_.png,0.0757,0.9243
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_2,rotX,30.0,,rotations/Block_2_rotX_+30.0_00001_.png,0.1403,0.8597
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_3,rotX,-30.0,,rotations/Block_3_rotX_-30.0_00001_.png,0.0845,0.9155
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_3,rotX,-15.0,,rotations/Block_3_rotX_-15.0_00001_.png,0.0584,0.9416
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_3,rotX,15.0,,rotations/Block_3_rotX_+15.0_00001_.png,0.1109,0.8891
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_3,rotX,30.0,,rotations/Block_3_rotX_+30.0_00001_.png,0.1054,0.8946
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_4,rotX,-30.0,,rotations/Block_4_rotX_-30.0_00001_.png,0.1077,0.8923
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_4,rotX,-15.0,,rotations/Block_4_rotX_-15.0_00001_.png,0.1026,0.8974
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_4,rotX,15.0,,rotations/Block_4_rotX_+15.0_00001_.png,0.0624,0.9376
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_4,rotX,30.0,,rotations/Block_4_rotX_+30.0_00001_.png,0.1154,0.8846
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_5,rotX,-30.0,,rotations/Block_5_rotX_-30.0_00001_.png,0.0882,0.9118
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_5,rotX,-15.0,,rotations/Block_5_rotX_-15.0_00001_.png,0.0738,0.9262
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_5,rotX,15.0,,rotations/Block_5_rotX_+15.0_00001_.png,0.0769,0.9231
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_5,rotX,30.0,,rotations/Block_5_rotX_+30.0_00001_.png,0.1037,0.8963
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_6,rotX,-30.0,,rotations/Block_6_rotX_-30.0_00001_.png,0.5513,0.4487
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_6,rotX,-15.0,,rotations/Block_6_rotX_-15.0_00001_.png,0.245,0.755
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_6,rotX,15.0,,rotations/Block_6_rotX_+15.0_00001_.png,0.1606,0.8394
benchmark_combat_robot_report.html,combat_robot,4242145,6,1.0,rotX,Block_6,rotX,30.0,,rotations/Block_6_rotX_+30.0_00001_.png,0.5081,0.4919
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_1,rotX,-30.0,,rotations/Block_1_rotX_-30.0_00001_.png,0.6841,0.3159
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_1,rotX,-15.0,,rotations/Block_1_rotX_-15.0_00001_.png,0.0993,0.9007
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_1,rotX,15.0,,rotations/Block_1_rotX_+15.0_00001_.png,0.1164,0.8836
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_1,rotX,30.0,,rotations/Block_1_rotX_+30.0_00001_.png,0.2685,0.7315
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_2,rotX,-30.0,,rotations/Block_2_rotX_-30.0_00001_.png,0.1041,0.8959
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_2,rotX,-15.0,,rotations/Block_2_rotX_-15.0_00001_.png,0.0705,0.9295
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_2,rotX,15.0,,rotations/Block_2_rotX_+15.0_00001_.png,0.0791,0.9209
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_2,rotX,30.0,,rotations/Block_2_rotX_+30.0_00001_.png,0.1358,0.8642
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_3,rotX,-30.0,,rotations/Block_3_rotX_-30.0_00001_.png,0.1217,0.8783
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_3,rotX,-15.0,,rotations/Block_3_rotX_-15.0_00001_.png,0.0925,0.9075
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_3,rotX,15.0,,rotations/Block_3_rotX_+15.0_00001_.png,0.0915,0.9085
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_3,rotX,30.0,,rotations/Block_3_rotX_+30.0_00001_.png,0.1648,0.8352
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_4,rotX,-30.0,,rotations/Block_4_rotX_-30.0_00001_.png,0.1141,0.8859
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_4,rotX,-15.0,,rotations/Block_4_rotX_-15.0_00001_.png,0.0886,0.9114
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_4,rotX,15.0,,rotations/Block_4_rotX_+15.0_00001_.png,0.12,0.88
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_4,rotX,30.0,,rotations/Block_4_rotX_+30.0_00001_.png,0.2251,0.7749
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_5,rotX,-30.0,,rotations/Block_5_rotX_-30.0_00001_.png,0.146,0.854
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_5,rotX,-15.0,,rotations/Block_5_rotX_-15.0_00001_.png,0.0709,0.9291
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_5,rotX,15.0,,rotations/Block_5_rotX_+15.0_00001_.png,0.0756,0.9244
benchmark_elf_brawler_report.html,elf_brawler,4242145,6,1.0,rotX,Block_5,rotX,30.0,,rotations/Block_5_rotX_+30.0_00001_.png,0.1649,0.8351
