test,statistic,p,floor,n
spearman_cd_dmodel_tutti,0.0857,,,6
spearman_cd_dmodel_centrali,1.0,,,4
rotazione_dose15_Block_1_vs_centrali,0.0606,0.0156,0.0156,7
rotazione_dose15_Block_6_vs_centrali,0.2424,0.0156,0.0156,7
rotazione_dose30_Block_1_vs_centrali,0.345,0.0156,0.0156,7
rotazione_dose30_Block_6_vs_centrali,0.452,0.0156,0.0156,7
ampiezza_dose1_Block_1_vs_centrali,0.0033,0.2188,0.0156,7
ampiezza_dose1_Block_6_vs_centrali,0.0132,0.25,0.0156,7
ampiezza_dose2_Block_1_vs_centrali,0.0291,0.0938,0.0156,7
ampiezza_dose2_Block_6_vs_centrali,0.1011,0.0156,0.0156,7
prereg_estremi_vs_centrali,0.275,0.0156,0.0156,7
antisimmetria_Block_1_esplorativa,-0.0773,0.0312,0.0156,7
antisimmetria_Block_2_esplorativa,-0.0062,0.5156,0.0156,7
antisimmetria_Block_3_esplorativa,-0.0012,0.8906,0.0156,7
antisimmetria_Block_4_esplorativa,0.0108,0.4531,0.0156,7
antisimmetria_Block_5_esplorativa,-0.01,0.3438,0.0156,7
antisimmetria_Block_6_esplorativa,-0.1038,0.0156,0.0156,7
sd_seed_mediana_tiefling,0.0224,,,24
block6_meno_centrali,0.3472,,,7
