type,report,prompt_id,seed,block,rot_kind,angle_deg,image_path,file,condition,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
baseline,benchmark_elf_brawler,elf_brawler,,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,99.2043,0.1631,216.58,0.1796,#fcfdfd,2.7489,1.0861,25.93,0.1728,#0d0909,0.8277,70.555,10.2308,6,0.2548,73.3957,2.2961,0.8346,14.92,0.2027,#0b0808,36.2109,17.9213,252.72,0.0238,#375970,42.3857,74.2303,303.02,0.0053,#6350cc,54.4321,33.9262,116.63,0.0493,#7a884d,66.4577,53.907,60.19,0.0521,#e38d4e,72.8511,23.8414,70.88,0.0328,#d0ad8a
baseline,benchmark_tiefling_seed1337,tiefling,,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed1337\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,40.302,16.7917,265.75,0.069,#4b617a,6.9834,3.3365,352.07,0.3289,#1a1416,0.9332,81.9599,9.3615,6,0.2321,57.4009,3.464,2.3543,345.64,0.2111,#110b0e,14.3027,25.2768,319.86,0.0203,#341a3b,40.3712,37.2584,46.74,0.021,#904d34,46.7711,58.0162,309.1,0.0173,#835bbb,76.0135,35.3946,79.09,0.0203,#ddb57b,85.4238,0.6153,300.03,0.0062,#d6d5d6
baseline,benchmark_african_scientist,african_scientist,,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,83.6876,10.4192,74.4,0.1588,#decebe,8.0214,14.2652,283.1,0.2695,#0f172a,0.8194,87.6156,8.9086,5,0.2493,73.7505,3.3388,0.6313,9.42,0.0635,#0e0c0c,31.1242,20.0027,53.94,0.0248,#624231,42.4263,74.3818,302.9,0.0052,#6350cd,46.7952,28.5478,71.96,0.038,#8b6842,64.5018,15.1607,249.06,0.1858,#83a0b5,90.9543,17.8564,89.83,0.0157,#f3e4c3
baseline,benchmark_flag,flag,,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,35.5331,58.053,28.27,0.2064,#a0212b,0.5333,0.1589,335.26,0.1928,#020202,0.7826,63.4535,5.041,6,0.5795,74.141,0.4199,0.1359,337.77,0.2369,#020102,7.9845,14.2806,283.1,0.3427,#0f172a,16.2185,18.8149,22.96,0.023,#411e1f,27.8314,43.6738,27.04,0.0312,#7b2125,42.4661,74.2769,303.06,0.0058,#6350cd,63.8734,18.8704,74.19,0.0127,#b0977b
baseline,benchmark_tiefling,tiefling,,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,36.3434,45.0949,308.06,0.0451,#63478f,4.2477,3.1084,327.5,0.2926,#120d12,0.9809,82.8111,6.518,6,0.2294,72.2226,2.508,2.3073,330.32,0.2113,#0d080c,31.6665,30.6481,43.41,0.0181,#723b2b,42.6849,74.5299,303.07,0.0044,#6450ce,55.3013,39.3688,300.28,0.0124,#877bbf,71.4564,32.7642,74.4,0.014,#d1a876,85.3191,3.9651,267.8,0.0062,#d1d6dd
baseline,benchmark_tiefling_seed42,tiefling,,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,35.3164,46.8288,308.08,0.0336,#61448e,5.1423,3.3763,333.5,0.2849,#151014,0.983,71.7303,10.3116,5,0.301,66.7295,4.2097,2.9725,335.18,0.2422,#130d11,21.4186,33.3827,312.97,0.0119,#422858,32.5032,20.0419,279.85,0.0588,#3f4c6b,40.4701,34.3699,49.76,0.0174,#8b5035,43.2192,69.7021,305.02,0.0062,#6e51c6,75.9401,27.9855,78.39,0.0177,#d7b689
baseline,benchmark_combat_robot,combat_robot,,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,54.7672,5.8661,297.89,0.0311,#84828c,2.5908,2.3428,281.31,0.4638,#08090e,0.9855,85.7269,11.0016,5,0.6486,72.9693,1.6834,1.4395,286.2,0.3496,#06060a,8.0419,14.2564,283.16,0.299,#0f172a,39.7333,29.5862,272.64,0.0096,#3a5f8e,42.5473,74.4089,303.08,0.0043,#6450cd,62.1537,15.7231,29.84,0.0052,#b38d89,87.4102,13.4356,212.6,0.0069,#bbe2e8
baseline,benchmark_preraphaelite_altar,preraphaelite_altar,,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_preraphaelite_altar\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,43.0392,17.5634,63.59,0.0529,#7b604c,3.9387,1.5427,54.89,0.2963,#110d0b,0.9533,70.1268,6.3925,5,0.5456,73.3545,3.2065,1.0489,66.0,0.2601,#0e0b09,8.083,14.2293,283.52,0.2855,#10172a,21.9596,34.4365,32.34,0.0351,#5f1f1b,42.5799,74.4034,303.13,0.0046,#6450cd,64.0169,17.3245,77.73,0.0167,#ad987d,73.3333,43.3542,75.15,0.0055,#dfab67
baseline,benchmark_troll_shaman,troll_shaman,,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_troll_shaman\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,98.3393,0.7741,94.04,0.2096,#fbfaf9,3.254,0.567,96.43,0.0933,#0c0c0a,0.8064,74.9491,6.4927,6,0.4472,73.9099,2.5912,0.3512,92.58,0.1086,#0a0909,8.0979,14.1518,283.07,0.3386,#0f172a,30.5398,18.447,58.2,0.0599,#5e4230,42.608,74.2611,303.28,0.0052,#6550cd,55.3563,40.1159,139.46,0.0408,#5b9156,77.5403,17.7317,117.98,0.0515,#bcc3a2
rotX,benchmark_african_scientist,african_scientist,,Block_2,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_2_rotX_-30.0_00001_.png,Block_2_rotX_-30.0_00001_.png,,,,,1024,1760,81.894,6.5271,77.65,0.1475,#d4cac0,8.0041,14.2739,283.1,0.2685,#0f172a,0.8343,79.1505,4.5663,6,0.1537,75.8839,5.1329,1.6972,327.03,0.0846,#131013,20.3721,8.2752,54.9,0.0618,#3c2e27,34.7219,18.7833,69.72,0.0454,#654d36,43.0708,77.5811,305.07,0.0058,#6c4ed1,63.9231,15.1394,250.25,0.069,#829fb4,84.2834,22.2118,91.97,0.0126,#e1d1a9
