type,report,prompt_id,seed,block,rot_kind,angle_deg,image_path,file,condition,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
baseline,benchmark_elf_brawler,elf_brawler,,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,99.3886,0.1888,293.69,0.2703,#fcfdfd,4.2716,0.1261,87.91,0.1391,#0d0909,0.7348,74.7928,9.3858,5,0.259,40.5898,2.9674,0.1978,95.72,0.1704,#0b0808,30.519,18.4902,57.94,0.0886,#375970,46.2621,13.6467,274.92,0.0765,#6350cc,47.6221,23.1957,142.98,0.0549,#7a884d,55.7515,40.7876,139.39,0.0572,#e38d4e,77.7602,17.4716,117.54,0.0772,#d0ad8a
baseline,benchmark_tiefling_seed1337,tiefling,,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed1337\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,99.3886,0.1888,293.69,0.2703,#4b617a,4.2716,0.1261,87.91,0.1391,#1a1416,0.7348,74.7928,9.3858,5,0.259,40.5898,2.9674,0.1978,95.72,0.1704,#110b0e,30.519,18.4902,57.94,0.0886,#341a3b,46.2621,13.6467,274.92,0.0765,#904d34,47.6221,23.1957,142.98,0.0549,#835bbb,55.7515,40.7876,139.39,0.0572,#ddb57b,77.7602,17.4716,117.54,0.0772,#d6d5d6
baseline,benchmark_african_scientist,african_scientist,,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,99.3886,0.1888,293.69,0.2703,#decebe,4.2716,0.1261,87.91,0.1391,#0f172a,0.7348,74.7928,9.3858,5,0.259,40.5898,2.9674,0.1978,95.72,0.1704,#0e0c0c,30.519,18.4902,57.94,0.0886,#624231,46.2621,13.6467,274.92,0.0765,#6350cd,47.6221,23.1957,142.98,0.0549,#8b6842,55.7515,40.7876,139.39,0.0572,#83a0b5,77.7602,17.4716,117.54,0.0772,#f3e4c3
baseline,benchmark_flag,flag,,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,99.3886,0.1888,293.69,0.2703,#a0212b,4.2716,0.1261,87.91,0.1391,#020202,0.7348,74.7928,9.3858,5,0.259,40.5898,2.9674,0.1978,95.72,0.1704,#020102,30.519,18.4902,57.94,0.0886,#0f172a,46.2621,13.6467,274.92,0.0765,#411e1f,47.6221,23.1957,142.98,0.0549,#7b2125,55.7515,40.7876,139.39,0.0572,#6350cd,77.7602,17.4716,117.54,0.0772,#b0977b
baseline,benchmark_tiefling,tiefling,,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,99.3886,0.1888,293.69,0.2703,#63478f,4.2716,0.1261,87.91,0.1391,#120d12,0.7348,74.7928,9.3858,5,0.259,40.5898,2.9674,0.1978,95.72,0.1704,#0d080c,30.519,18.4902,57.94,0.0886,#723b2b,46.2621,13.6467,274.92,0.0765,#6450ce,47.6221,23.1957,142.98,0.0549,#877bbf,55.7515,40.7876,139.39,0.0572,#d1a876,77.7602,17.4716,117.54,0.0772,#d1d6dd
baseline,benchmark_tiefling_seed42,tiefling,,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,99.3886,0.1888,293.69,0.2703,#61448e,4.2716,0.1261,87.91,0.1391,#151014,0.7348,74.7928,9.3858,5,0.259,40.5898,2.9674,0.1978,95.72,0.1704,#130d11,30.519,18.4902,57.94,0.0886,#422858,46.2621,13.6467,274.92,0.0765,#3f4c6b,47.6221,23.1957,142.98,0.0549,#8b5035,55.7515,40.7876,139.39,0.0572,#6e51c6,77.7602,17.4716,117.54,0.0772,#d7b689
baseline,benchmark_combat_robot,combat_robot,,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,99.3886,0.1888,293.69,0.2703,#84828c,4.2716,0.1261,87.91,0.1391,#08090e,0.7348,74.7928,9.3858,5,0.259,40.5898,2.9674,0.1978,95.72,0.1704,#06060a,30.519,18.4902,57.94,0.0886,#0f172a,46.2621,13.6467,274.92,0.0765,#3a5f8e,47.6221,23.1957,142.98,0.0549,#6450cd,55.7515,40.7876,139.39,0.0572,#b38d89,77.7602,17.4716,117.54,0.0772,#bbe2e8
baseline,benchmark_preraphaelite_altar,preraphaelite_altar,,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_preraphaelite_altar\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,99.3886,0.1888,293.69,0.2703,#7b604c,4.2716,0.1261,87.91,0.1391,#110d0b,0.7348,74.7928,9.3858,5,0.259,40.5898,2.9674,0.1978,95.72,0.1704,#0e0b09,30.519,18.4902,57.94,0.0886,#10172a,46.2621,13.6467,274.92,0.0765,#5f1f1b,47.6221,23.1957,142.98,0.0549,#6450cd,55.7515,40.7876,139.39,0.0572,#ad987d,77.7602,17.4716,117.54,0.0772,#dfab67
baseline,benchmark_troll_shaman,troll_shaman,,,,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_troll_shaman\00_baseline_00001_.png,00_baseline_00001_.png,,,,,1024,1760,99.3886,0.1888,293.69,0.2703,#fbfaf9,4.2716,0.1261,87.91,0.1391,#0c0c0a,0.7348,74.7928,9.3858,5,0.259,40.5898,2.9674,0.1978,95.72,0.1704,#0a0909,30.519,18.4902,57.94,0.0886,#0f172a,46.2621,13.6467,274.92,0.0765,#5e4230,47.6221,23.1957,142.98,0.0549,#6550cd,55.7515,40.7876,139.39,0.0572,#5b9156,77.7602,17.4716,117.54,0.0772,#bcc3a2
rotX,benchmark_african_scientist,african_scientist,,Block_2,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_2_rotX_-30.0_00001_.png,Block_2_rotX_-30.0_00001_.png,,,,,1024,1760,99.6771,0.1146,326.09,0.1566,#d4cac0,2.5844,0.7444,340.1,0.1376,#0f172a,0.8446,79.733,8.3429,5,0.3147,26.3529,2.4551,0.7127,346.24,0.1608,#131013,18.3863,12.7289,37.45,0.1539,#3c2e27,43.0239,27.0656,71.73,0.1082,#654d36,44.256,11.439,173.27,0.091,#6c4ed1,58.8781,26.3861,141.07,0.0493,#829fb4,82.1881,22.3364,311.59,0.0232,#e1d1a9
rotX,benchmark_african_scientist,african_scientist,,Block_1,rotX,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_1_rotX_+15.0_00001_.png,Block_1_rotX_+15.0_00001_.png,,,,,1024,1760,98.2668,0.6175,338.72,0.4042,#dbcfc4,6.5487,1.5726,1.9,0.0849,#101627,0.6019,78.3783,12.2621,4,0.198,32.0548,3.2664,1.1279,29.17,0.0987,#0e0c0e,16.032,16.8274,48.79,0.0853,#422a27,46.7018,21.6505,139.45,0.0591,#73503b,75.9802,33.1827,304.51,0.0665,#6056d2,77.4769,23.1767,87.59,0.0441,#96afc3,81.6447,21.2316,294.82,0.0992,#e4d9b7
