recovered_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex,bench,prompt_id,seed,condition,output_folder
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations\Block_3_rotX_+30.0_00001_.png,Block_3_rotX_+30.0_00001_.png,,,,1024,1280,99.5587,0.2839,309.89,0.2871,#fefefe,2.8355,0.375,16.37,0.1204,#0b0a0a,0.7151,77.6,10.9456,5,0.3236,40.1787,2.5687,0.3318,67.44,0.1648,#0a0909,36.7982,23.5834,146.79,0.0313,#3b5f41,41.4987,21.6041,106.13,0.0597,#64643f,49.0818,9.6921,263.36,0.1588,#6a7685,58.7545,40.5105,143.58,0.0664,#5d9b62,80.1687,20.3152,316.19,0.0509,#d7bfe1,pilot_rotations,african_scientist,4242145,rotX,rotations
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations\Block_3_rotX_+30.0_00001_.png,Block_3_rotX_+30.0_00001_.png,,,,1024,1280,99.5587,0.2839,309.89,0.2871,#fefefe,2.8355,0.375,16.37,0.1204,#0b0a0a,0.7151,77.6,10.9456,5,0.3236,40.1787,2.5687,0.3318,67.44,0.1648,#0a0909,36.7982,23.5834,146.79,0.0313,#3b5f41,41.4987,21.6041,106.13,0.0597,#64643f,49.0818,9.6921,263.36,0.1588,#6a7685,58.7545,40.5105,143.58,0.0664,#5d9b62,80.1687,20.3152,316.19,0.0509,#d7bfe1,pilot_rotations,combat_robot,4242145,rotX,rotations
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations\Block_3_rotX_+30.0_00001_.png,Block_3_rotX_+30.0_00001_.png,,,,1024,1280,99.5587,0.2839,309.89,0.2871,#fefefe,2.8355,0.375,16.37,0.1204,#0b0a0a,0.7151,77.6,10.9456,5,0.3236,40.1787,2.5687,0.3318,67.44,0.1648,#0a0909,36.7982,23.5834,146.79,0.0313,#3b5f41,41.4987,21.6041,106.13,0.0597,#64643f,49.0818,9.6921,263.36,0.1588,#6a7685,58.7545,40.5105,143.58,0.0664,#5d9b62,80.1687,20.3152,316.19,0.0509,#d7bfe1,pilot_rotations,elf_brawler,4242145,rotX,rotations
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations\Block_3_rotX_+30.0_00001_.png,Block_3_rotX_+30.0_00001_.png,,,,1024,1280,99.5587,0.2839,309.89,0.2871,#fefefe,2.8355,0.375,16.37,0.1204,#0b0a0a,0.7151,77.6,10.9456,5,0.3236,40.1787,2.5687,0.3318,67.44,0.1648,#0a0909,36.7982,23.5834,146.79,0.0313,#3b5f41,41.4987,21.6041,106.13,0.0597,#64643f,49.0818,9.6921,263.36,0.1588,#6a7685,58.7545,40.5105,143.58,0.0664,#5d9b62,80.1687,20.3152,316.19,0.0509,#d7bfe1,pilot_rotations,flag,4242145,rotX,rotations
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations\Block_3_rotX_+30.0_00001_.png,Block_3_rotX_+30.0_00001_.png,,,,1024,1280,99.5587,0.2839,309.89,0.2871,#fefefe,2.8355,0.375,16.37,0.1204,#0b0a0a,0.7151,77.6,10.9456,5,0.3236,40.1787,2.5687,0.3318,67.44,0.1648,#0a0909,36.7982,23.5834,146.79,0.0313,#3b5f41,41.4987,21.6041,106.13,0.0597,#64643f,49.0818,9.6921,263.36,0.1588,#6a7685,58.7545,40.5105,143.58,0.0664,#5d9b62,80.1687,20.3152,316.19,0.0509,#d7bfe1,pilot_rotations,preraphaelite_altar,4242145,rotX,rotations
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations\Block_3_rotX_+30.0_00001_.png,Block_3_rotX_+30.0_00001_.png,,,,1024,1280,99.5587,0.2839,309.89,0.2871,#fefefe,2.8355,0.375,16.37,0.1204,#0b0a0a,0.7151,77.6,10.9456,5,0.3236,40.1787,2.5687,0.3318,67.44,0.1648,#0a0909,36.7982,23.5834,146.79,0.0313,#3b5f41,41.4987,21.6041,106.13,0.0597,#64643f,49.0818,9.6921,263.36,0.1588,#6a7685,58.7545,40.5105,143.58,0.0664,#5d9b62,80.1687,20.3152,316.19,0.0509,#d7bfe1,pilot_rotations,tiefling,4242145,rotX,rotations
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations\Block_3_rotX_+30.0_00001_.png,Block_3_rotX_+30.0_00001_.png,,,,1024,1280,99.5587,0.2839,309.89,0.2871,#fefefe,2.8355,0.375,16.37,0.1204,#0b0a0a,0.7151,77.6,10.9456,5,0.3236,40.1787,2.5687,0.3318,67.44,0.1648,#0a0909,36.7982,23.5834,146.79,0.0313,#3b5f41,41.4987,21.6041,106.13,0.0597,#64643f,49.0818,9.6921,263.36,0.1588,#6a7685,58.7545,40.5105,143.58,0.0664,#5d9b62,80.1687,20.3152,316.19,0.0509,#d7bfe1,pilot_rotations,tiefling,1337,rotX,rotations
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations\Block_3_rotX_+30.0_00001_.png,Block_3_rotX_+30.0_00001_.png,,,,1024,1280,99.5587,0.2839,309.89,0.2871,#fefefe,2.8355,0.375,16.37,0.1204,#0b0a0a,0.7151,77.6,10.9456,5,0.3236,40.1787,2.5687,0.3318,67.44,0.1648,#0a0909,36.7982,23.5834,146.79,0.0313,#3b5f41,41.4987,21.6041,106.13,0.0597,#64643f,49.0818,9.6921,263.36,0.1588,#6a7685,58.7545,40.5105,143.58,0.0664,#5d9b62,80.1687,20.3152,316.19,0.0509,#d7bfe1,pilot_rotations,tiefling,42,rotX,rotations
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations\Block_3_rotX_+30.0_00001_.png,Block_3_rotX_+30.0_00001_.png,,,,1024,1280,99.5587,0.2839,309.89,0.2871,#fefefe,2.8355,0.375,16.37,0.1204,#0b0a0a,0.7151,77.6,10.9456,5,0.3236,40.1787,2.5687,0.3318,67.44,0.1648,#0a0909,36.7982,23.5834,146.79,0.0313,#3b5f41,41.4987,21.6041,106.13,0.0597,#64643f,49.0818,9.6921,263.36,0.1588,#6a7685,58.7545,40.5105,143.58,0.0664,#5d9b62,80.1687,20.3152,316.19,0.0509,#d7bfe1,pilot_rotations,troll_shaman,4242145,rotX,rotations
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations\Block_5_rotX_+15.0_00001_.png,Block_5_rotX_+15.0_00001_.png,,,,1024,1280,99.758,0.1774,96.16,0.2563,#fefefe,5.8067,0.6839,117.44,0.1514,#131312,0.7485,80.5683,11.7016,4,0.2827,40.1438,3.764,0.5084,87.93,0.1719,#0e0d0c,30.2289,18.2494,52.39,0.1109,#5f4031,43.1013,14.006,157.13,0.0966,#526c5c,47.4326,40.6522,144.75,0.0909,#3d7e47,80.3262,19.7214,306.87,0.0768,#d0c1e5,84.3323,15.1036,99.01,0.0433,#dad3b6,pilot_rotations,african_scientist,4242145,rotX,rotations
