type,report,prompt_id,seed,block,rot_kind,angle_deg,image_path,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
baseline,benchmark_elf_brawler,elf_brawler,4242145,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_elf_brawler\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,2.799999952316284,2.0998048782348633,0.7499303264265457,0.08326305042613637,72.42277992277992,2072,2.4423930644989014,3.5964159965515137,0.6697000000000001,0.8148899769217897,9.576907767614339,46.51610565185547,4,16.0,6.7144656444478965,7.986651699124083,0.8190400928237789,0.330820554375752,0.9670179816595799,2.2819861974997058,0.9289467551491478,-3.206129581673386,1.918461186561459e-05
baseline,benchmark_tiefling_seed1337,tiefling,1337,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed1337\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,4.0,2.31125807762146,0.577814519405365,0.027434747869318182,109.14790286975717,453,2.767486333847046,3.7166085243225098,0.6172,0.828225425542668,9.937629132205977,33.89435577392578,1,12.0,7.336616141814154,2.2093109727622506,0.9004711329886035,0.3684181373748866,0.9460878265188588,2.504626999774091,0.8871232466264205,-3.215678828769449,2.207041135899117e-05
baseline,benchmark_african_scientist,african_scientist,4242145,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,2.799999952316284,2.139613628387451,0.7641477374374481,0.03754549893465909,87.53686934023285,773,2.9527077674865723,3.863083839416504,0.534,0.8775956855706247,11.395424332651563,33.48838424682617,3,20.0,7.039990612855618,2.297574963777575,0.870884696847301,0.300753503788931,0.9861258153785077,2.642555836494096,0.8711314808238636,-3.2163559963070396,6.123581267149491e-06
baseline,benchmark_flag,flag,4242145,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_flag\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,2.799999952316284,1.7511417865753174,0.6254077915703874,0.05233986594460227,75.10270700636943,1256,3.2393059730529785,4.06542444229126,0.6818500000000001,0.7983685505072067,9.148113098947805,71.38195037841797,2,18.0,7.100943606038457,2.6961698424375165,0.8406589004133007,0.4074647434219063,0.8942802874492197,2.515747672061527,0.8874783602627841,-2.997109911301502,4.6930619140719514e-05
baseline,benchmark_tiefling,tiefling,4242145,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,2.799999952316284,2.2587051391601562,0.8066804205805986,0.028437389026988637,122.9040767386091,417,2.752112627029419,3.706094980239868,0.6192,0.814481488428059,9.566067383434065,30.479232788085938,1,14.0,7.258200904684394,2.0371093911446265,0.8899488365653802,0.3712187312891584,0.9362987770105209,2.5702677582775366,0.8899369673295455,-3.156099890571077,2.993880705139337e-05
baseline,benchmark_tiefling_seed42,tiefling,42,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_tiefling_seed42\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,4.0,2.2382736206054688,0.5595684051513672,0.026509232954545454,94.6059405940594,505,2.902663469314575,3.7974560260772705,0.63585,0.8175833522911699,9.648692192307808,31.609834671020508,1,16.0,7.6899760356692735,2.2076710565967272,0.8865469699304966,0.37873958305229505,0.9312445621129318,2.6111950556208186,0.8916687011718749,-3.182594068420601,2.843282766175693e-05
baseline,benchmark_combat_robot,combat_robot,4242145,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,2.799999952316284,2.377312421798706,0.8490401651014629,0.02559814453125,54.59644970414201,845,3.0395960807800293,3.8931314945220947,0.80385,0.7019669813238668,7.002489549834833,22.122547149658203,1,16.0,7.764518971261734,2.6699429399417696,0.9058734734379432,0.43310763003309327,0.9072864310223089,2.46584126776495,0.9003035111860795,-3.0414984990660563,5.988917813477958e-05
baseline,benchmark_preraphaelite_altar,preraphaelite_altar,4242145,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_preraphaelite_altar\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,2.0,1.6827576160430908,0.8413788080215454,0.046568714488636365,50.98906439854192,1646,3.4449126720428467,4.053334712982178,0.67515,0.7964088448233393,9.098542004942129,31.493492126464844,1,21.0,6.466347677135546,2.1051416277735684,0.8055519182538013,0.35451046011749787,0.92678585387475,2.8522135012280128,0.8560003107244318,-2.939374451941765,4.7412092060206e-05
baseline,benchmark_troll_shaman,troll_shaman,4242145,None,None,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_troll_shaman\00_baseline_00001_.png,00_baseline_00001_.png,1024,1760,4.0,2.2540676593780518,0.5635169148445129,0.07616133256392045,87.87516005121638,1562,2.271611452102661,3.416572332382202,0.60215,0.8486394003811258,10.5163167874662,28.217376708984375,5,14.0,6.670641286135759,11.087075581315771,0.832386743396544,0.32622169530865175,0.955274755416041,2.06572043822022,0.9635387073863636,-3.2863586232300803,1.7818596058114722e-05
rotX,benchmark_african_scientist,african_scientist,4242145,Block_2,rotX,-30.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_african_scientist\rotations\Block_2_rotX_-30.0_00001_.png,Block_2_rotX_-30.0_00001_.png,1024,1760,2.799999952316284,2.2440879344940186,0.8014599902537889,0.04066495028409091,63.56287944492628,1153,3.1495919227600098,3.9665074348449707,0.5194000000000001,0.8859334267868937,11.661922272616428,27.967247009277344,3,20.0,7.812520399973367,2.717854273109044,0.8556912319989125,0.29919024035509206,0.9827056801096682,2.768456470851052,0.8681918057528408,-3.004969530103502,8.693981140991278e-06
