preset_name,delta_w_model_abs,d_model_relative,model_base_total_norm,delta_w_clip_abs,d_clip_relative,clip_base_total_norm,status
Arthemy_Bench_Base,267.37214627,0.05381584,4968.27978795,55.27659757,0.02562789,2156.89195511,PASS
Arthemy_Bench_NEG,267.37214627,0.05381584,4968.27978795,55.27659757,0.02562789,2156.89195511,PASS
Arthemy_Bench_BLOCKSHUFFLE,267.37214627,0.05381584,4968.27978795,55.27659757,0.02562789,2156.89195511,PASS
Arthemy_Bench_BLOCKSHUFFLE_NEG,267.37214627,0.05381584,4968.27978795,55.27659757,0.02562789,2156.89195511,PASS
Arthemy_Bench_RANDSIGN,267.37214627,0.05381584,4968.27978795,55.27659757,0.02562789,2156.89195511,PASS
Arthemy_Bench_RANDSIGN_NEG,267.37214627,0.05381584,4968.27978795,55.27659757,0.02562789,2156.89195511,PASS
Arthemy_Bench_CHAOS_EDGES,267.37214627,0.05381584,4968.27978795,55.27659757,0.02562789,2156.89195511,PASS
Arthemy_Bench_CHAOS_MID,267.37214627,0.05381584,4968.27978795,55.27659757,0.02562789,2156.89195511,PASS
Arthemy_Bench_CHAOS_ATTN,267.37214627,0.05381584,4968.27978795,55.27659757,0.02562789,2156.89195511,PASS
Arthemy_Bench_CHAOS_MLP,267.37214627,0.05381584,4968.27978795,55.27659757,0.02562789,2156.89195511,PASS
Arthemy_Bench_CHAOS_RAMP,267.37214627,0.05381584,4968.27978795,55.27659757,0.02562789,2156.89195511,PASS
Arthemy_Bench_CHAOS_RAND2,267.37214627,0.05381584,4968.27978795,55.27659757,0.02562789,2156.89195511,PASS
Arthemy_Bench_CHAOS_EDGES_V2,267.37214627,0.05381584,4968.27978795,55.27659757,0.02562789,2156.89195511,PASS
Arthemy_Bench_HALF,133.68607313,0.02690792,4968.27978795,27.63829878,0.01281395,2156.89195511,PASS
