block,r_pos,r_neg,common_mode,swing,specularity,amp_pos,amp_neg
00,0.840660,1.100145,0.961690,0.764135,0.924848,11.444599,7.878025
01,1.038988,0.972221,1.005051,1.068675,1.010127,2.446304,2.037369
02,0.978538,1.003149,0.990767,0.975467,0.981619,1.620223,0.515884
03,0.967357,0.995827,0.981489,0.971410,0.963320,2.620681,0.959777
04,0.987295,1.004257,0.995740,0.983110,0.991498,1.721983,0.665065
05,1.016963,0.985658,1.001188,1.031761,1.002377,2.188509,1.383022
06,1.007809,0.976900,0.992234,1.031639,0.984529,1.774924,1.589347
07,1.010332,0.993667,1.001965,1.016771,1.003934,1.664845,0.746061
08,0.968303,1.003438,0.985714,0.964986,0.971633,1.874195,0.814724
09,0.974300,1.001966,0.988036,0.972388,0.976216,2.775064,1.451726
10,0.999663,0.979420,0.989490,1.020668,0.979090,2.761367,2.148402
11,0.956960,1.045143,1.000080,0.915626,1.000159,3.241581,4.209251
12,1.027038,0.969163,0.997681,1.059717,0.995367,2.549421,2.098281
13,1.015191,0.953026,0.983618,1.065229,0.967504,2.900336,3.032979
14,1.056210,0.973114,1.013811,1.085392,1.027813,3.865413,1.910588
15,1.043837,0.930861,0.985732,1.121368,0.971667,4.296029,5.176845
16,1.067756,0.913355,0.987542,1.169048,0.975240,6.931475,6.096191
17,0.907657,1.079205,0.989721,0.841042,0.979547,6.355908,5.124077
18,0.902216,1.037881,0.967674,0.869286,0.936392,6.658651,3.507747
19,0.959076,0.954502,0.956786,1.004792,0.915440,3.559417,3.750168
20,0.979473,0.999912,0.989640,0.979559,0.979387,3.768017,2.535596
21,1.023928,0.962734,0.992859,1.063563,0.985770,4.398111,2.734301
22,0.941656,0.986886,0.964006,0.954169,0.929307,4.801676,0.966797
23,0.863694,1.034617,0.945300,0.834796,0.893593,8.807622,3.951595
24,0.948387,0.979225,0.963683,0.968508,0.928684,3.973441,1.409610
25,0.862064,0.994595,0.925961,0.866749,0.857404,8.780660,3.061595
26,0.813506,1.017867,0.909968,0.799226,0.828041,13.621680,1.495314
27,1.080958,0.776043,0.915898,1.392910,0.838869,8.976728,14.749754
