key,coherence,p,A,ratio,cos_pm
preset,0.3828,0.0036,2.5764,0.9354,0.0836
blockshuffle,0.3592,0.008,2.3509,0.8873,0.0963
randsign,0.4665,0.0015,2.1324,0.7407,0.2986
preset-randsign,-0.0837,0.66715,,"CI[-0.420,+0.214]",
preset-blockshuffle,0.0236,0.4499,,"CI[-0.350,+0.381]",
blockshuffle-randsign,-0.1072,0.75815,,"CI[-0.392,+0.183]",
loading|preset|gradation_grad_0,0.4716,,,,
loading|preset|gradation_grad_3,-0.4548,,,,
loading|preset|gradation_grad_4,-0.3395,,,,
loading|preset|gradation_grad_2,-0.31,,,,
loading|preset|top_share_32,0.2702,,,,
loading|preset|top_share_16,0.2175,,,,
loading|blockshuffle|gradation_grad_3,0.5126,,,,
loading|blockshuffle|gradation_grad_1,-0.494,,,,
loading|blockshuffle|gradation_grad_2,0.3384,,,,
loading|blockshuffle|gradation_grad_5,0.3177,,,,
loading|blockshuffle|gradation_grad_4,0.2939,,,,
loading|blockshuffle|gradation_grad_0,-0.278,,,,
loading|randsign|gradation_grad_1,-0.7139,,,,
loading|randsign|gradation_grad_0,0.5134,,,,
loading|randsign|gradation_grad_2,-0.3303,,,,
loading|randsign|gradation_grad_5,-0.1591,,,,
loading|randsign|chroma_0,0.1502,,,,
loading|randsign|flat_colour_area,-0.1423,,,,
