prompt_id,V_p,cos_1_same,cos_1_diff,cos_6_same,cos_6_diff,V_scramble_p,cos_sa_same,cos_sa_diff,cos_sb_same,cos_sb_diff
S01_oil,1.16954,0.98243,-0.2136,0.9563,-0.18675,0.34823,0.93114,0.18467,0.58923,0.63924
S02_linocut,1.04967,0.98832,0.03545,0.98353,-0.16294,0.3738,0.97033,0.60781,0.97618,0.59109
S03_cyberpunk,1.08251,0.92241,-0.28892,0.98767,0.03398,0.78514,0.93762,0.24764,0.32531,-0.55498
S04_gouache,0.99324,0.9883,0.0443,0.99644,-0.04603,0.66886,0.92998,0.35235,0.32002,-0.44007
S05_pencil,1.06477,0.99226,-0.04715,0.9646,-0.12554,0.43487,0.91405,0.58067,0.98826,0.45189
S06_pastel,1.12254,0.98764,-0.15592,0.97368,-0.12783,0.60968,0.9281,0.17345,0.96391,0.4992
S07_comic,0.98079,0.99612,-0.08326,0.9455,0.06331,0.2594,0.8541,0.73174,0.94906,0.55262
S08_papercraft,1.09337,0.98785,-0.14312,0.99963,-0.05614,0.6192,0.99437,0.45699,0.79933,0.09831
S09_fresco,1.1013,0.99695,-0.12644,0.99425,-0.08496,0.79875,0.8949,0.18326,0.60153,-0.28432
S10_synthwave,0.72824,0.88079,0.37396,0.95612,0.00646,0.42512,0.93013,0.15957,0.89372,0.81405
