recovered_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex,bench,prompt_id,seed,condition,output_folder
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s1337_Block_6_pos_00001_.png,S01_oil_s1337_Block_6_pos_00001_.png,,,,1024,1280,10.6041,16.696,72.25,0.0385,#2a1a00,1.0662,4.6894,20.38,0.1912,#100000,0.8072,17.981,3.1026,3,0.2545,22.6006,0.9596,4.3803,19.59,0.1721,#0f0000,3.1348,6.5222,45.37,0.0222,#170700,3.3125,9.0727,34.11,0.0824,#1c0600,4.5301,14.5282,28.75,0.0231,#240600,12.901,20.7685,129.45,0.0003,#162607,18.9406,26.9809,91.83,0.0037,#372d00,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,1337,Block_6_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s4242145_Block_6_pos_00001_.png,S01_oil_s4242145_Block_6_pos_00001_.png,,,,1024,1280,20.5253,29.3824,81.99,0.0556,#412e00,5.5266,9.7825,57.91,0.1397,#1e0f00,0.7268,22.7682,4.78,2,0.1575,28.6345,4.2288,7.1324,59.63,0.0526,#190c01,7.297,11.5049,72.67,0.0765,#201400,8.0367,16.0993,49.18,0.0694,#291100,12.0245,18.0784,81.65,0.0811,#2b1e00,13.1876,22.6744,60.66,0.0502,#371b00,26.9971,35.7668,99.12,0.0011,#464101,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,4242145,Block_6_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s1337_baseline_00001_.png,S01_oil_s1337_baseline_00001_.png,,,,1024,1280,78.8946,10.531,91.15,0.159,#cbc3b0,14.4208,2.8521,350.95,0.1095,#282325,0.8554,64.445,4.2815,5,0.2093,61.8937,6.8836,2.4462,26.78,0.0589,#191414,23.8076,39.9266,31.89,0.0348,#6a1d1b,38.8506,64.3399,36.56,0.0222,#ac2a20,43.7835,33.0841,68.18,0.0634,#895f34,59.2697,57.506,71.57,0.0346,#c28129,71.3286,6.0414,225.5,0.1459,#a2b1b6,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,1337,baseline,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s1337_Block_1_neg_00001_.png,S01_oil_s1337_Block_1_neg_00001_.png,,,,1024,1280,70.6134,23.2108,87.04,0.1133,#bfab83,15.3964,6.0921,90.68,0.1183,#2a261e,0.8933,59.035,11.2242,4,0.236,57.0091,8.1069,2.9893,93.07,0.0602,#191814,19.1638,35.614,33.02,0.0353,#591714,33.3427,18.3123,78.18,0.1312,#5e4c32,35.1485,59.9985,39.22,0.0286,#9b2817,66.7752,36.1571,79.65,0.0225,#c29d62,67.1419,11.1435,121.57,0.1048,#a0a692,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,1337,Block_1_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s1337_scramble_B_00001_.png,S01_oil_s1337_scramble_B_00001_.png,,,,1024,1280,73.761,13.5265,83.96,0.1096,#c2b49d,10.6091,2.2332,15.27,0.1044,#201c1c,0.8896,55.0831,3.5425,6,0.1942,64.3162,9.0688,1.7704,356.21,0.0978,#1c191a,22.0004,40.7557,34.17,0.0255,#651914,33.5642,31.4402,67.2,0.0964,#6d4721,40.3621,66.0866,37.42,0.0128,#b22d20,47.8163,43.1514,67.8,0.0488,#9c662d,64.1519,19.7812,68.52,0.0195,#b4967b,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,1337,scramble_B,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s4242145_Block_1_neg_00001_.png,S01_oil_s4242145_Block_1_neg_00001_.png,,,,1024,1280,71.9012,19.2925,87.66,0.1084,#bfaf8d,12.6498,3.6206,74.74,0.0749,#24201c,0.8989,72.5265,8.6396,6,0.13,49.9807,9.1865,2.4391,73.56,0.0555,#1c1917,17.9722,36.0283,33.48,0.0269,#561411,34.9237,52.4198,39.63,0.021,#93311e,41.4686,9.1984,200.92,0.0745,#4e6667,51.3917,31.7041,76.64,0.0433,#967546,81.713,20.6793,88.88,0.0186,#dbc9a5,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,4242145,Block_1_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s1337_scramble_A_00001_.png,S01_oil_s1337_scramble_A_00001_.png,,,,1024,1280,59.6009,49.078,60.25,0.0566,#c97d45,6.3144,4.3334,321.98,0.3367,#171218,0.9898,56.5368,5.56,5,0.3038,79.5594,5.135,2.8322,20.44,0.2188,#161010,19.2034,40.1138,305.71,0.0226,#34245f,23.6403,38.039,45.21,0.085,#632510,42.5672,26.9843,133.76,0.0202,#506c44,47.9051,82.3916,35.13,0.0299,#dc2525,61.6718,58.284,64.44,0.0268,#d38235,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,1337,scramble_A,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s1337_Block_6_neg_00001_.png,S01_oil_s1337_Block_6_neg_00001_.png,,,,1024,1280,71.9856,15.6257,322.14,0.1234,#bfaac2,58.0151,21.0457,319.44,0.1267,#9d83a4,0.2753,7.8466,1.0963,1,0.172,9.8601,54.9321,21.1848,322.99,0.0554,#977a9a,58.5488,23.8165,316.19,0.0883,#9e84aa,59.1456,14.6186,332.94,0.0416,#a0879a,59.9679,19.8292,335.07,0.0486,#aa86a0,61.7345,18.6504,348.69,0.0389,#b28a9c,62.7787,24.4786,312.92,0.0837,#a78fb8,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,1337,Block_6_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s4242145_scramble_B_00001_.png,S01_oil_s4242145_scramble_B_00001_.png,,,,1024,1280,73.802,14.9252,82.03,0.1056,#c4b39b,10.4568,3.1777,32.53,0.1226,#211b1a,0.8932,54.7868,5.2782,5,0.2462,61.6256,7.4877,2.5531,26.27,0.0998,#1a1515,20.9659,39.9532,33.94,0.026,#621713,38.3482,64.1788,38.42,0.0152,#a92b1b,47.3147,43.2687,68.3,0.0411,#9a652b,60.43,20.8044,66.11,0.0257,#ac8c71,62.2745,3.4422,176.5,0.1464,#909896,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,4242145,scramble_B,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s1337_Block_1_pos_00001_.png,S01_oil_s1337_Block_1_pos_00001_.png,,,,1024,1280,83.3817,6.0883,114.14,0.203,#d0d1c5,12.4566,4.8529,346.33,0.0866,#261e22,0.8143,69.3097,5.4251,5,0.1347,67.7059,8.5208,2.9532,0.82,0.0708,#1d1719,24.1492,39.8514,27.19,0.0276,#6c1c20,28.5562,16.7068,278.06,0.0594,#37435d,41.9206,70.6591,37.2,0.0319,#bc2a1f,56.6439,46.6538,80.39,0.0639,#aa8135,77.8305,21.6886,87.37,0.0592,#d2be98,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,1337,Block_1_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s42_Block_1_neg_00001_.png,S01_oil_s42_Block_1_neg_00001_.png,,,,1024,1280,72.2199,20.5241,90.1,0.12,#bfb08c,9.9276,3.6364,64.81,0.0652,#1f1a17,0.8868,73.0207,13.0924,5,0.1981,56.7192,6.9464,2.8931,57.55,0.0524,#191512,17.6565,39.3809,34.42,0.0273,#580f0b,33.239,15.1632,79.34,0.1224,#5b4c37,40.6373,8.1381,197.18,0.0757,#4f6463,41.0955,59.6123,38.74,0.0212,#ad3926,79.9671,25.324,85.92,0.0156,#dbc497,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,42,Block_1_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s4242145_baseline_00001_.png,S01_oil_s4242145_baseline_00001_.png,,,,1024,1280,78.3118,11.3188,85.15,0.1626,#ccc0ad,13.6839,5.1442,37.67,0.1098,#2a211f,0.8511,67.6874,6.0229,5,0.1467,58.5061,9.4457,3.9891,39.14,0.0804,#201917,27.0426,41.1604,30.79,0.0264,#752422,37.6416,62.4952,36.95,0.0232,#a7291e,53.1328,9.6429,235.23,0.0663,#6d828c,56.5389,40.379,72.03,0.0561,#af7e44,77.1331,25.6478,79.69,0.0168,#d8ba90,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,4242145,baseline,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s42_Block_6_pos_00001_.png,S01_oil_s42_Block_6_pos_00001_.png,,,,1024,1280,17.559,27.3899,69.21,0.0333,#402500,2.0505,8.1258,22.91,0.2008,#180100,0.8938,23.8267,5.3584,2,0.2494,27.7357,1.7292,7.0341,22.01,0.117,#160100,4.4725,15.388,26.84,0.1324,#250500,8.8159,15.5151,59.07,0.0276,#291400,9.25,19.2884,47.0,0.0546,#2f1200,10.4178,23.83,42.02,0.0323,#361100,25.5559,34.7697,84.83,0.0006,#4e3a01,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,42,Block_6_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s4242145_Block_1_pos_00001_.png,S01_oil_s4242145_Block_1_pos_00001_.png,,,,1024,1280,82.2872,5.359,117.57,0.1663,#cccec4,14.7606,4.3821,300.09,0.1199,#26242a,0.8439,72.2608,4.8248,6,0.174,72.0991,9.2436,3.5585,309.75,0.0861,#1b191e,28.0006,45.153,32.61,0.0246,#7b221f,42.9208,75.6575,37.37,0.0199,#c4251b,58.6008,20.5278,239.14,0.0879,#6194ab,63.8024,43.5478,77.45,0.0671,#c0934e,81.5044,21.6414,88.06,0.0314,#dcc9a2,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,4242145,Block_1_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s42_Block_1_pos_00001_.png,S01_oil_s42_Block_1_pos_00001_.png,,,,1024,1280,83.8053,8.2265,105.3,0.1379,#d3d2c2,15.6275,5.3862,318.62,0.1181,#2b252c,0.8794,67.3667,6.4672,5,0.2942,74.0308,8.5179,3.6038,0.7,0.0731,#1d1719,27.5656,46.5255,32.04,0.0287,#7b1f1d,44.0875,77.6346,37.33,0.0225,#c9251c,60.1247,47.015,76.14,0.064,#b9883f,75.0619,26.5585,82.76,0.0499,#d0b589,75.8846,12.0091,238.42,0.2211,#a4bfce,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,42,Block_1_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s4242145_scramble_A_00001_.png,S01_oil_s4242145_scramble_A_00001_.png,,,,1024,1280,41.6576,2.4771,51.71,0.0598,#66615f,4.7696,2.4284,355.15,0.3268,#140f11,0.9809,55.8198,7.6585,4,0.332,66.9496,3.9483,2.9004,10.56,0.2695,#140c0d,21.3059,15.9124,127.26,0.0316,#2b3720,22.929,32.9879,299.8,0.0306,#363062,26.1913,35.721,41.5,0.0625,#692b1b,38.6112,69.85,37.47,0.0303,#b02118,59.7681,53.0906,69.01,0.0261,#c48236,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,4242145,scramble_A,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s4242145_Block_6_neg_00001_.png,S01_oil_s4242145_Block_6_neg_00001_.png,,,,1024,1280,65.497,19.1313,330.53,0.1036,#b695b0,47.9464,23.6515,323.13,0.0979,#87678a,0.4438,19.4976,2.8233,3,0.1708,10.8425,43.8343,22.5061,327.72,0.0439,#7e5d7c,51.1387,26.0557,331.86,0.0543,#976c8f,51.4694,19.7536,348.32,0.0358,#986f82,54.265,26.516,319.61,0.1124,#9777a0,56.2002,30.5961,326.93,0.0379,#a678a4,63.3319,28.4182,309.34,0.0585,#a790c1,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,4242145,Block_6_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s42_scramble_B_00001_.png,S01_oil_s42_scramble_B_00001_.png,,,,1024,1280,73.0776,15.8401,82.33,0.1054,#c3b197,9.9272,4.6468,37.32,0.1186,#221918,0.9004,70.7793,8.0083,5,0.227,59.6741,6.4191,2.5769,17.71,0.0829,#181313,19.3625,38.9273,35.03,0.0258,#5c1510,37.026,62.251,38.24,0.0211,#a4291b,48.2171,45.77,67.33,0.0463,#9f6629,50.5037,10.4402,243.14,0.1441,#667b88,77.1984,24.174,75.25,0.0107,#dab994,rotations_block1_vs_block6 + rotations_triangolo,S01_oil,42,scramble_B,rotations_block1_vs_block6
