prompt_id,V_p,cos_1_same,cos_1_diff,cos_6_same,cos_6_diff,V_scramble_p,cos_sa_same,cos_sa_diff,cos_sb_same,cos_sb_diff
S01_oil,1.19621,0.98775,-0.22406,0.9723,-0.20831,0.12277,0.92784,0.44301,0.65763,0.89691
S02_linocut,1.08815,0.98728,0.00569,0.99174,-0.20296,0.19657,0.9628,0.86487,0.99918,0.70397
S03_cyberpunk,1.19325,0.92585,-0.41045,0.99519,-0.05502,0.53029,0.93777,0.52394,0.43793,-0.20883
S04_gouache,1.12821,0.98582,-0.13953,0.99973,-0.13135,0.3163,0.92169,0.62856,0.40079,0.06132
S05_pencil,1.09664,0.99726,-0.07642,0.99427,-0.12534,0.2802,0.90577,0.67041,0.95075,0.62573
S06_pastel,1.15781,0.98006,-0.19551,0.98901,-0.15103,0.2316,0.90991,0.44686,0.92912,0.92898
S07_comic,1.08401,0.99515,-0.14862,0.97141,-0.05284,0.13993,0.8616,0.94132,0.99154,0.63196
S08_papercraft,1.16736,0.98903,-0.23015,0.99198,-0.12357,0.26029,0.99015,0.69534,0.78643,0.56066
S09_fresco,1.0993,0.98838,-0.11455,0.99029,-0.10539,0.49154,0.88773,0.38977,0.86151,0.37639
S10_synthwave,0.86726,0.85273,0.19208,0.97436,-0.0995,0.17228,0.92992,0.44882,0.82705,0.96358
