run_idx,prompt_id,seed,condition,node_type,angle,d_target,image_path,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
0,S01_oil,42,baseline,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_baseline_00001_.png,S01_oil_s42_baseline_00001_.png,1024,1760,2.799999952316284,1.9303359985351562,0.6894057255030653,0.06821843927556819,56.552897884084636,2174,3.413278579711914,4.083417892456055,0.5077,0.8802666341130475,11.480125722925584,49.341636657714844,4,22.0,6.454012342511186,2.732227231933618,0.7803852235708295,0.28362067528069945,0.9771562777878098,2.899151535427391,0.8603071732954546,-3.1163525882711127,1.231999726494463e-05
1,S01_oil,42,Block_1_pos,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_1_pos_00001_.png,S01_oil_s42_Block_1_pos_00001_.png,1024,1760,2.799999952316284,2.164323091506958,0.7729725458447004,0.10572398792613637,31.83625730994152,5985,3.460879325866699,4.036822319030762,0.55725,0.8667161344943703,11.056819422111856,54.84722900390625,4,23.0,5.919274960256481,5.993079698602119,0.7306536396491545,0.2785705780430879,0.9592290087523817,2.8216738870322557,0.9404574307528409,-2.92793024645385,2.4418157680434386e-05
2,S01_oil,42,Block_1_neg,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_1_neg_00001_.png,S01_oil_s42_Block_1_neg_00001_.png,1024,1760,2.0,1.5114175081253052,0.7557087540626526,0.06891923384232955,44.63133309378369,2783,3.6380977630615234,4.108931064605713,0.5360499999999999,0.8762331644949981,11.352456928030746,42.87593460083008,2,24.0,5.790767378167827,2.532336299255252,0.7546261660759365,0.2840907815723952,0.9693436896420093,2.854617382350027,0.9454856178977273,-2.9582821421029593,1.5246680948081394e-05
3,S01_oil,42,Block_6_pos,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_6_pos_00001_.png,S01_oil_s42_Block_6_pos_00001_.png,1024,1760,2.0,1.0654329061508179,0.5327164530754089,0.0040871360085227276,52.241134751773046,141,3.662491798400879,4.0810465812683105,0.646,0.7999402502569587,9.188064605660715,35.72043228149414,1,1.0,2.600312618172086,0.9438353468091685,0.908467507865151,0.48820723302041313,0.7084880224350133,2.4280388390345498,0.9824945623224433,-2.3744826798984526,0.00017741702603470559
4,S01_oil,42,Block_6_neg,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_6_neg_00001_.png,S01_oil_s42_Block_6_neg_00001_.png,1024,1760,2.0,1.946287989616394,0.973143994808197,0.07394853071732954,19.242419867167197,6926,3.30385684967041,3.7109289169311523,0.5350499999999999,0.8715447202087129,11.205839901416228,29.66945457458496,2,26.0,4.341595119522104,3.999994130620051,0.5926061195666046,0.28711816463380446,0.9651491138004055,2.5399441130348825,0.8180841619318182,-1.826683966080353,0.00012089961372873601
5,S01_oil,42,scramble_A,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_scramble_A_00001_.png,S01_oil_s42_scramble_A_00001_.png,1024,1760,2.0,1.666175127029419,0.8330875635147095,0.022550270774147726,36.64652840396754,1109,3.3982203006744385,3.981802463531494,0.62935,0.8112713188679628,9.481302576096654,52.544715881347656,1,22.0,8.8627863925446,1.5241077753190506,0.8854391235951881,0.3818689564158878,0.9442269234291072,2.5898522758734654,0.9279407848011364,-2.395062819556146,9.712367707435233e-05
6,S01_oil,42,scramble_B,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_scramble_B_00001_.png,S01_oil_s42_scramble_B_00001_.png,1024,1760,2.799999952316284,1.7278454303741455,0.6170876642139923,0.05064586292613636,59.11658031088083,1544,3.511028528213501,4.0875468254089355,0.53085,0.8696361780793654,11.146699663592742,47.60299301147461,3,23.0,6.5922436630179835,2.144481191623404,0.8057234017955575,0.2908258394605224,0.9750155517133694,2.913164232160854,0.8957513982599432,-2.9197560943762118,1.567008192843286e-05
7,S01_oil,1337,baseline,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s1337_baseline_00001_.png,S01_oil_s1337_baseline_00001_.png,1024,1760,2.799999952316284,1.9777156114578247,0.7063270161207577,0.06404807350852272,56.38983878847093,2047,3.401926040649414,4.078416347503662,0.5497,0.8616150225765311,10.901540336301593,47.891719818115234,4,22.0,6.122618513809211,2.643305872152171,0.782358732206492,0.28370520612928585,0.977876099217983,2.895438592198171,0.86046142578125,-3.140559432449932,1.1858958631568136e-05
8,S01_oil,1337,Block_1_pos,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s1337_Block_1_pos_00001_.png,S01_oil_s1337_Block_1_pos_00001_.png,1024,1760,2.799999952316284,2.135957717895508,0.7628420550966613,0.09554942737926136,28.225372889690213,6101,3.4529895782470703,4.055379867553711,0.5539499999999999,0.8663954361756953,11.04699245987947,51.14701843261719,3,23.0,5.851864614696825,6.345041022699975,0.7429899447023217,0.2804737521226477,0.9585287740892641,2.8143001146648152,0.9425731312144887,-2.8988302266089776,2.6883823373603798e-05
9,S01_oil,1337,Block_1_neg,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s1337_Block_1_neg_00001_.png,S01_oil_s1337_Block_1_neg_00001_.png,1024,1760,2.0,1.393631935119629,0.6968159675598145,0.0853759765625,40.86799468791501,3765,3.6567368507385254,4.122254848480225,0.53295,0.8751940308040604,11.319796545248257,44.575889587402344,3,24.0,5.034265061315198,2.6124434438917326,0.741576540309445,0.2843161054207512,0.9696417264299072,2.874984433923893,0.9422723943536933,-2.9312856355007977,1.5722716570351605e-05
