run_id,prompt_id,seed,condition,cond_tag,dose_target_D,angle_deg,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
0,P01,P01_s1618033_B1_neg_d030_00001_,,B1_neg_d030,0.03,-15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P01_s1618033_B1_neg_d030_00001_.png,P01_s1618033_B1_neg_d030_00001_.png,,52e5b19ca6,P01_s1618033_B1_neg_d030_00001_.png,1024.0,1280.0,56.3551,50.0289,44.22,0.0402,#cd6c4c,3.1463,0.9864,339.4,0.3308,#0d0b0c,0.9875,79.401,9.3719,5.0,0.3781,49.5125,2.1449,0.5689,341.32,0.3005,#090708,28.5929,24.5091,28.25,0.0776,#673533,39.1986,43.7119,33.9,0.0296,#994137,63.7165,22.0977,253.04,0.0126,#749fbf,64.6307,50.0813,51.4,0.0215,#e18558,81.5459,41.1406,73.56,0.0149,#f7c181
1,P01,P01_s1618033_B1_neg_d045_00001_,,B1_neg_d045,0.045001,-23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P01_s1618033_B1_neg_d045_00001_.png,P01_s1618033_B1_neg_d045_00001_.png,,52e5b19ca6,P01_s1618033_B1_neg_d045_00001_.png,1024.0,1280.0,79.7057,21.089,89.73,0.0364,#d5c49e,5.1548,1.3375,357.74,0.1933,#131111,0.9902,84.7072,9.13,5.0,0.2398,51.3935,3.5962,1.1129,7.01,0.1659,#0f0c0d,31.0906,26.1815,43.51,0.0739,#6c3d2e,39.3142,15.4238,63.06,0.0487,#705847,43.7197,41.6956,47.14,0.04,#9e5336,63.2718,52.5065,58.75,0.0357,#d98549,88.3035,38.3614,89.71,0.0127,#f7db94
2,P01,P01_s1618033_B1_neg_d060_00001_,,B1_neg_d060,0.06,-31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P01_s1618033_B1_neg_d060_00001_.png,P01_s1618033_B1_neg_d060_00001_.png,,52e5b19ca6,P01_s1618033_B1_neg_d060_00001_.png,1024.0,1280.0,66.2943,19.7101,85.87,0.0869,#b19f7e,13.4334,13.5901,67.58,0.0945,#2f1f11,0.9435,63.3719,3.9246,6.0,0.1565,37.9629,11.6038,11.7216,66.21,0.0741,#2a1c0f,25.4304,26.9169,58.34,0.0824,#58331a,41.4721,39.4342,56.81,0.0638,#8f532c,54.654,33.7159,77.11,0.0732,#a07d4a,59.7427,49.6845,63.67,0.0496,#c77f41,74.9758,14.1644,90.44,0.0188,#c3b89f
3,P01,P01_s1618033_B1_pos_d030_00001_,,B1_pos_d030,0.03,15.7296,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P01_s1618033_B1_pos_d030_00001_.png,P01_s1618033_B1_pos_d030_00001_.png,,52e5b19ca6,P01_s1618033_B1_pos_d030_00001_.png,1024.0,1280.0,56.6791,4.9593,268.04,0.0618,#838890,3.1668,1.3272,352.59,0.3584,#0e0b0c,0.9698,82.8628,11.3406,5.0,0.4229,61.5231,2.014,0.9869,352.6,0.328,#0a0708,38.6343,36.5836,29.7,0.0394,#90443f,47.0046,18.8404,46.66,0.095,#8c6759,51.259,62.51,40.69,0.0257,#ce5237,64.7504,49.2784,59.65,0.0196,#da8a51,84.8768,34.4824,87.52,0.0112,#eed193
4,P01,P01_s1618033_B1_pos_d045_00001_,,B1_pos_d045,0.045001,23.69,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P01_s1618033_B1_pos_d045_00001_.png,P01_s1618033_B1_pos_d045_00001_.png,,52e5b19ca6,P01_s1618033_B1_pos_d045_00001_.png,1024.0,1280.0,76.3367,15.5278,82.05,0.037,#ccbaa0,2.4852,0.9897,359.12,0.3409,#0c0809,0.9773,71.7701,9.9032,5.0,0.3588,74.0882,1.5208,0.6189,350.33,0.3166,#070506,33.2052,44.9246,33.17,0.0417,#893029,48.071,74.7071,45.22,0.0193,#cc4216,60.571,22.8651,265.6,0.0422,#7595ba,72.34,70.826,80.03,0.0103,#e4a723,73.2909,14.9433,85.65,0.0144,#c1b299
5,P01,P01_s1618033_B1_pos_d060_00001_,,B1_pos_d060,0.06,31.7657,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P01_s1618033_B1_pos_d060_00001_.png,P01_s1618033_B1_pos_d060_00001_.png,,52e5b19ca6,P01_s1618033_B1_pos_d060_00001_.png,1024.0,1280.0,76.5585,9.0806,99.61,0.0726,#c1bdac,3.4733,1.9994,6.98,0.2686,#110b0c,0.9649,79.7374,10.4751,5.0,0.3167,64.154,2.943,1.5307,349.47,0.2552,#0e0a0b,37.2049,65.6847,43.9,0.0274,#a32c0b,51.3437,35.2402,57.92,0.0615,#a66d48,67.9772,25.435,260.45,0.0455,#7faad2,80.883,58.0666,93.84,0.0093,#e2c858,82.6805,6.7963,104.15,0.0242,#d0cec1
6,P01,P01_s1618033_B6_neg_d030_00001_,,B6_neg_d030,0.03,-21.3119,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P01_s1618033_B6_neg_d030_00001_.png,P01_s1618033_B6_neg_d030_00001_.png,,52e5b19ca6,P01_s1618033_B6_neg_d030_00001_.png,1024.0,1280.0,72.5564,33.7785,296.13,0.1368,#b1abe9,28.1343,39.3324,298.21,0.0598,#3e3b78,0.7137,52.0086,6.5134,5.0,0.2221,15.2448,22.9744,37.4184,297.99,0.0337,#313069,42.3759,44.3106,297.12,0.0765,#5e5ca5,49.8649,33.4615,304.51,0.1084,#7f6ea6,60.2859,41.998,295.44,0.1137,#8c8ad4,60.4234,32.4224,332.78,0.0285,#b880ac,74.983,29.0658,320.89,0.0222,#d3acdb
7,P01,P01_s1618033_B6_neg_d045_00001_,,B6_neg_d045,0.045001,-32.21,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P01_s1618033_B6_neg_d045_00001_.png,P01_s1618033_B6_neg_d045_00001_.png,,52e5b19ca6,P01_s1618033_B6_neg_d045_00001_.png,1024.0,1280.0,76.8096,19.672,330.01,0.0978,#d5b4d0,65.0671,19.8606,326.18,0.1438,#b395b2,0.1859,17.7333,2.7422,2.0,0.1996,13.1817,59.9575,19.0592,334.64,0.0559,#a9869f,63.819,23.1869,324.47,0.0882,#b290b3,65.0711,18.5538,314.26,0.1113,#aa97b6,73.8042,31.7356,359.7,0.0435,#eda0b7,76.059,23.9459,295.88,0.0194,#bbb7e3,77.6908,28.1172,359.64,0.0605,#f2adc1
8,P01,P01_s1618033_B6_neg_d060_00001_,,B6_neg_d060,0.06,-43.405426,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P01_s1618033_B6_neg_d060_00001_.png,P01_s1618033_B6_neg_d060_00001_.png,,52e5b19ca6,P01_s1618033_B6_neg_d060_00001_.png,1024.0,1280.0,78.2307,15.993,8.21,0.1416,#e0b7be,60.0514,18.2282,3.35,0.0827,#b1858f,0.2502,24.493,4.2936,3.0,0.1875,24.5559,53.1039,18.6429,5.88,0.0396,#9f737c,65.784,18.979,346.91,0.0941,#bd95a8,67.0037,12.2729,342.96,0.0934,#b69caa,71.7602,28.7585,12.57,0.0578,#e59da6,72.4174,36.8288,19.32,0.0339,#f4999d,77.5969,29.976,24.81,0.0311,#f8adaa
9,P01,P01_s1618033_B6_pos_d030_00001_,,B6_pos_d030,0.03,21.3119,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P01_s1618033_B6_pos_d030_00001_.png,P01_s1618033_B6_pos_d030_00001_.png,,52e5b19ca6,P01_s1618033_B6_pos_d030_00001_.png,1024.0,1280.0,22.8437,29.2769,94.03,0.0367,#3f3606,0.3636,0.6545,53.38,0.6677,#030100,0.9658,53.6377,4.9825,5.0,0.6201,60.0169,0.0905,0.2357,31.86,0.5863,#010000,13.3762,20.9089,52.61,0.0338,#381b09,30.4693,39.8172,75.44,0.0096,#634104,37.0172,54.8851,57.85,0.0079,#8e4103,40.4563,40.908,109.1,0.0182,#5d641b,53.7282,60.2525,75.27,0.0077,#af750b
10,P01,1618033,B6_pos,B6_pos_d045,0.045001,32.21,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps5\renders\P01_s1618033_B6_pos_d045_00001_.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
