run_id,prompt_id,seed,condition,cond_tag,angle_label,angle_deg,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
0,P01,1618033,B1_neg,B1_neg_high,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_neg_high_00001_.png,P01_s1618033_B1_neg_high_00001_.png,,52e5b19ca6,P01_s1618033_B1_neg_high_00001_.png,1024,1280,56.9397,11.3002,77.46,0.0609,#958776,3.4632,1.1803,50.24,0.3038,#0f0c0a,0.9482,81.8456,7.3242,6,0.3259,54.2624,2.5397,0.8444,68.84,0.2879,#0b0907,23.3705,26.921,29.24,0.0379,#5c2825,47.1027,39.275,36.97,0.0308,#a9594a,55.4121,15.963,255.52,0.0208,#6d889f,62.0869,55.1068,48.89,0.0259,#e17a4e,84.3853,31.2295,80.19,0.0146,#f1cd99
1,P01,1618033,B1_neg,B1_neg_low,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_neg_low_00001_.png,P01_s1618033_B1_neg_low_00001_.png,,52e5b19ca6,P01_s1618033_B1_neg_low_00001_.png,1024,1280,69.6537,49.3291,60.02,0.0334,#e8975d,2.8244,0.9441,32.47,0.3494,#0d0a09,0.9839,82.7489,15.6824,5,0.4017,48.8838,1.8855,0.568,44.26,0.3149,#080706,41.9211,7.2455,263.05,0.0868,#5b646f,47.4492,24.9119,38.12,0.0387,#986458,48.1292,13.4546,64.57,0.0582,#846e5e,54.1552,49.4518,43.87,0.0272,#c66648,84.6344,35.1894,79.33,0.0119,#f6cd92
2,P01,1618033,B1_neg,B1_neg_mid,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_neg_mid_00001_.png,P01_s1618033_B1_neg_mid_00001_.png,,52e5b19ca6,P01_s1618033_B1_neg_mid_00001_.png,1024,1280,58.0587,51.7311,45.72,0.0354,#d4704c,3.0956,1.0508,47.07,0.3371,#0e0b09,0.9795,83.7877,6.5576,6,0.3885,48.8897,2.2882,0.818,59.04,0.3147,#0a0807,28.883,25.3525,25.72,0.0479,#693534,47.5182,20.0434,56.97,0.0738,#8c6955,53.6638,20.3741,258.55,0.0154,#6284a2,70.7339,49.7077,60.69,0.0135,#eb9b5f,86.0759,35.1675,81.85,0.0132,#f7d296
3,P01,1618033,B1_pos,B1_pos_high,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_pos_high_00001_.png,P01_s1618033_B1_pos_high_00001_.png,,52e5b19ca6,P01_s1618033_B1_pos_high_00001_.png,1024,1280,59.3794,9.1074,69.79,0.0628,#9b8d80,3.0362,1.3023,8.59,0.3301,#0e0a0b,0.9533,80.8945,11.487,5,0.3875,53.5728,1.8119,0.76,356.26,0.3078,#090607,38.6374,30.4368,29.65,0.0395,#894944,41.1566,15.115,46.85,0.0797,#785b50,50.587,54.3328,39.7,0.0322,#c4573f,65.8364,52.3332,59.04,0.0228,#e08c50,82.7065,20.1437,82.5,0.0178,#e1cba9
4,P01,1618033,B1_pos,B1_pos_low,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_pos_low_00001_.png,P01_s1618033_B1_pos_low_00001_.png,,52e5b19ca6,P01_s1618033_B1_pos_low_00001_.png,1024,1280,69.1491,45.9981,61.27,0.0352,#e29860,2.8649,0.923,7.48,0.3705,#0d0a0a,0.9806,80.6772,12.2396,6,0.3962,45.8864,1.7596,0.5328,358.42,0.3328,#080606,41.3654,28.9469,34.77,0.0348,#8d5148,51.0808,15.7149,56.29,0.0634,#907464,56.702,46.4192,45.9,0.022,#c97050,66.0298,10.2207,85.77,0.033,#a99f8e,82.4368,34.9138,79.95,0.0127,#eec78d
5,P01,1618033,B1_pos,B1_pos_mid,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_pos_mid_00001_.png,P01_s1618033_B1_pos_mid_00001_.png,,52e5b19ca6,P01_s1618033_B1_pos_mid_00001_.png,1024,1280,66.5122,10.8104,82.73,0.0495,#aca08f,3.1304,1.1412,5.35,0.338,#0e0a0b,0.9686,82.6914,7.4709,6,0.4617,50.3344,2.183,0.7727,354.72,0.3174,#0a0708,32.0874,11.7893,34.32,0.1443,#5e4641,39.0814,26.0575,35.04,0.047,#834e45,55.1907,51.1071,42.17,0.025,#cd674b,71.3344,46.4448,64.97,0.0259,#e6a062,84.8745,21.8545,83.85,0.0131,#e8d1ab
6,P01,1618033,B6_neg,B6_neg_high,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B6_neg_high_00001_.png,P01_s1618033_B6_neg_high_00001_.png,,52e5b19ca6,P01_s1618033_B6_neg_high_00001_.png,1024,1280,47.7391,44.494,296.06,0.1728,#6a69b5,5.8399,27.5696,298.95,0.0839,#0f0e33,0.6834,64.7579,9.0338,5,0.2266,20.8066,3.9808,24.7983,296.85,0.0688,#0b092c,32.7355,45.6049,297.67,0.1579,#45458d,43.1552,38.7392,334.74,0.0268,#914f82,54.958,41.8471,353.98,0.0187,#c3668c,55.6396,36.655,310.48,0.0215,#9779b6,68.7387,37.4584,13.68,0.0184,#ea8d99
7,P01,1618033,B6_neg,B6_neg_low,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B6_neg_low_00001_.png,P01_s1618033_B6_neg_low_00001_.png,,52e5b19ca6,P01_s1618033_B6_neg_low_00001_.png,1024,1280,55.3251,3.2676,352.08,0.0779,#8a8385,3.2166,4.4415,302.81,0.3201,#0d0a13,0.9368,81.6886,11.5666,5,0.259,39.8176,2.1579,2.0653,317.97,0.1807,#0a070b,38.0826,17.2327,279.77,0.0783,#4f5975,39.2713,20.4114,7.2,0.0573,#7d5059,48.497,33.0315,27.72,0.0243,#a85f5b,65.2677,41.8828,47.97,0.0229,#dc8a68,83.8465,27.45,73.23,0.0103,#f1caa0
8,P01,1618033,B6_neg,B6_neg_mid,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B6_neg_mid_00001_.png,P01_s1618033_B6_neg_mid_00001_.png,,52e5b19ca6,P01_s1618033_B6_neg_mid_00001_.png,1024,1280,47.981,14.9496,303.38,0.0722,#766e87,3.3457,9.746,301.42,0.2231,#0f0919,0.9399,71.0826,9.8007,5,0.242,40.9882,2.2972,7.9846,299.53,0.1631,#0b0615,31.7835,25.0164,293.3,0.0789,#46476f,32.5021,23.6557,342.07,0.0546,#693f58,41.5995,33.7149,7.81,0.0299,#964b5c,53.4215,48.9728,27.04,0.0197,#cc5d5c,73.3798,31.6247,46.4,0.0101,#e8a58b
9,P01,1618033,B6_pos,B6_pos_high,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B6_pos_high_00001_.png,P01_s1618033_B6_pos_high_00001_.png,,52e5b19ca6,P01_s1618033_B6_pos_high_00001_.png,1024,1280,50.518,55.3433,65.14,0.0337,#ae671e,0.8808,1.3533,66.24,0.4706,#060300,0.9773,80.8055,12.0965,4,0.489,59.4684,0.3171,0.5839,51.73,0.415,#030100,28.6096,30.2234,83.25,0.074,#554013,30.9875,45.4826,57.86,0.0393,#763808,33.2681,16.5721,100.97,0.0249,#534f34,63.5664,58.7474,74.59,0.0094,#cc8e2f,81.1226,60.0523,92.09,0.0098,#e6c854
