run_id,prompt_id,seed,condition,cond_tag,angle_label,angle_deg,image_path,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
0,P01,1618033,B1_neg,B1_neg_high,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_neg_high_00001_.png,P01_s1618033_B1_neg_high_00001_.png,1024,1280,2.799999952316284,1.966248035430908,0.7022314531842547,0.1226165771484375,65.0672064777328,2470,3.4150543212890625,4.05490779876709,0.5477,0.8843290592193558,11.610162316257082,40.73994064331055,1,19.0,5.575881723641154,7.067662264694352,0.6977525752925366,0.1904294743335852,0.8844296287226726,3.178083472608418,0.8575042724609375,-3.353036973697635,2.013899544040329e-05
1,P01,1618033,B1_neg,B1_neg_low,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_neg_low_00001_.png,P01_s1618033_B1_neg_low_00001_.png,1024,1280,2.799999952316284,2.1008002758026123,0.7502858255639387,0.1248626708984375,57.46488764044944,2848,3.2692229747772217,3.9867563247680655,0.56575,0.8634382779834118,10.956788646589096,39.96149063110352,2,16.0,5.978029435984738,8.417532735204963,0.7077165454872497,0.2405553995646379,0.8800495113263689,3.16141009410965,0.8296714782714845,-3.3593639668659865,2.175329696829401e-05
2,P01,1618033,B1_neg,B1_neg_mid,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_neg_mid_00001_.png,P01_s1618033_B1_neg_mid_00001_.png,1024,1280,4.0,2.242903232574463,0.5607258081436157,0.1173751831054687,63.81003732890917,2411,3.273221254348755,4.015104293823242,0.53375,0.8816534447190265,11.524352415410975,42.2307014465332,1,17.0,5.8876006003363655,8.284671156606993,0.716164141681074,0.225082687960188,0.8807774490980006,3.1656111883925653,0.8326034545898438,-3.3285477044730203,2.347011925842692e-05
3,P01,1618033,B1_pos,B1_pos_high,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_pos_high_00001_.png,P01_s1618033_B1_pos_high_00001_.png,1024,1280,2.799999952316284,2.1055748462677,0.7519910293305095,0.1422782897949218,57.522208513263415,3242,3.2280385494232178,3.94989013671875,0.5345500000000001,0.896311129558933,12.002345985029852,44.91108703613281,1,18.0,6.278752402413728,11.006207442053473,0.6740052023606049,0.2290151700173819,0.8563221045094459,3.0125325610303104,0.9210197448730468,-3.498801425086622,1.7137105816052737e-05
4,P01,1618033,B1_pos,B1_pos_low,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_pos_low_00001_.png,P01_s1618033_B1_pos_low_00001_.png,1024,1280,2.799999952316284,2.08489203453064,0.7446043107271929,0.1293357849121093,59.9444837340877,2828,3.181852102279663,3.97379732131958,0.55335,0.8682437027808373,11.10374788344873,37.497371673583984,1,16.0,5.878781702926258,9.281317459439965,0.7035726929286831,0.2500805781436589,0.8785990323850362,3.143846921679575,0.8540924072265625,-3.473058899627103,1.8313145210904213e-05
5,P01,1618033,B1_pos,B1_pos_mid,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B1_pos_mid_00001_.png,P01_s1618033_B1_pos_mid_00001_.png,1024,1280,2.799999952316284,2.104465246200561,0.751594743585497,0.1386772155761718,63.71083070452156,2853,3.191289186477661,3.928760051727295,0.51045,0.8943197035360725,11.93625878291876,41.59067916870117,2,17.0,6.446437848727,10.453764780647898,0.6810424685491281,0.2207648724857224,0.8689650882791611,3.095105881851208,0.8876480102539062,-3.5056292952024988,1.6568205881257803e-05
6,P01,1618033,B6_neg,B6_neg_high,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B6_neg_high_00001_.png,P01_s1618033_B6_neg_high_00001_.png,1024,1280,2.0,0.5364006757736206,0.2682003378868103,0.3422348022460937,63.4834418341353,7066,1.962775707244873,2.492823600769043,0.38515,0.954237702377098,14.093429444737671,45.42194366455078,1,26.0,2.161002088917337,7.201025576117839,0.3653075112376571,0.0962824465508791,0.7769130301947363,2.7110419077748644,0.829656219482422,-2.70352381718862,4.432702869713968e-05
7,P01,1618033,B6_neg,B6_neg_low,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B6_neg_low_00001_.png,P01_s1618033_B6_neg_low_00001_.png,1024,1280,4.0,1.6164615154266355,0.4041153788566589,0.1512794494628906,62.27543969849246,3184,3.1838414669036865,3.9724044799804688,0.5012,0.9076864693786428,12.386922367901832,32.4810676574707,2,18.0,5.458713933179238,8.999515279760399,0.6344474941664202,0.1716603165063309,0.8473936187573516,3.1821654985492978,0.8477874755859375,-3.3293091208464087,2.727954213928584e-05
8,P01,1618033,B6_neg,B6_neg_mid,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B6_neg_mid_00001_.png,P01_s1618033_B6_neg_mid_00001_.png,1024,1280,4.0,1.1250591278076172,0.2812647819519043,0.2113128662109375,41.85763941363155,6617,2.626328468322754,3.616789340972901,0.5395,0.8852130898796532,11.638654348010002,35.37491989135742,2,24.0,3.901954472737629,7.741213727843732,0.5091848418693956,0.1244289891000408,0.7960137936434706,3.0208746704546496,0.8831031799316407,-3.03301283145899,5.514938547690695e-05
9,P01,1618033,B6_pos,B6_pos_high,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s1618033_B6_pos_high_00001_.png,P01_s1618033_B6_pos_high_00001_.png,1024,1280,2.0,1.527740240097046,0.763870120048523,0.0147590637207031,63.21895424836601,306,3.451544761657715,3.990111827850342,0.63395,0.8015058832774167,9.228035366122088,45.57197570800781,1,23.0,4.379982483635585,0.4336792011940003,0.8768955921924504,0.404958716197098,0.989699004193588,2.654373100038712,0.950439453125,-3.748127257271172,1.173484923493798e-06
