file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share,condition,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
P01_s1618033_B1_neg_00001_.png,1024,1280,2.799999952316284,2.0996382236480713,0.7498708069302492,0.12661895751953126,55.24700399467377,3004,3.271991014480591,3.997114419937134,0.55725,0.8630362726725552,10.944583063868407,39.975257873535156,1,17.0,6.403464378490173,8.295238656487559,0.7054544124467799,0.24353299225327502,0.88200413837315,3.16076487210213,0.830584716796875,-3.358477699240236,2.1972877833813183e-05,,65.4239,9.8655,83.3,0.0469,#a89e8d,2.899,0.9604,27.31,0.3557,#0d0a0a,0.9664,83.3258,11.0318,5,0.3712,53.1143,1.9231,0.5261,30.68,0.3274,#090706,38.8552,28.5877,34.77,0.0438,#864c42,51.1318,46.075,41.73,0.0291,#bb6047,67.0086,53.6405,57.42,0.0215,#e78d52,81.7866,40.2303,78.6,0.0093,#f2c481,85.2489,6.2096,94.75,0.0067,#d9d5c9
P01_s1618033_B1_pos_00001_.png,1024,1280,2.799999952316284,2.1542751789093018,0.7693840055701393,0.12914962768554689,57.16953731847349,2961,3.2281830310821533,3.976618528366089,0.5157999999999999,0.8846690343389738,11.621111344614553,37.99722671508789,2,16.0,6.072305217533685,8.811768414099559,0.7055837410828227,0.24569685923328796,0.8817221829038188,3.1508019364810207,0.8478294372558594,-3.4261404577522936,1.9766295784308837e-05,,70.4625,11.3807,88.78,0.0363,#b5ab98,2.7976,0.9737,10.74,0.3631,#0d090a,0.9772,86.5623,13.0559,5,0.3978,47.1805,1.7652,0.5696,2.78,0.3283,#080606,42.6898,27.7606,31.73,0.0497,#90554e,50.8631,14.604,61.65,0.0696,#8d7464,53.7315,44.2525,41.99,0.0233,#c0684f,69.8925,47.7501,61.11,0.0248,#e6995f,88.3275,29.8447,87.41,0.0073,#f5dba5
P01_s1618033_B6_neg_00001_.png,1024,1280,4.0,1.6002260446548462,0.40005651116371155,0.15147323608398439,64.08618463524854,3098,3.1481809616088867,3.970292329788208,0.51275,0.9028355481055931,12.221438439403233,32.33415985107422,2,18.0,5.577213881917874,9.17263903057276,0.6308328736298431,0.17043017931657045,0.8447077802924798,3.1803526756441687,0.8487411499023438,-3.3396116163795244,2.6840222624812987e-05,,55.1652,3.4558,0.2,0.0785,#8a8284,3.8508,4.5951,305.32,0.3415,#100c14,0.936,81.0961,11.6914,5,0.265,40.3754,2.1908,2.238,318.14,0.1833,#0b070c,38.2244,16.2799,280.59,0.0817,#505a74,39.3153,20.4182,5.11,0.0585,#7d505a,48.3807,32.2479,25.89,0.0252,#a75f5d,63.8655,42.6134,45.84,0.0211,#da8566,83.2869,28.3649,72.74,0.0118,#f1c99d
P01_s1618033_B6_pos_00001_.png,1024,1280,2.799999952316284,2.123938798904419,0.7585495839553149,0.125689697265625,58.17231638418079,2832,3.22699236869812,3.8843252658843994,0.5442,0.8714045169971683,11.20148474838745,46.563255310058594,2,18.0,5.818790170063025,6.91824785487361,0.7111981872051271,0.2488944828616927,0.9033579308716806,3.1112019112902263,0.872766876220703,-3.4280377014735874,1.4572968200167384e-05,,59.796,23.578,87.55,0.07,#a18e67,3.1057,2.8254,102.21,0.3656,#0d0b05,0.946,80.8966,6.3529,6,0.4616,56.062,2.3697,2.5874,107.23,0.3546,#090903,29.7821,20.1175,65.34,0.107,#5b412a,37.6811,36.0239,47.81,0.0464,#86482f,52.4424,52.0763,52.14,0.0322,#be6537,69.2434,58.6495,70.26,0.0237,#e39a42,83.2663,42.6798,90.92,0.012,#e9cd7e
P01_s1618033_baseline_00001_.png,1024,1280,2.799999952316284,2.160496711730957,0.7716059816157134,0.1245208740234375,59.41463414634146,2747,3.229543685913086,3.9732964038848877,0.52685,0.8756551476238761,11.334278016520898,39.16868591308594,1,16.0,6.218694892735149,8.344576418066334,0.7128359735671849,0.2552030007980215,0.8840389994204094,3.1552769682011808,0.8347099304199219,-3.398778814740956,2.012729821447045e-05,,57.0496,10.2626,66.78,0.0788,#978679,2.479,0.8522,8.61,0.3601,#0b0809,0.9372,80.679,6.207,6,0.4402,47.6897,1.7518,0.5242,359.44,0.3501,#080606,28.0497,11.7683,36.46,0.0901,#543d38,35.5249,28.1763,31.66,0.0333,#7d433d,51.8948,46.9696,42.23,0.0311,#be6247,69.6926,48.2139,61.79,0.0249,#e5995e,82.4309,18.6471,89.3,0.0118,#dbccaa
P01_s1618033_scrA_neg_00001_.png,1024,1280,2.799999952316284,2.0683670043945312,0.7387025141495043,0.13049392700195311,55.263651050080774,3095,3.261040687561035,4.004117488861084,0.5548,0.8616297381250198,10.90198513000655,36.670677185058594,1,16.0,6.374589466887339,8.281922260117913,0.6998436755728572,0.23233563070632396,0.8770160301809635,3.163271242595431,0.8413734436035156,-3.3823016948320332,2.1060010914439056e-05,,63.2639,8.8065,86.34,0.0446,#a1988a,3.0487,1.0179,9.76,0.3528,#0e0a0b,0.9632,83.5836,11.2627,5,0.3854,50.0006,1.979,0.5834,359.34,0.3228,#090707,39.2132,28.4276,31.89,0.0388,#874c45,48.8465,15.7555,57.78,0.0625,#8a6e5e,52.845,42.5103,43.38,0.0238,#bb674e,68.4641,50.584,58.96,0.0213,#e79359,85.5626,31.6449,84.07,0.0088,#f1d29b
P01_s1618033_scrA_pos_00001_.png,1024,1280,4.0,2.1539666652679443,0.5384916663169861,0.12325515747070312,65.37960339943342,2471,3.1813995838165283,3.9735724925994873,0.5844499999999999,0.8545702739175354,10.69067540258082,39.39763641357422,2,16.0,6.42211601895873,9.543993019986761,0.7099225935997122,0.25233052709848947,0.8744214885046783,3.153195455682183,0.8366859436035157,-3.3893970805356086,2.177707025268638e-05,,72.2946,10.3115,87.12,0.0318,#bab09f,2.6883,1.0389,18.13,0.3613,#0d0909,0.9784,87.9899,8.2717,6,0.4286,47.706,1.6812,0.5384,9.82,0.3285,#080606,34.7476,14.9389,44.51,0.1001,#684b42,43.0296,29.189,36.05,0.0494,#92564a,57.0736,48.2444,47.1,0.0277,#cc704d,73.2344,46.4911,66.97,0.0217,#e9a666,89.671,17.2334,89.92,0.0073,#efe0c1
P01_s1618033_scrB_neg_00001_.png,1024,1280,2.0,2.167480945587158,1.083740472793579,0.13026351928710939,64.82118451025057,2634,3.071080207824707,3.8553481101989746,0.49779999999999996,0.908720509514268,12.422486234050385,59.392601013183594,2,15.0,6.279950286289506,10.894679639334566,0.6908164252690843,0.20646644494410082,0.8719388796468728,3.1496709183803793,0.8449157714843749,-3.391443996259034,1.4110341055674625e-05,,71.4705,63.5828,69.56,0.0476,#ee9e3e,4.4103,4.2193,110.68,0.2776,#101006,0.9702,78.2388,13.055,4,0.3819,57.7375,4.0197,4.0835,112.52,0.2715,#0e0f05,43.4271,31.144,69.26,0.1104,#865f36,48.3952,40.7288,52.18,0.0645,#a7613d,57.7191,61.8211,52.71,0.0356,#d76d34,77.4313,22.0323,98.32,0.0341,#c9c097,82.2586,59.018,84.65,0.0098,#f6c65b
P01_s1618033_scrB_pos_00001_.png,1024,1280,4.0,1.7425585985183716,0.4356396496295929,0.13147506713867188,69.4307010475423,2482,3.2402946949005127,4.009474754333496,0.5984,0.8253097973370761,9.857618780447385,28.1389102935791,1,18.0,5.956993306253628,5.677784743986599,0.7043372813281792,0.28525963382668534,0.871830523989994,3.0884781595462214,0.8757476806640625,-3.356667788013848,2.7824391321759722e-05,,45.8453,5.0214,336.36,0.0719,#736a70,1.3097,2.6807,309.16,0.3874,#07040a,0.9373,78.4728,8.6159,5,0.4739,40.973,0.8739,2.3211,307.24,0.3797,#050208,25.7243,23.3426,9.93,0.0242,#5e2e38,27.3523,16.7371,287.18,0.0942,#3a3f59,41.0381,32.0396,24.39,0.0196,#924c4d,54.6474,43.2941,37.46,0.0174,#c46957,79.3466,29.1396,67.34,0.0099,#eabc93
P01_s2718281_B1_neg_00001_.png,1024,1280,2.799999952316284,2.0679876804351807,0.738567041304572,0.118621826171875,60.734375,2560,3.2637693881988525,4.030379295349121,0.5404,0.8811439481745039,11.508084327355842,39.177215576171875,1,17.0,6.211735171795977,8.002577535838139,0.7192806026220995,0.2435122466954286,0.8881691044780946,3.147074531412968,0.8326698303222656,-3.3735436981551055,1.943836212404079e-05,,69.6568,13.1412,85.43,0.0399,#b6a993,2.8279,0.7722,23.82,0.3482,#0c0a0a,0.9753,87.4999,9.085,5,0.3979,48.3569,1.8572,0.3405,19.55,0.3157,#080707,34.7704,14.5242,51.58,0.0822,#664c40,39.1814,28.8749,33.01,0.044,#874c44,56.1635,48.6974,44.17,0.0293,#cb6c4d,73.734,48.2927,66.61,0.0169,#eda664,89.3571,19.5326,90.53,0.0073,#efdfbb
