dose,dose_label,prompt_id,seed,condition,grad_ratio,dL,passed
0.0141,d0141,S01_oil,90210,B1_pos,1.0969,9.457,True
0.0141,d0141,S01_oil,90210,B1_neg,0.9097,-6.9029,True
0.0141,d0141,S01_oil,90210,B6_pos,0.7207,-6.2909,True
0.0141,d0141,S01_oil,90210,B6_neg,2.7357,2.4245,False
0.0141,d0141,S01_oil,90210,scrA_pos,1.066,-3.0141,True
0.0141,d0141,S01_oil,90210,scrA_neg,0.9399,0.3272,True
0.0141,d0141,S01_oil,90210,scrB_pos,1.3608,-61.8948,False
0.0141,d0141,S01_oil,90210,scrB_neg,0.5609,49.7651,False
0.0141,d0141,S05_pencil,90210,B1_pos,1.0578,8.7663,True
0.0141,d0141,S05_pencil,90210,B1_neg,0.8873,-8.3272,True
0.0141,d0141,S05_pencil,90210,B6_pos,0.652,-15.2823,False
0.0141,d0141,S05_pencil,90210,B6_neg,1.8627,-3.3025,False
0.0141,d0141,S05_pencil,90210,scrA_pos,1.2103,-4.153,True
0.0141,d0141,S05_pencil,90210,scrA_neg,0.9216,3.361,True
0.0141,d0141,S05_pencil,90210,scrB_pos,1.3132,-79.0555,False
0.0141,d0141,S05_pencil,90210,scrB_neg,0.4441,48.202,False
0.0141,d0141,S10_synthwave,90210,B1_pos,1.0674,3.5489,True
0.0141,d0141,S10_synthwave,90210,B1_neg,0.84,-7.5453,True
0.0141,d0141,S10_synthwave,90210,B6_pos,0.6515,-17.2918,False
0.0141,d0141,S10_synthwave,90210,B6_neg,1.6531,-6.2343,False
0.0141,d0141,S10_synthwave,90210,scrA_pos,1.1386,-1.6592,True
0.0141,d0141,S10_synthwave,90210,scrA_neg,0.9618,1.4246,True
0.0141,d0141,S10_synthwave,90210,scrB_pos,0.6456,-77.2125,False
0.0141,d0141,S10_synthwave,90210,scrB_neg,0.5635,48.256,False
0.0106,d0106,S01_oil,90210,B1_pos,1.0801,6.4852,True
0.0106,d0106,S01_oil,90210,B1_neg,0.9136,-5.8891,True
0.0106,d0106,S01_oil,90210,B6_pos,0.8031,-3.4011,True
0.0106,d0106,S01_oil,90210,B6_neg,2.0196,1.7718,False
0.0106,d0106,S01_oil,90210,scrA_pos,1.0417,-3.1972,True
0.0106,d0106,S01_oil,90210,scrA_neg,0.9504,1.4673,True
0.0106,d0106,S01_oil,90210,scrB_pos,1.3843,-44.3315,False
0.0106,d0106,S01_oil,90210,scrB_neg,0.7008,42.2425,False
0.0106,d0106,S05_pencil,90210,B1_pos,1.0446,5.2434,True
0.0106,d0106,S05_pencil,90210,B1_neg,0.8842,-7.2387,True
0.0106,d0106,S05_pencil,90210,B6_pos,0.75,-8.3631,True
0.0106,d0106,S05_pencil,90210,B6_neg,1.7551,-2.4065,False
0.0106,d0106,S05_pencil,90210,scrA_pos,1.094,-2.1453,True
0.0106,d0106,S05_pencil,90210,scrA_neg,0.9352,2.7781,True
0.0106,d0106,S05_pencil,90210,scrB_pos,1.4208,-54.006,False
0.0106,d0106,S05_pencil,90210,scrB_neg,0.6231,40.5255,False
0.0106,d0106,S10_synthwave,90210,B1_pos,1.1649,-1.3427,True
0.0106,d0106,S10_synthwave,90210,B1_neg,0.8878,-1.894,True
0.0106,d0106,S10_synthwave,90210,B6_pos,0.7279,-9.5419,True
0.0106,d0106,S10_synthwave,90210,B6_neg,1.3059,-9.7523,True
0.0106,d0106,S10_synthwave,90210,scrA_pos,1.0447,-0.1994,True
0.0106,d0106,S10_synthwave,90210,scrA_neg,0.9564,2.4034,True
0.0106,d0106,S10_synthwave,90210,scrB_pos,0.914,-55.7396,False
0.0106,d0106,S10_synthwave,90210,scrB_neg,0.7652,40.6645,False
0.0071,d0071,S01_oil,90210,B1_pos,1.0273,4.4051,True
0.0071,d0071,S01_oil,90210,B1_neg,0.939,-5.1632,True
0.0071,d0071,S01_oil,90210,B6_pos,0.8523,-2.701,True
0.0071,d0071,S01_oil,90210,B6_neg,1.4519,2.6032,True
0.0071,d0071,S01_oil,90210,scrA_pos,1.0357,-1.6761,True
0.0071,d0071,S01_oil,90210,scrA_neg,0.9635,1.8459,True
0.0071,d0071,S01_oil,90210,scrB_pos,1.1771,-29.2275,False
0.0071,d0071,S01_oil,90210,scrB_neg,0.8009,29.173,False
0.0071,d0071,S05_pencil,90210,B1_pos,1.0041,3.2361,True
0.0071,d0071,S05_pencil,90210,B1_neg,0.9963,-5.0021,True
0.0071,d0071,S05_pencil,90210,B6_pos,0.8076,-5.0707,True
0.0071,d0071,S05_pencil,90210,B6_neg,1.34,-0.4885,True
0.0071,d0071,S05_pencil,90210,scrA_pos,1.0333,-1.1523,True
0.0071,d0071,S05_pencil,90210,scrA_neg,0.9473,1.6536,True
0.0071,d0071,S05_pencil,90210,scrB_pos,1.2691,-37.4032,False
0.0071,d0071,S05_pencil,90210,scrB_neg,0.7002,30.8224,False
0.0071,d0071,S10_synthwave,90210,B1_pos,1.2049,-0.9978,True
0.0071,d0071,S10_synthwave,90210,B1_neg,0.9955,0.3986,True
0.0071,d0071,S10_synthwave,90210,B6_pos,0.7641,-4.4996,True
0.0071,d0071,S10_synthwave,90210,B6_neg,1.1095,-7.8773,True
0.0071,d0071,S10_synthwave,90210,scrA_pos,1.0112,-2.0337,True
0.0071,d0071,S10_synthwave,90210,scrA_neg,0.9833,0.3372,True
0.0071,d0071,S10_synthwave,90210,scrB_pos,0.9881,-34.8703,False
0.0071,d0071,S10_synthwave,90210,scrB_neg,0.8778,29.0627,False
