run_idx,prompt_id,seed,condition,node_type,angle,d_target,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
0,S01_oil,,,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_baseline_00001_.png,S01_oil_s42_baseline_00001_.png,,,,1024,1760,78.2037,12.4108,86.59,0.1144,#ccc0ab,8.4976,12.6229,284.02,0.3175,#121829,0.9065,67.3595,5.5454,6,0.385,70.2555,8.231,14.1607,283.07,0.3051,#10182a,13.5102,3.9589,22.37,0.08,#292121,33.6829,58.3043,37.17,0.0278,#962419,42.4443,74.2144,303.08,0.005,#6350cc,58.6205,45.7732,72.26,0.0351,#b8823f,75.5905,25.6411,78.49,0.019,#d4b68c
1,S01_oil,,,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_1_pos_00001_.png,S01_oil_s42_Block_1_pos_00001_.png,,,,1024,1760,82.6683,5.4214,123.94,0.1377,#cccfc5,8.9484,13.131,283.53,0.3272,#12192a,0.897,72.9693,7.1641,5,0.4073,64.385,8.3168,13.2833,283.6,0.3497,#111829,26.9092,46.7814,32.63,0.0199,#791d1b,43.7766,73.6276,301.06,0.0057,#5f56d2,44.4314,77.6684,37.14,0.0162,#cb261d,60.4323,45.0773,77.07,0.0576,#b88943,81.2861,20.6697,85.29,0.0369,#dcc8a4
2,S01_oil,,,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_1_neg_00001_.png,S01_oil_s42_Block_1_neg_00001_.png,,,,1024,1760,72.1998,20.9591,89.51,0.0852,#c0b08b,7.7662,13.2217,283.48,0.2896,#101728,0.9194,71.8678,12.8689,4,0.3837,69.9494,8.0069,14.2631,283.13,0.2931,#0f172a,17.8164,38.9254,34.34,0.0189,#58100c,41.2649,59.7676,38.8,0.0152,#ae3926,43.3497,78.1134,305.43,0.0051,#6e4ed2,45.1259,8.164,187.45,0.0906,#5b6f6c,79.8748,21.9817,86.53,0.0129,#d8c49d
3,S01_oil,,,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_6_pos_00001_.png,S01_oil_s42_Block_6_pos_00001_.png,,,,1024,1760,16.223,25.886,67.09,0.0401,#3d2200,2.2995,8.851,23.72,0.2059,#1a0200,0.8962,71.5083,4.1669,6,0.1743,72.5343,1.9214,7.745,22.43,0.1327,#170100,8.866,22.5309,37.26,0.0416,#330d00,24.5751,34.0225,81.97,0.0009,#4d3700,43.3343,74.464,301.57,0.0054,#6054d1,56.177,45.345,164.16,0.0003,#119970,73.4297,1.9297,273.88,0.0004,#b3b4b8
4,S01_oil,,,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_6_neg_00001_.png,S01_oil_s42_Block_6_neg_00001_.png,,,,1024,1760,71.6648,12.1847,355.65,0.0916,#c5a8b2,7.9918,14.2792,283.09,0.2683,#0f172a,0.6463,59.189,11.702,4,0.4616,104.3873,7.9866,14.2796,283.09,0.4136,#0f172a,42.5298,74.4172,303.01,0.0068,#6350cd,50.1282,118.6669,319.03,0.0006,#c100ff,54.0869,43.3288,164.95,0.0004,#12936d,56.5654,26.6101,350.97,0.0309,#b17790,67.1757,16.0049,306.65,0.048,#aa9fbb
5,S01_oil,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_scramble_A_00001_.png,S01_oil_s42_scramble_A_00001_.png,,,,1024,1760,41.3543,5.6398,46.43,0.0685,#6b5f5b,5.7538,5.8237,20.19,0.206,#1c100f,0.9824,53.8967,6.424,5,0.2047,68.8568,4.9413,4.1673,16.75,0.1716,#180e0f,22.8829,37.7577,36.65,0.0304,#641f16,34.7484,16.4121,162.37,0.0332,#385849,42.0421,73.024,303.55,0.0057,#654fc9,42.3664,72.8295,37.05,0.0205,#bf281e,58.838,55.5648,68.27,0.0163,#c47e30
6,S01_oil,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_scramble_B_00001_.png,S01_oil_s42_scramble_B_00001_.png,,,,1024,1760,70.9402,12.7161,85.88,0.107,#b9ac97,7.7324,12.6221,283.78,0.3077,#111727,0.9172,69.5041,9.7287,5,0.1185,70.5308,7.3675,3.9857,33.01,0.0725,#1c1513,19.0232,37.7674,35.09,0.0189,#5a1510,36.2887,62.1693,38.48,0.015,#a12819,43.6106,74.5165,302.13,0.005,#6354d1,46.1221,43.7546,66.86,0.046,#986128,76.8716,23.7143,75.93,0.017,#d8b994
7,S01_oil,,,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s1337_baseline_00001_.png,S01_oil_s1337_baseline_00001_.png,,,,1024,1760,78.0939,10.2816,90.42,0.1258,#c9c0ae,8.0848,12.5956,283.96,0.3112,#111728,0.8922,60.6142,4.9549,5,0.3357,60.1347,8.0272,14.2423,283.1,0.3041,#0f172a,24.2055,40.2052,31.58,0.0249,#6c1e1c,38.8108,65.0802,36.72,0.0149,#ad291f,42.4615,74.377,302.96,0.005,#6350cd,59.1912,56.9969,71.63,0.0247,#c2812a,68.6414,22.4118,72.52,0.0315,#c1a281
8,S01_oil,,,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s1337_Block_1_pos_00001_.png,S01_oil_s1337_Block_1_pos_00001_.png,,,,1024,1760,82.7533,5.2181,121.19,0.1666,#cccfc6,8.7307,13.3501,283.59,0.3199,#12182a,0.8577,66.5893,6.2229,5,0.4761,60.1284,7.9624,13.2113,283.66,0.3551,#101728,23.7307,40.5599,27.29,0.019,#6c1a1f,42.0016,70.1981,37.15,0.0224,#bc2b20,43.4161,73.3397,301.35,0.0057,#6055d0,56.6098,44.6554,80.33,0.054,#a98139,74.5517,13.643,249.17,0.121,#a0bbce
9,S01_oil,,,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s1337_Block_1_neg_00001_.png,S01_oil_s1337_Block_1_neg_00001_.png,,,,1024,1760,69.0986,24.7718,85.48,0.0856,#bca67c,7.7869,13.3686,283.09,0.2854,#101728,0.928,58.9897,3.7309,6,0.3792,65.2034,7.9994,14.2747,283.11,0.2893,#0f172a,19.4492,35.1113,33.3,0.0254,#591815,34.9914,60.1464,39.22,0.0192,#9b2717,43.4446,78.0698,305.53,0.0051,#6f4ed2,50.5122,33.4332,77.61,0.0456,#947240,66.9892,12.8664,108.02,0.0899,#a5a48d
10,S01_oil,,,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s1337_Block_6_pos_00001_.png,S01_oil_s1337_Block_6_pos_00001_.png,,,,1024,1760,8.736,14.6171,64.42,0.0479,#271500,1.2613,5.4834,20.92,0.2559,#120000,0.6495,72.1829,6.4666,6,0.1243,76.5285,0.9372,4.0975,19.95,0.1165,#0e0000,17.2355,24.7475,90.13,0.0078,#342900,42.4962,74.352,303.01,0.0066,#6350cd,52.4414,78.4032,287.9,0.0006,#0078ff,58.6148,47.6614,163.35,0.0003,#11a074,73.1202,1.8747,273.06,0.0005,#b2b4b7
11,S01_oil,,,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s1337_Block_6_neg_00001_.png,S01_oil_s1337_Block_6_neg_00001_.png,,,,1024,1760,71.8269,15.6863,321.63,0.097,#bfa9c2,7.9953,14.2778,283.08,0.2683,#0f172a,0.4623,68.3403,11.0677,5,0.6075,117.1925,7.9895,14.2794,283.09,0.578,#0f172a,42.4373,74.3586,302.93,0.0095,#6350cd,50.1282,118.6669,319.03,0.0008,#c100ff,55.041,44.2326,164.58,0.0005,#12966e,60.6852,18.7329,345.75,0.0295,#af879b,76.3298,1.4743,273.6,0.0007,#bbbcbf
12,S01_oil,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s1337_scramble_A_00001_.png,S01_oil_s1337_scramble_A_00001_.png,,,,1024,1760,59.6146,48.9201,60.45,0.0415,#c97e45,8.2095,13.6885,285.0,0.3773,#111729,0.9927,55.7636,9.2161,4,0.2089,79.337,5.358,2.5333,6.14,0.1719,#161011,32.4211,61.9385,303.81,0.0115,#4e3b9f,43.2885,26.4606,136.33,0.0143,#506e47,47.8283,81.8702,34.99,0.0217,#dc2526,61.0748,57.5911,64.28,0.0203,#d18035,61.1216,23.6211,39.26,0.037,#bb877a
13,S01_oil,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s1337_scramble_B_00001_.png,S01_oil_s1337_scramble_B_00001_.png,,,,1024,1760,71.9611,11.284,87.62,0.105,#baaf9c,7.9875,12.4338,283.5,0.3155,#111727,0.911,66.2193,9.7158,4,0.345,60.1124,8.0555,14.196,283.01,0.2993,#0f172a,20.899,38.8902,34.49,0.0197,#601813,40.2054,64.5806,37.27,0.0093,#b02e21,43.6586,74.3085,301.6,0.0053,#6155d2,46.108,41.2653,67.83,0.0457,#95622c,74.2748,21.4783,74.99,0.0133,#cfb291
14,S01_oil,,,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s4242145_baseline_00001_.png,S01_oil_s4242145_baseline_00001_.png,,,,1024,1760,77.7245,10.5656,85.6,0.1304,#cabfad,8.1353,12.7208,284.1,0.3062,#111728,0.8874,69.4365,7.7307,5,0.3722,68.1544,8.1049,14.1941,283.16,0.3071,#10172a,10.8157,6.2876,51.71,0.0651,#251b17,32.3378,53.7014,35.0,0.0306,#8f251e,42.5132,74.442,302.97,0.0051,#6350cd,53.8819,38.9243,71.79,0.0498,#a67841,77.5414,25.3114,79.74,0.0145,#d9bb92
15,S01_oil,,,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s4242145_Block_1_pos_00001_.png,S01_oil_s4242145_Block_1_pos_00001_.png,,,,1024,1760,81.0586,3.543,152.27,0.1636,#c4cbc6,8.9643,13.0491,282.27,0.3304,#12192a,0.8623,72.741,7.4389,5,0.418,63.1001,8.0678,13.2429,283.12,0.3601,#101729,29.1884,45.4076,32.2,0.0179,#7f2522,43.1074,76.343,37.52,0.0137,#c5251b,43.5718,73.8424,301.7,0.0056,#6154d1,63.0872,41.6661,78.25,0.0579,#bc914f,80.8088,18.5666,87.64,0.0341,#d8c7a6
16,S01_oil,,,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s4242145_Block_1_neg_00001_.png,S01_oil_s4242145_Block_1_neg_00001_.png,,,,1024,1760,71.5287,19.9505,86.62,0.0812,#bfad8b,7.8875,13.1847,283.24,0.2904,#101728,0.9277,73.3965,11.7067,5,0.3793,69.4974,8.0308,14.2633,283.04,0.2892,#0f172a,18.0755,36.0714,33.76,0.0193,#561410,35.0569,52.0016,39.79,0.0149,#93321f,43.3608,77.9866,305.57,0.0052,#6f4ed1,45.3661,8.4892,192.08,0.0901,#5a706e,81.4272,18.6584,91.22,0.0141,#d7c9a8
17,S01_oil,,,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s4242145_Block_6_pos_00001_.png,S01_oil_s4242145_Block_6_pos_00001_.png,,,,1024,1760,18.6654,27.1084,81.24,0.0865,#3d2a00,6.1728,10.6586,60.58,0.1502,#201000,0.7034,67.6612,3.5221,6,0.1349,72.2713,4.6957,7.9599,60.61,0.0628,#1b0d00,11.3262,20.1357,58.1,0.0721,#311800,27.0387,35.9058,92.66,0.0019,#4b3f01,43.074,74.4236,301.72,0.0067,#6053d0,57.0403,46.1412,163.88,0.0003,#119c71,72.3569,2.1523,274.34,0.0005,#b0b1b5
18,S01_oil,,,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s4242145_Block_6_neg_00001_.png,S01_oil_s4242145_Block_6_neg_00001_.png,,,,1024,1760,66.3612,19.4711,323.04,0.1066,#b499b7,7.9908,14.2783,283.08,0.2682,#0f172a,0.5692,51.0485,12.3258,3,0.5396,104.1107,7.986,14.2776,283.09,0.4697,#0f172a,42.5413,74.4475,303.02,0.0075,#6350cd,50.205,118.3883,319.11,0.0007,#c101ff,54.0387,19.3514,345.9,0.0309,#9e768a,55.8894,45.0546,164.28,0.0004,#12986f,59.0344,29.4015,311.81,0.0699,#9e84b5
