run_idx,prompt_id,seed,condition,node_type,angle,d_target,image_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex
0,S01_oil,,,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_baseline_00001_.png,S01_oil_s42_baseline_00001_.png,,,,1024,1760,78.6206,12.5479,86.75,0.1506,#ccc0ab,14.4065,3.7711,8.51,0.1184,#121829,0.8725,65.7473,5.1418,5,0.1979,65.3103,9.557,4.5416,40.23,0.0793,#10182a,25.4467,44.9529,35.05,0.0273,#292121,41.6356,69.8519,38.86,0.0192,#962419,58.842,46.2181,72.27,0.0483,#6350cc,62.0429,12.5032,247.79,0.1186,#b8823f,75.3043,25.686,78.2,0.0261,#d4b68c
1,S01_oil,,,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_1_pos_00001_.png,S01_oil_s42_Block_1_pos_00001_.png,,,,1024,1760,83.8053,8.2265,105.3,0.1379,#cccfc5,15.6275,5.3862,318.62,0.1181,#12192a,0.8794,67.3667,6.4672,5,0.2942,74.0308,8.5179,3.6038,0.7,0.0731,#111829,27.5656,46.5255,32.04,0.0287,#791d1b,44.0875,77.6346,37.33,0.0225,#5f56d2,60.1247,47.015,76.14,0.064,#cb261d,75.0619,26.5585,82.76,0.0499,#b88943,75.8846,12.0091,238.42,0.2211,#dcc8a4
2,S01_oil,,,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_1_neg_00001_.png,S01_oil_s42_Block_1_neg_00001_.png,,,,1024,1760,72.2199,20.5241,90.1,0.12,#c0b08b,9.9276,3.6364,64.81,0.0652,#101728,0.8868,73.0206,13.0924,5,0.1981,56.7192,6.9464,2.8931,57.55,0.0524,#0f172a,17.6565,39.3809,34.42,0.0273,#58100c,33.239,15.1632,79.34,0.1224,#ae3926,40.6373,8.1381,197.18,0.0757,#6e4ed2,41.0955,59.6123,38.74,0.0212,#5b6f6c,79.9671,25.324,85.92,0.0156,#d8c49d
3,S01_oil,,,rotator,32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_6_pos_00001_.png,S01_oil_s42_Block_6_pos_00001_.png,,,,1024,1760,17.559,27.3899,69.21,0.0333,#3d2200,2.0505,8.1258,22.91,0.2008,#1a0200,0.8938,23.8267,5.3584,2,0.2494,27.7357,1.7292,7.0341,22.01,0.117,#170100,4.4725,15.388,26.84,0.1324,#330d00,8.8159,15.5151,59.07,0.0276,#4d3700,9.25,19.2884,47.0,0.0546,#6054d1,10.4178,23.83,42.02,0.0323,#119970,25.5559,34.7697,84.83,0.0006,#b3b4b8
4,S01_oil,,,rotator,-32.21,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_Block_6_neg_00001_.png,S01_oil_s42_Block_6_neg_00001_.png,,,,1024,1760,71.7318,12.1369,352.44,0.1249,#c5a8b2,55.1251,17.1174,333.8,0.1316,#0f172a,0.4857,17.5537,2.6369,2,0.1479,13.1407,50.6268,18.7933,350.09,0.0454,#0f172a,53.8786,17.2007,328.39,0.095,#6350cd,57.3083,23.6762,326.26,0.0529,#c100ff,58.3421,29.2043,350.88,0.0368,#12936d,59.7548,16.0636,23.39,0.028,#b17790,68.1805,17.2328,305.42,0.0495,#aa9fbb
5,S01_oil,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_scramble_A_00001_.png,S01_oil_s42_scramble_A_00001_.png,,,,1024,1760,57.2205,49.1945,66.5,0.0304,#6b5f5b,5.2785,4.6913,330.77,0.2781,#1c100f,0.9953,56.3467,7.4162,4,0.3488,69.8916,4.7656,4.1051,20.43,0.2242,#180e0f,20.1785,17.0563,254.07,0.1246,#641f16,22.414,36.4074,41.12,0.0441,#385849,41.3979,73.9968,37.63,0.0268,#654fc9,43.7479,17.5435,104.55,0.0363,#bf281e,61.1123,58.9763,68.65,0.016,#c47e30
6,S01_oil,,,scramble,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s42_scramble_B_00001_.png,S01_oil_s42_scramble_B_00001_.png,,,,1024,1760,73.0776,15.8401,82.33,0.1054,#b9ac97,9.9272,4.6468,37.32,0.1186,#111727,0.9004,70.7793,8.0083,5,0.227,59.6741,6.4191,2.5769,17.71,0.0829,#1c1513,19.3625,38.9273,35.03,0.0258,#5a1510,37.026,62.251,38.24,0.0211,#a12819,48.2171,45.77,67.33,0.0463,#6354d1,50.5037,10.4402,243.14,0.1441,#986128,77.1983,24.174,75.25,0.0107,#d8b994
7,S01_oil,,,rotator,0.0,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s1337_baseline_00001_.png,S01_oil_s1337_baseline_00001_.png,,,,1024,1760,78.8946,10.531,91.15,0.159,#c9c0ae,14.4208,2.8521,350.95,0.1095,#111728,0.8554,64.445,4.2817,5,0.2093,61.8895,6.8836,2.4462,26.78,0.0589,#0f172a,23.8048,39.9257,31.89,0.0348,#6c1e1c,38.8516,64.3357,36.56,0.0222,#ad291f,43.7835,33.0841,68.18,0.0634,#6350cd,59.2697,57.506,71.57,0.0346,#c2812a,71.3286,6.0414,225.5,0.1459,#c1a281
8,S01_oil,,,rotator,23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s1337_Block_1_pos_00001_.png,S01_oil_s1337_Block_1_pos_00001_.png,,,,1024,1760,83.3817,6.0883,114.14,0.203,#cccfc6,12.4566,4.8529,346.33,0.0866,#12182a,0.8143,69.3097,5.4251,5,0.1347,67.7059,8.5208,2.9532,0.82,0.0708,#101728,24.1492,39.8514,27.19,0.0276,#6c1a1f,28.5562,16.7068,278.06,0.0594,#bc2b20,41.9206,70.6591,37.2,0.0319,#6055d0,56.6439,46.6538,80.39,0.0639,#a98139,77.8305,21.6886,87.37,0.0592,#a0bbce
9,S01_oil,,,rotator,-23.69,0.045,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\rotations_block1_vs_block6\S01_oil_s1337_Block_1_neg_00001_.png,S01_oil_s1337_Block_1_neg_00001_.png,,,,1024,1760,70.6134,23.2108,87.04,0.1133,#bca67c,15.3964,6.0921,90.68,0.1183,#101728,0.8933,59.035,11.2242,4,0.236,57.0091,8.1069,2.9893,93.07,0.0602,#0f172a,19.1638,35.614,33.02,0.0353,#591815,33.3427,18.3123,78.18,0.1312,#9b2717,35.1485,59.9985,39.22,0.0286,#6f4ed2,66.7752,36.1571,79.65,0.0225,#947240,67.1419,11.1435,121.57,0.1048,#a5a48d
