recovered_path,file,prompt_dir,prompt_sha1,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex,bench,prompt_id,seed,condition,output_folder
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s1337_scramble_C_00001_.png,S01_oil_s1337_scramble_C_00001_.png,,,,1024,1280,77.8274,9.9289,88.22,0.18,#c9bfae,9.4557,6.0916,12.8,0.1109,#231819,0.8579,70.8713,7.9505,5,0.1634,63.6402,7.7137,5.4718,3.46,0.1068,#1e1417,21.6453,40.7072,37.28,0.0379,#631a11,43.0079,69.112,35.0,0.0264,#bf2d27,44.0155,12.78,232.94,0.0466,#4e6d79,55.3166,43.5339,64.72,0.0565,#b47740,78.585,25.8274,76.45,0.0349,#debd94,rotations_triangolo,S01_oil,1337,scramble_C,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s1337_Block_3_neg_00001_.png,S01_oil_s1337_Block_3_neg_00001_.png,,,,1024,1280,78.2432,11.1955,92.51,0.1552,#c9c1ad,14.2943,2.3186,344.62,0.1229,#272325,0.8589,63.0461,6.4064,5,0.2128,60.1128,8.0579,4.3403,54.73,0.0652,#1d1613,24.3792,37.4661,30.46,0.0381,#6a211f,39.853,64.139,37.08,0.0259,#af2e21,60.2281,46.3557,73.52,0.0335,#bc8741,68.833,24.5705,77.78,0.032,#c1a37d,71.104,4.0262,222.0,0.1476,#a6b0b3,rotations_triangolo,S01_oil,1337,Block_3_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s1337_Block_3_pos_00001_.png,S01_oil_s1337_Block_3_pos_00001_.png,,,,1024,1280,78.6454,15.1236,86.57,0.1127,#d0c1a7,12.973,5.2265,12.28,0.1124,#291f20,0.8901,63.2648,6.2294,5,0.2258,61.2505,9.2257,4.7441,20.94,0.0831,#211818,23.5818,39.5711,34.26,0.0316,#681e19,40.7744,65.6866,35.45,0.0235,#b42c24,41.1952,28.741,69.45,0.0864,#7e5a35,55.627,45.5927,69.62,0.0524,#b2793a,72.4905,4.4361,198.69,0.1394,#a8b4b4,rotations_triangolo,S01_oil,1337,Block_3_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s4242145_Block_3_pos_00001_.png,S01_oil_s4242145_Block_3_pos_00001_.png,,,,1024,1280,79.4731,17.229,81.24,0.1077,#d6c2a6,12.8985,5.0113,3.98,0.1313,#281f21,0.9036,63.722,4.8501,6,0.2491,58.4054,9.7683,4.2382,359.49,0.1016,#21191b,21.3678,37.8657,32.37,0.0312,#611a17,42.8367,62.6435,34.98,0.0219,#b8362d,53.1823,48.9483,69.23,0.0259,#ae722e,60.0948,26.7058,69.58,0.0718,#af8a65,73.4903,4.3763,191.3,0.1475,#abb7b6,rotations_triangolo,S01_oil,4242145,Block_3_pos,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s4242145_Block_3_neg_00001_.png,S01_oil_s4242145_Block_3_neg_00001_.png,,,,1024,1280,77.7282,11.4435,87.2,0.1616,#cabfab,13.6867,3.4299,26.84,0.1183,#282121,0.8556,67.6112,6.3762,5,0.1712,53.6738,8.5792,5.4633,49.75,0.0834,#1f1713,23.176,34.5322,33.31,0.0369,#63221c,41.5583,59.1371,34.21,0.0268,#b1372e,55.325,36.9306,72.35,0.0586,#a87c47,56.8314,9.7712,243.84,0.0878,#788b97,76.1904,23.8786,79.8,0.029,#d4b891,rotations_triangolo,S01_oil,4242145,Block_3_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s1337_scramble_D_00001_.png,S01_oil_s1337_scramble_D_00001_.png,,,,1024,1280,78.1186,14.5926,86.89,0.1209,#cec0a6,13.0173,4.1777,345.4,0.0996,#272023,0.8851,62.246,10.8426,4,0.272,69.4906,10.2284,4.4632,346.81,0.093,#211a1d,23.3002,40.1353,35.34,0.0246,#681d16,24.4396,19.7476,60.98,0.0586,#4f3420,41.3356,38.6666,70.63,0.0593,#845824,42.4091,73.9539,39.15,0.0152,#bf2a18,72.4744,5.8668,195.56,0.1789,#a5b5b4,rotations_triangolo,S01_oil,1337,scramble_D,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s4242145_scramble_D_00001_.png,S01_oil_s4242145_scramble_D_00001_.png,,,,1024,1280,78.7764,10.9445,85.7,0.1732,#cdc2af,13.4051,3.531,2.37,0.1497,#272122,0.8732,71.4377,8.686,5,0.2578,64.3969,9.6422,3.2916,4.82,0.1197,#1f191a,22.5416,39.6248,32.32,0.0316,#661b18,22.6552,15.7691,56.47,0.0663,#483123,42.9179,67.6884,37.16,0.0238,#bc3224,55.1891,14.6944,246.94,0.1381,#6b889b,81.0799,25.2166,80.22,0.0294,#e2c59b,rotations_triangolo,S01_oil,4242145,scramble_D,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s42_Block_3_neg_00001_.png,S01_oil_s42_Block_3_neg_00001_.png,,,,1024,1280,77.7867,12.6072,88.1,0.1428,#cbbfa9,13.0688,3.3521,7.51,0.1452,#272021,0.8759,71.0767,8.466,5,0.2303,60.7012,8.6325,3.0023,10.24,0.1061,#1d1718,23.2589,39.2206,31.67,0.0371,#681d1a,40.8943,63.7035,35.71,0.0287,#b33026,41.6154,16.6247,63.19,0.1243,#775d4a,52.9905,42.6726,69.78,0.0482,#a87439,79.7092,26.5652,86.98,0.0189,#dac394,rotations_triangolo,S01_oil,42,Block_3_neg,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s4242145_scramble_C_00001_.png,S01_oil_s4242145_scramble_C_00001_.png,,,,1024,1280,76.9303,11.6699,78.27,0.1628,#cbbca9,10.2072,5.4847,7.8,0.1271,#23191b,0.8502,63.1616,6.3975,6,0.2541,61.7459,8.8539,4.787,2.14,0.126,#201719,19.9784,26.7136,40.57,0.0497,#502318,31.524,28.0177,84.2,0.0423,#5b471d,40.5176,66.3393,36.1,0.0399,#b42b22,47.0873,42.2597,63.51,0.055,#9c622f,72.0155,4.5934,212.18,0.1281,#a7b3b5,rotations_triangolo,S01_oil,4242145,scramble_C,rotations_block1_vs_block6
C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\rotations_block1_vs_block6\S01_oil_s42_Block_3_pos_00001_.png,S01_oil_s42_Block_3_pos_00001_.png,,,,1024,1280,79.1834,17.7327,83.87,0.099,#d5c2a4,13.8462,5.0787,8.06,0.1319,#2b2122,0.9105,64.9715,5.0546,6,0.2168,61.7517,8.3176,4.9054,21.08,0.0769,#1f1616,22.5728,41.7201,32.49,0.0225,#681817,43.6709,65.8244,36.17,0.0192,#bd3629,54.2442,20.6917,62.15,0.0855,#9d7b63,59.8606,41.9351,71.71,0.057,#ba864a,73.2891,4.0727,188.63,0.1313,#abb6b5,rotations_triangolo,S01_oil,42,Block_3_pos,rotations_block1_vs_block6
