order,hash_id,prompt_id,prompt_sha1,cond_name,seed,is_duplicate,orig_hash_id,mirror_h,flip_v,hue_shift_deg,sat_factor,lum_factor,noise_sigma,src_path
1,396d6d3960e9,S07_comic,69f4e68eba,baseline,9999,0,396d6d3960e9,1,1,-106.21,0.8932,1.0489,1.2,S07_comic_baseline_seed9999_00001_.png
2,9baacd4e8b36,S03_cyberpunk,6ab02b69aa,blockshuf_neg_2x,4242145,0,9baacd4e8b36,0,0,35.52,1.0988,0.9938,1.82,S03_cyberpunk_blockshuf_neg_2x_seed4242145_00001_.png
3,8018a80e7b21,S07_comic,69f4e68eba,baseline,4242145,0,8018a80e7b21,0,0,69.0,1.5603,1.0684,2.45,S07_comic_baseline_seed4242145_00001_.png
4,410a9b2d5916,S02_linocut,e20e86ac75,blockshuf_neg_1x,42,0,410a9b2d5916,1,0,-85.59,0.6231,1.1472,0.48,S02_linocut_blockshuf_neg_1x_seed42_00001_.png
5,65a6094367b7,S10_synthwave,25147e923b,baseline,777,1,5d07ec9a1866,0,1,-17.22,0.8154,0.9961,3.5,S10_synthwave_baseline_seed777_00001_.png
6,b6ca42067d86,S03_cyberpunk,6ab02b69aa,baseline,42,0,b6ca42067d86,0,1,54.67,1.2065,0.9241,2.71,S03_cyberpunk_baseline_seed42_00001_.png
7,47a6381f0097,S06_pastel,61861c7677,baseline,1337,0,47a6381f0097,1,0,-172.94,1.3863,0.8969,3.28,S06_pastel_baseline_seed1337_00001_.png
8,83057136d13a,S01_oil,6de4189f5e,baseline,42,0,83057136d13a,0,0,-129.81,1.2549,1.1466,3.07,S01_oil_baseline_seed42_00001_.png
9,6147ea84f0db,S02_linocut,e20e86ac75,preset_pos_2x,42,0,6147ea84f0db,0,1,-162.57,1.0423,0.8577,0.92,S02_linocut_preset_pos_2x_seed42_00001_.png
10,1a4f6db098c1,S06_pastel,61861c7677,blockshuf_neg_2x,42,0,1a4f6db098c1,0,1,-52.74,0.7074,1.005,2.31,S06_pastel_blockshuf_neg_2x_seed42_00001_.png
11,caa7e4241f69,S03_cyberpunk,6ab02b69aa,baseline,4242145,0,caa7e4241f69,1,0,20.22,0.7035,0.9517,0.41,S03_cyberpunk_baseline_seed4242145_00001_.png
12,e0022e85240f,S06_pastel,61861c7677,preset_pos_2x,1337,0,e0022e85240f,0,0,20.27,1.5078,1.0136,1.34,S06_pastel_preset_pos_2x_seed1337_00001_.png
13,e938d5402194,S06_pastel,61861c7677,blockshuf_neg_1x,777,0,e938d5402194,0,0,50.71,1.5704,0.8663,0.45,S06_pastel_blockshuf_neg_1x_seed777_00001_.png
14,cf70935e1537,S09_fresco,9e81add78f,baseline,1337,0,cf70935e1537,0,1,-89.31,1.1236,0.9328,0.17,S09_fresco_baseline_seed1337_00001_.png
15,0ce3bdc49b6f,S04_gouache,6335032007,baseline,4242145,0,0ce3bdc49b6f,1,1,-101.52,1.4277,1.0052,1.18,S04_gouache_baseline_seed4242145_00001_.png
16,9e10a5c345aa,S10_synthwave,25147e923b,preset_pos_2x,4242145,0,9e10a5c345aa,1,1,151.11,0.7833,1.1188,1.4,S10_synthwave_preset_pos_2x_seed4242145_00001_.png
17,ed3460ac9b65,S09_fresco,9e81add78f,blockshuf_neg_1x,42,0,ed3460ac9b65,1,1,-110.89,1.3119,1.0473,1.69,S09_fresco_blockshuf_neg_1x_seed42_00001_.png
18,5522dcc6ea2a,S10_synthwave,25147e923b,blockshuf_neg_2x,4242145,0,5522dcc6ea2a,0,1,50.84,0.8789,1.0746,1.59,S10_synthwave_blockshuf_neg_2x_seed4242145_00001_.png
19,804f2cde64b4,S06_pastel,61861c7677,blockshuf_neg_2x,9999,0,804f2cde64b4,0,1,53.95,1.228,1.0478,2.7,S06_pastel_blockshuf_neg_2x_seed9999_00001_.png
