prompt_id,condition,n_seeds,baseline_area_frac,treated_area_frac,rho,delta_pp,identified_blockshuf_2x,identified_preset_pos_2x,n_afc_trials
S01_oil,blockshuf_neg_1x,5,0.168337,0.198894,1.181522,3.0557,1,2,2
S01_oil,blockshuf_neg_2x,5,0.168337,0.236131,1.402729,6.7794,1,2,2
S01_oil,preset_pos_2x,5,0.168337,0.171528,1.018956,0.3191,1,2,2
S02_linocut,blockshuf_neg_1x,5,0.223579,0.211159,0.944446,-1.2421,1,1,2
S02_linocut,blockshuf_neg_2x,5,0.223579,0.246424,1.102175,2.2844,1,1,2
S02_linocut,preset_pos_2x,5,0.223579,0.220521,0.986319,-0.3059,1,1,2
S03_cyberpunk,blockshuf_neg_1x,5,0.248351,0.268978,1.083056,2.0627,0,0,2
S03_cyberpunk,blockshuf_neg_2x,5,0.248351,0.298513,1.201979,5.0162,0,0,2
S03_cyberpunk,preset_pos_2x,5,0.248351,0.264832,1.06636,1.6481,0,0,2
S04_gouache,blockshuf_neg_1x,5,0.181277,0.199137,1.098524,1.786,2,2,2
S04_gouache,blockshuf_neg_2x,5,0.181277,0.274193,1.512564,9.2916,2,2,2
S04_gouache,preset_pos_2x,5,0.181277,0.194814,1.074673,1.3537,2,2,2
S05_pencil,blockshuf_neg_1x,5,0.214219,0.217192,1.013877,0.2973,2,2,2
S05_pencil,blockshuf_neg_2x,5,0.214219,0.274917,1.283347,6.0698,2,2,2
S05_pencil,preset_pos_2x,5,0.214219,0.18766,0.876018,-2.6559,2,2,2
S06_pastel,blockshuf_neg_1x,5,0.219601,0.210106,0.956765,-0.9494,0,2,2
S06_pastel,blockshuf_neg_2x,5,0.219601,0.172379,0.784963,-4.7222,0,2,2
S06_pastel,preset_pos_2x,5,0.219601,0.236944,1.078975,1.7343,0,2,2
S07_comic,blockshuf_neg_1x,5,0.307052,0.314968,1.025779,0.7916,2,2,2
S07_comic,blockshuf_neg_2x,5,0.307052,0.364958,1.188586,5.7906,2,2,2
S07_comic,preset_pos_2x,5,0.307052,0.287873,0.937538,-1.9179,2,2,2
S08_papercraft,blockshuf_neg_1x,5,0.22028,0.234254,1.063435,1.3973,2,2,2
S08_papercraft,blockshuf_neg_2x,5,0.22028,0.273879,1.243319,5.3598,2,2,2
S08_papercraft,preset_pos_2x,5,0.22028,0.216459,0.982651,-0.3822,2,2,2
S09_fresco,blockshuf_neg_1x,5,0.200357,0.242933,1.212498,4.2576,2,2,2
S09_fresco,blockshuf_neg_2x,5,0.200357,0.284222,1.418578,8.3865,2,2,2
S09_fresco,preset_pos_2x,5,0.200357,0.180743,0.902107,-1.9614,2,2,2
S10_synthwave,blockshuf_neg_1x,5,0.175774,0.18585,1.05732,1.0075,0,2,2
S10_synthwave,blockshuf_neg_2x,5,0.175774,0.242436,1.379245,6.6662,0,2,2
S10_synthwave,preset_pos_2x,5,0.175774,0.17454,0.992977,-0.1234,0,2,2
