scope,prompt_id,condition,lit,scorable,uncertain,rate,prompt_is_informative
all_tiles,S01_oil,baseline,0,5,0,0.0000,no
all_tiles,S01_oil,blockshuf_neg_1x,0,5,0,0.0000,no
all_tiles,S01_oil,blockshuf_neg_2x,0,5,0,0.0000,no
all_tiles,S01_oil,preset_pos_2x,0,5,0,0.0000,no
all_tiles,S02_linocut,baseline,0,5,0,0.0000,no
all_tiles,S02_linocut,blockshuf_neg_1x,0,5,0,0.0000,no
all_tiles,S02_linocut,blockshuf_neg_2x,0,5,0,0.0000,no
all_tiles,S02_linocut,preset_pos_2x,0,5,0,0.0000,no
all_tiles,S03_cyberpunk,baseline,5,5,0,1.0000,yes
all_tiles,S03_cyberpunk,blockshuf_neg_1x,3,5,0,0.6000,yes
all_tiles,S03_cyberpunk,blockshuf_neg_2x,1,5,0,0.2000,yes
all_tiles,S03_cyberpunk,preset_pos_2x,5,5,0,1.0000,yes
all_tiles,S04_gouache,baseline,0,4,1,0.0000,no
all_tiles,S04_gouache,blockshuf_neg_1x,0,5,0,0.0000,no
all_tiles,S04_gouache,blockshuf_neg_2x,0,5,0,0.0000,no
all_tiles,S04_gouache,preset_pos_2x,0,5,0,0.0000,no
all_tiles,S05_pencil,baseline,0,5,0,0.0000,no
all_tiles,S05_pencil,blockshuf_neg_1x,0,5,0,0.0000,no
all_tiles,S05_pencil,blockshuf_neg_2x,0,5,0,0.0000,no
all_tiles,S05_pencil,preset_pos_2x,0,5,0,0.0000,no
all_tiles,S06_pastel,baseline,0,5,0,0.0000,no
all_tiles,S06_pastel,blockshuf_neg_1x,0,5,0,0.0000,no
all_tiles,S06_pastel,blockshuf_neg_2x,0,5,0,0.0000,no
all_tiles,S06_pastel,preset_pos_2x,0,5,0,0.0000,no
all_tiles,S07_comic,baseline,0,5,0,0.0000,no
all_tiles,S07_comic,blockshuf_neg_1x,0,5,0,0.0000,no
all_tiles,S07_comic,blockshuf_neg_2x,0,5,0,0.0000,no
all_tiles,S07_comic,preset_pos_2x,0,5,0,0.0000,no
all_tiles,S08_papercraft,baseline,0,5,0,0.0000,no
all_tiles,S08_papercraft,blockshuf_neg_1x,0,5,0,0.0000,no
all_tiles,S08_papercraft,blockshuf_neg_2x,0,5,0,0.0000,no
all_tiles,S08_papercraft,preset_pos_2x,0,5,0,0.0000,no
all_tiles,S09_fresco,baseline,0,5,0,0.0000,no
all_tiles,S09_fresco,blockshuf_neg_1x,0,5,0,0.0000,no
all_tiles,S09_fresco,blockshuf_neg_2x,0,5,0,0.0000,no
all_tiles,S09_fresco,preset_pos_2x,0,5,0,0.0000,no
all_tiles,S10_synthwave,baseline,0,5,0,0.0000,no
all_tiles,S10_synthwave,blockshuf_neg_1x,0,5,0,0.0000,no
all_tiles,S10_synthwave,blockshuf_neg_2x,0,5,0,0.0000,no
all_tiles,S10_synthwave,preset_pos_2x,0,5,0,0.0000,no
after_criterion_tightened,S01_oil,baseline,0,4,0,0.0000,no
after_criterion_tightened,S01_oil,blockshuf_neg_1x,0,5,0,0.0000,no
after_criterion_tightened,S01_oil,blockshuf_neg_2x,0,4,0,0.0000,no
after_criterion_tightened,S01_oil,preset_pos_2x,0,5,0,0.0000,no
after_criterion_tightened,S02_linocut,baseline,0,4,0,0.0000,no
after_criterion_tightened,S02_linocut,blockshuf_neg_1x,0,4,0,0.0000,no
after_criterion_tightened,S02_linocut,blockshuf_neg_2x,0,5,0,0.0000,no
after_criterion_tightened,S02_linocut,preset_pos_2x,0,4,0,0.0000,no
after_criterion_tightened,S03_cyberpunk,baseline,5,5,0,1.0000,yes
after_criterion_tightened,S03_cyberpunk,blockshuf_neg_1x,3,4,0,0.7500,yes
after_criterion_tightened,S03_cyberpunk,blockshuf_neg_2x,1,4,0,0.2500,yes
after_criterion_tightened,S03_cyberpunk,preset_pos_2x,4,4,0,1.0000,yes
after_criterion_tightened,S04_gouache,baseline,0,4,0,0.0000,no
after_criterion_tightened,S04_gouache,blockshuf_neg_1x,0,4,0,0.0000,no
after_criterion_tightened,S04_gouache,blockshuf_neg_2x,0,5,0,0.0000,no
after_criterion_tightened,S04_gouache,preset_pos_2x,0,5,0,0.0000,no
after_criterion_tightened,S05_pencil,baseline,0,4,0,0.0000,no
after_criterion_tightened,S05_pencil,blockshuf_neg_1x,0,4,0,0.0000,no
after_criterion_tightened,S05_pencil,blockshuf_neg_2x,0,5,0,0.0000,no
after_criterion_tightened,S05_pencil,preset_pos_2x,0,5,0,0.0000,no
after_criterion_tightened,S06_pastel,baseline,0,5,0,0.0000,no
after_criterion_tightened,S06_pastel,blockshuf_neg_1x,0,4,0,0.0000,no
after_criterion_tightened,S06_pastel,blockshuf_neg_2x,0,4,0,0.0000,no
after_criterion_tightened,S06_pastel,preset_pos_2x,0,4,0,0.0000,no
after_criterion_tightened,S07_comic,baseline,0,4,0,0.0000,no
after_criterion_tightened,S07_comic,blockshuf_neg_1x,0,4,0,0.0000,no
after_criterion_tightened,S07_comic,blockshuf_neg_2x,0,4,0,0.0000,no
after_criterion_tightened,S07_comic,preset_pos_2x,0,5,0,0.0000,no
after_criterion_tightened,S08_papercraft,baseline,0,5,0,0.0000,no
after_criterion_tightened,S08_papercraft,blockshuf_neg_1x,0,4,0,0.0000,no
