view_order,hash_id,prompt_id,cond_name,seed,is_duplicate,orig_hash_id,score
1,002fb4e347ce,S07_comic,blockshuf_neg_1x,9999,0,002fb4e347ce,SPENTO
2,005bbe2c22c1,S07_comic,blockshuf_neg_2x,9999,0,005bbe2c22c1,SPENTO
3,0359926b1871,S09_fresco,blockshuf_neg_2x,1337,0,0359926b1871,SPENTO
4,03ad5f009512,S06_pastel,preset_pos_2x,42,0,03ad5f009512,SPENTO
5,0ce3bdc49b6f,S04_gouache,baseline,4242145,0,0ce3bdc49b6f,INCERTO
6,0d485d19432f,S02_linocut,baseline,777,0,0d485d19432f,SPENTO
7,0ee0196b08ab,S09_fresco,preset_pos_2x,9999,0,0ee0196b08ab,SPENTO
8,1077f2ed30ff,S02_linocut,preset_pos_2x,1337,0,1077f2ed30ff,SPENTO
9,11205ed4192d,S05_pencil,baseline,777,0,11205ed4192d,SPENTO
10,12212d417911,S09_fresco,baseline,9999,0,12212d417911,SPENTO
11,1302c2c4e3ea,S03_cyberpunk,preset_pos_2x,9999,0,1302c2c4e3ea,ACCESO
12,13ce2e68ee85,S05_pencil,blockshuf_neg_1x,4242145,0,13ce2e68ee85,SPENTO
13,14f81c363de9,S06_pastel,blockshuf_neg_1x,9999,0,14f81c363de9,SPENTO
14,173235927424,S02_linocut,blockshuf_neg_1x,1337,0,173235927424,SPENTO
15,17746b82b13a,S04_gouache,blockshuf_neg_1x,1337,0,17746b82b13a,SPENTO
16,185b4400d07c,S01_oil,blockshuf_neg_2x,1337,0,185b4400d07c,SPENTO
17,18b17c08e673,S10_synthwave,blockshuf_neg_1x,4242145,0,18b17c08e673,SPENTO
18,1909f556192a,S03_cyberpunk,blockshuf_neg_1x,4242145,0,1909f556192a,SPENTO
19,1a4f6db098c1,S06_pastel,blockshuf_neg_2x,42,0,1a4f6db098c1,SPENTO
20,1c865f4b97c3,S03_cyberpunk,blockshuf_neg_2x,42,0,1c865f4b97c3,SPENTO
21,1d8812eda379,S01_oil,baseline,9999,0,1d8812eda379,SPENTO
22,1e3cfcefcedf,S08_papercraft,blockshuf_neg_2x,42,0,1e3cfcefcedf,SPENTO
23,1f0a88ed21bd,S01_oil,baseline,777,1,fabc99507953,SPENTO
24,1f2c79349598,S04_gouache,baseline,4242145,1,0ce3bdc49b6f,SPENTO
25,2098f2031100,S10_synthwave,blockshuf_neg_1x,777,0,2098f2031100,SPENTO
26,209b2c5715f5,S07_comic,baseline,1337,0,209b2c5715f5,SPENTO
27,21af961584c9,S08_papercraft,blockshuf_neg_1x,42,0,21af961584c9,SPENTO
28,22b836993141,S06_pastel,baseline,42,0,22b836993141,SPENTO
29,22bfe75ef216,S03_cyberpunk,baseline,1337,0,22bfe75ef216,ACCESO
30,266ba3996268,S05_pencil,preset_pos_2x,1337,0,266ba3996268,SPENTO
31,26c5e8d21ea2,S09_fresco,blockshuf_neg_2x,4242145,0,26c5e8d21ea2,SPENTO
32,26e03ef9eb9b,S06_pastel,blockshuf_neg_1x,1337,0,26e03ef9eb9b,SPENTO
33,27b32be5d267,S03_cyberpunk,preset_pos_2x,42,0,27b32be5d267,ACCESO
34,27bd3046758a,S05_pencil,baseline,4242145,1,ae4519e4a246,SPENTO
35,27e16e75f083,S02_linocut,preset_pos_2x,4242145,0,27e16e75f083,SPENTO
36,289b4ae088eb,S08_papercraft,baseline,42,0,289b4ae088eb,SPENTO
37,29b78ab39f14,S03_cyberpunk,preset_pos_2x,777,0,29b78ab39f14,ACCESO
38,2a48061cfd22,S10_synthwave,preset_pos_2x,1337,0,2a48061cfd22,SPENTO
39,2b25ae9761e2,S08_papercraft,blockshuf_neg_2x,777,0,2b25ae9761e2,SPENTO
40,2da040e126ab,S08_papercraft,preset_pos_2x,777,0,2da040e126ab,SPENTO
41,2e75d0d05c6f,S02_linocut,baseline,4242145,0,2e75d0d05c6f,SPENTO
42,2ec566e9d681,S04_gouache,blockshuf_neg_2x,4242145,0,2ec566e9d681,SPENTO
43,2f7633bc2f9e,S05_pencil,blockshuf_neg_1x,777,0,2f7633bc2f9e,SPENTO
44,307ff5b7e9a5,S06_pastel,baseline,777,0,307ff5b7e9a5,SPENTO
45,31a2a390efff,S01_oil,blockshuf_neg_1x,1337,0,31a2a390efff,SPENTO
46,32d6c5781ca0,S09_fresco,blockshuf_neg_1x,9999,0,32d6c5781ca0,SPENTO
47,3315a0f11058,S03_cyberpunk,preset_pos_2x,1337,0,3315a0f11058,ACCESO
