trial_id,style_id,trial_run,correct_blockshuf_2x_slot,correct_preset_pos_2x_slot,correct_blockshuf_1x_slot,correct_baseline_slot,slot_1_cond,slot_1_seed,slot_2_cond,slot_2_seed,slot_3_cond,slot_3_seed,slot_4_cond,slot_4_seed,slot_1_orig,slot_2_orig,slot_3_orig,slot_4_orig
1,S01_oil,1,2,3,1,4,blockshuf_neg_1x,42,blockshuf_neg_2x,4242145,preset_pos_2x,1337,baseline,777,S01_oil_blockshuf_neg_1x_seed42_00001_.png,S01_oil_blockshuf_neg_2x_seed4242145_00001_.png,S01_oil_preset_pos_2x_seed1337_00001_.png,S01_oil_baseline_seed777_00001_.png
2,S01_oil,2,3,1,4,2,preset_pos_2x,42,baseline,777,blockshuf_neg_2x,4242145,blockshuf_neg_1x,1337,S01_oil_preset_pos_2x_seed42_00001_.png,S01_oil_baseline_seed777_00001_.png,S01_oil_blockshuf_neg_2x_seed4242145_00001_.png,S01_oil_blockshuf_neg_1x_seed1337_00001_.png
3,S02_linocut,1,4,2,3,1,baseline,1337,preset_pos_2x,9999,blockshuf_neg_1x,4242145,blockshuf_neg_2x,777,S02_linocut_baseline_seed1337_00001_.png,S02_linocut_preset_pos_2x_seed9999_00001_.png,S02_linocut_blockshuf_neg_1x_seed4242145_00001_.png,S02_linocut_blockshuf_neg_2x_seed777_00001_.png
4,S02_linocut,2,4,1,3,2,preset_pos_2x,1337,baseline,777,blockshuf_neg_1x,42,blockshuf_neg_2x,9999,S02_linocut_preset_pos_2x_seed1337_00001_.png,S02_linocut_baseline_seed777_00001_.png,S02_linocut_blockshuf_neg_1x_seed42_00001_.png,S02_linocut_blockshuf_neg_2x_seed9999_00001_.png
5,S03_cyberpunk,1,2,1,3,4,preset_pos_2x,777,blockshuf_neg_2x,9999,blockshuf_neg_1x,1337,baseline,42,S03_cyberpunk_preset_pos_2x_seed777_00001_.png,S03_cyberpunk_blockshuf_neg_2x_seed9999_00001_.png,S03_cyberpunk_blockshuf_neg_1x_seed1337_00001_.png,S03_cyberpunk_baseline_seed42_00001_.png
6,S03_cyberpunk,2,1,2,4,3,blockshuf_neg_2x,1337,preset_pos_2x,9999,baseline,42,blockshuf_neg_1x,777,S03_cyberpunk_blockshuf_neg_2x_seed1337_00001_.png,S03_cyberpunk_preset_pos_2x_seed9999_00001_.png,S03_cyberpunk_baseline_seed42_00001_.png,S03_cyberpunk_blockshuf_neg_1x_seed777_00001_.png
7,S04_gouache,1,1,4,2,3,blockshuf_neg_2x,9999,blockshuf_neg_1x,4242145,baseline,42,preset_pos_2x,1337,S04_gouache_blockshuf_neg_2x_seed9999_00001_.png,S04_gouache_blockshuf_neg_1x_seed4242145_00001_.png,S04_gouache_baseline_seed42_00001_.png,S04_gouache_preset_pos_2x_seed1337_00001_.png
8,S04_gouache,2,2,4,1,3,blockshuf_neg_1x,9999,blockshuf_neg_2x,777,baseline,1337,preset_pos_2x,42,S04_gouache_blockshuf_neg_1x_seed9999_00001_.png,S04_gouache_blockshuf_neg_2x_seed777_00001_.png,S04_gouache_baseline_seed1337_00001_.png,S04_gouache_preset_pos_2x_seed42_00001_.png
9,S05_pencil,1,2,3,4,1,baseline,42,blockshuf_neg_2x,9999,preset_pos_2x,4242145,blockshuf_neg_1x,777,S05_pencil_baseline_seed42_00001_.png,S05_pencil_blockshuf_neg_2x_seed9999_00001_.png,S05_pencil_preset_pos_2x_seed4242145_00001_.png,S05_pencil_blockshuf_neg_1x_seed777_00001_.png
10,S05_pencil,2,1,4,3,2,blockshuf_neg_2x,1337,baseline,777,blockshuf_neg_1x,4242145,preset_pos_2x,9999,S05_pencil_blockshuf_neg_2x_seed1337_00001_.png,S05_pencil_baseline_seed777_00001_.png,S05_pencil_blockshuf_neg_1x_seed4242145_00001_.png,S05_pencil_preset_pos_2x_seed9999_00001_.png
