trial_id,style_id,chosen_blockshuf_2x_slot,chosen_preset_pos_2x_slot,duration_ms,timestamp_ms
1,S01_oil,2,3,30354,1789753259646
2,S01_oil,4,1,49292,1789753308941
3,S02_linocut,4,2,44156,1789753353101
4,S02_linocut,1,4,56196,1789753409301
5,S03_cyberpunk,3,2,54766,1789753464070
6,S03_cyberpunk,2,3,38405,1789753502478
7,S04_gouache,1,4,12139,1789753514620
8,S04_gouache,2,4,36495,1789753551118
9,S05_pencil,2,3,9374,1789753560509
10,S05_pencil,1,4,7224,1789753567742
11,S06_pastel,3,4,20317,1789753588062
12,S06_pastel,4,2,9557,1789753597622
13,S07_comic,3,2,13501,1789753611126
14,S07_comic,4,3,32278,1789753643413
15,S08_papercraft,4,1,11100,1789753654525
16,S08_papercraft,3,2,14150,1789753668678
17,S09_fresco,4,1,20181,1789753688862
18,S09_fresco,1,2,14421,1789753703286
19,S10_synthwave,3,4,13100,1789753716389
20,S10_synthwave,4,1,12988,1789753729381
