A,S,coh,pair,cos_pm,ci_hi,ci_lo,n_cells,n_prompts,null_p95,p,ratio,space
0.222415,0.291094,0.245483,preset,0.25942,,,50,10,0.083153,0.00175,0.764063,RAW
0.219404,0.295249,0.17451,blockshuffle,0.283908,,,50,10,0.058614,0.002,0.743115,RAW
0.221202,0.289478,0.13577,randsign,0.259958,,,50,10,0.053485,0.0018,0.764142,RAW
,,0.109713,preset-randsign,,0.212914,0.012257,,10,,0.01325,,RAW
,,0.070973,preset-blockshuffle,,0.171033,-0.023116,,10,,0.0668,,RAW
,,0.03874,blockshuffle-randsign,,0.114986,-0.048559,,10,,0.1704,,RAW
0.221376,0.299242,0.223044,preset,0.288538,,,50,10,0.070952,5e-05,0.73979,COLOUR-NORMALISED
0.224287,0.302628,0.161501,blockshuffle,0.287341,,,50,10,0.061554,0.00175,0.741133,COLOUR-NORMALISED
0.220862,0.297453,0.096688,randsign,0.293281,,,50,10,0.044673,0.00315,0.742512,COLOUR-NORMALISED
,,0.126355,preset-randsign,,0.223156,0.044077,,10,,0.0011,,COLOUR-NORMALISED
,,0.061543,preset-blockshuffle,,0.177162,-0.049375,,10,,0.1506,,COLOUR-NORMALISED
,,0.064813,blockshuffle-randsign,,0.162679,-0.029737,,10,,0.0889,,COLOUR-NORMALISED
