family,prompt_sha1,seed,pos_arm,neg_arm,delta,matches_prediction
preset,0a1c94584d,1337,2.401074,2.842987,-0.441913,yes
preset,0a1c94584d,42,2.398794,2.83771,-0.438916,yes
preset,0a1c94584d,4242145,2.312654,2.693491,-0.380836,yes
preset,0a1c94584d,777,2.301059,2.791135,-0.490076,yes
preset,0a1c94584d,9999,2.375913,2.775749,-0.399836,yes
preset,0aa12a28b0,1337,2.623522,2.949468,-0.325946,yes
preset,0aa12a28b0,42,2.580163,2.954919,-0.374756,yes
preset,0aa12a28b0,4242145,2.57337,2.906478,-0.333108,yes
preset,0aa12a28b0,777,2.5141,2.945331,-0.431231,yes
preset,0aa12a28b0,9999,2.561797,2.934095,-0.372298,yes
preset,0dee1ceb78,1337,2.992594,3.401706,-0.409112,yes
preset,0dee1ceb78,42,3.078179,3.374452,-0.296273,yes
preset,0dee1ceb78,4242145,2.98882,3.39754,-0.408721,yes
preset,0dee1ceb78,777,3.01929,3.331618,-0.312328,yes
preset,0dee1ceb78,9999,3.04403,3.352136,-0.308105,yes
preset,2adb8ea1cd,1337,2.77154,3.128111,-0.356571,yes
preset,2adb8ea1cd,42,2.674339,3.163665,-0.489326,yes
preset,2adb8ea1cd,4242145,2.675379,3.071376,-0.395996,yes
preset,2adb8ea1cd,777,2.719897,3.175751,-0.455855,yes
preset,2adb8ea1cd,9999,2.81087,3.144111,-0.333242,yes
preset,2b36c75165,1337,2.804612,2.974046,-0.169435,yes
preset,2b36c75165,42,2.702888,3.07711,-0.374221,yes
preset,2b36c75165,4242145,2.718956,2.91463,-0.195674,yes
preset,2b36c75165,777,2.785718,2.958144,-0.172426,yes
preset,2b36c75165,9999,2.71363,2.95467,-0.24104,yes
preset,2f3689f658,1337,3.004972,3.170177,-0.165205,yes
preset,2f3689f658,42,3.087471,3.251995,-0.164524,yes
preset,2f3689f658,4242145,2.980506,3.193959,-0.213453,yes
preset,2f3689f658,777,2.999348,3.074047,-0.074699,yes
preset,2f3689f658,9999,3.004349,3.154358,-0.15001,yes
preset,3d8a617173,1337,3.116335,3.257746,-0.141411,yes
preset,3d8a617173,42,3.143075,3.24644,-0.103365,yes
preset,3d8a617173,4242145,2.99455,3.25393,-0.25938,yes
preset,3d8a617173,777,2.803492,3.130627,-0.327135,yes
preset,3d8a617173,9999,3.159346,3.286896,-0.12755,yes
preset,402376662d,1337,3.022746,3.274312,-0.251567,yes
preset,402376662d,42,2.918071,3.336214,-0.418143,yes
preset,402376662d,4242145,2.961348,3.329853,-0.368505,yes
preset,402376662d,777,3.020386,3.258025,-0.23764,yes
preset,402376662d,9999,3.03345,3.266009,-0.232559,yes
preset,5421ab290b,1337,2.466555,3.10078,-0.634225,yes
preset,5421ab290b,42,2.380692,3.16261,-0.781918,yes
preset,5421ab290b,4242145,2.440089,3.09678,-0.656691,yes
