subject,treatment,mag_free,mag_fixed,ratio_fixed_to_free,directional_cosine
B1_dwarf,preset_pos,27.748313,19.959831,0.719317,-0.217236
B1_dwarf,blockshuf_neg,16.309941,22.738845,1.394171,-0.267153
B1_dwarf,rand_pos,63.786232,27.776292,0.435459,0.645287
B2_elf,preset_pos,181.963349,47.124902,0.258980,0.382860
B2_elf,blockshuf_neg,202.545934,80.343946,0.396670,-0.151818
B2_elf,rand_pos,317.117447,68.787319,0.216914,0.010515
B3_cyborg,preset_pos,305.245538,18.765584,0.061477,0.114490
B3_cyborg,blockshuf_neg,149.172334,26.145505,0.175270,-0.061881
B3_cyborg,rand_pos,212.666789,38.454623,0.180821,0.049872
B4_genasi,preset_pos,32.742496,20.386379,0.622628,0.257865
B4_genasi,blockshuf_neg,73.861014,21.715433,0.294004,0.236693
B4_genasi,rand_pos,40.615240,33.178143,0.816889,0.663638
