prompt_id,condition,base_edge_density,cond_edge_density,sigma_dist_ed,base_lbp_entropy,cond_lbp_entropy,sigma_dist_lbp,quality_gate_status
I06,chaos_edges,0.102038,0.136823,7.749,3.084942,3.157586,2.236,DEGRADED
I06,chaos_mid,0.102038,0.111295,2.062,3.084942,2.894561,5.861,DEGRADED
I06,chaos_attn,0.102038,0.099743,0.511,3.084942,3.021921,1.940,PASS
I06,chaos_mlp,0.102038,0.097477,1.016,3.084942,3.026407,1.802,PASS
I06,chaos_ramp,0.102038,0.094532,1.672,3.084942,3.005698,2.440,PASS
I06,chaos_rand2,0.102038,0.097675,0.972,3.084942,2.854408,7.097,DEGRADED
I07,chaos_edges,0.098811,0.083518,4.989,3.075177,2.849179,5.626,DEGRADED
I07,chaos_mid,0.098811,0.102807,1.304,3.075177,2.826860,6.182,DEGRADED
I07,chaos_attn,0.098811,0.100840,0.662,3.075177,2.937729,3.422,DEGRADED
I07,chaos_mlp,0.098811,0.094709,1.338,3.075177,2.987796,2.175,PASS
I07,chaos_ramp,0.098811,0.092379,2.098,3.075177,2.956993,2.942,PASS
I07,chaos_rand2,0.098811,0.108449,3.144,3.075177,3.035863,0.979,DEGRADED
I20,chaos_edges,0.103406,0.035983,11.579,3.049152,2.490095,5.029,DEGRADED
I20,chaos_mid,0.103406,0.092113,1.939,3.049152,2.619993,3.860,DEGRADED
I20,chaos_attn,0.103406,0.099785,0.622,3.049152,2.702764,3.116,DEGRADED
I20,chaos_mlp,0.103406,0.083334,3.447,3.049152,2.300642,6.733,DEGRADED
I20,chaos_ramp,0.103406,0.083615,3.399,3.049152,2.683725,3.287,DEGRADED
I20,chaos_rand2,0.103406,0.091427,2.057,3.049152,2.682226,3.300,DEGRADED
I24,chaos_edges,0.117831,0.127991,2.629,3.147848,3.124791,2.350,PASS
I24,chaos_mid,0.117831,0.118947,0.289,3.147848,3.063474,8.600,DEGRADED
I24,chaos_attn,0.117831,0.117628,0.053,3.147848,3.130161,1.803,PASS
I24,chaos_mlp,0.117831,0.110542,1.886,3.147848,3.112024,3.651,DEGRADED
I24,chaos_ramp,0.117831,0.107135,2.768,3.147848,3.125934,2.234,PASS
I24,chaos_rand2,0.117831,0.111825,1.554,3.147848,3.071375,7.794,DEGRADED
