amplitude,space,condition_style,condition_subject,c_style_centered,c_subject_centered,delta_c_centered,c_style_uncentered,c_subject_uncentered,delta_c_uncentered,sign_agrees
Ampiezza 1.0x,"1. 24-D Completo (L*, a*, b*)",preset_pos_1x,preset_pos,0.0319,0.0328,0.0009,0.2908,0.1033,-0.1874,NO
Ampiezza 1.0x,2. 8-D Solo Luminanza (L*),preset_pos_1x,preset_pos,0.2005,0.0289,-0.1715,0.6336,0.0993,-0.5342,yes
Ampiezza 1.0x,"3. 16-D Solo Cromatico (a*, b*)",preset_pos_1x,preset_pos,-0.0577,0.0219,0.0796,0.0817,0.0915,0.0098,yes
Ampiezza 1.0x,"1. 24-D Completo (L*, a*, b*)",blockshuf_neg_1x,blockshuf_neg,-0.0504,0.0206,0.0711,0.0062,0.0604,0.0542,yes
Ampiezza 1.0x,2. 8-D Solo Luminanza (L*),blockshuf_neg_1x,blockshuf_neg,-0.0507,-0.0288,0.0219,-0.0754,0.0898,0.1652,yes
Ampiezza 1.0x,"3. 16-D Solo Cromatico (a*, b*)",blockshuf_neg_1x,blockshuf_neg,-0.0394,0.0608,0.1002,0.0367,0.0488,0.0121,yes
Ampiezza 1.0x,"1. 24-D Completo (L*, a*, b*)",rand_pos_1x,rand_pos,0.0322,0.0885,0.0564,0.1231,0.1115,-0.0116,NO
Ampiezza 1.0x,2. 8-D Solo Luminanza (L*),rand_pos_1x,rand_pos,0.2104,0.1109,-0.0995,0.2757,0.2348,-0.0409,yes
Ampiezza 1.0x,"3. 16-D Solo Cromatico (a*, b*)",rand_pos_1x,rand_pos,-0.0433,0.0826,0.1259,0.0621,0.0138,-0.0483,NO
Ampiezza 2.0x,"1. 24-D Completo (L*, a*, b*)",preset_pos_2x,preset_pos,0.0423,0.1595,0.1172,0.2598,0.0851,-0.1747,NO
Ampiezza 2.0x,2. 8-D Solo Luminanza (L*),preset_pos_2x,preset_pos,0.0522,0.0842,0.0319,0.2365,0.0871,-0.1494,NO
Ampiezza 2.0x,"3. 16-D Solo Cromatico (a*, b*)",preset_pos_2x,preset_pos,0.0046,0.2159,0.2112,0.1965,0.074,-0.1225,NO
Ampiezza 2.0x,"1. 24-D Completo (L*, a*, b*)",blockshuf_neg_2x,blockshuf_neg,0.0491,0.1482,0.0991,0.2502,0.0288,-0.2214,NO
Ampiezza 2.0x,2. 8-D Solo Luminanza (L*),blockshuf_neg_2x,blockshuf_neg,0.0059,0.1324,0.1265,0.2243,0.0394,-0.1849,NO
Ampiezza 2.0x,"3. 16-D Solo Cromatico (a*, b*)",blockshuf_neg_2x,blockshuf_neg,0.108,0.1791,0.0711,0.3177,0.0414,-0.2764,NO
Ampiezza 2.0x,"1. 24-D Completo (L*, a*, b*)",rand_pos_2x,rand_pos,0.0269,0.1145,0.0876,0.1513,0.1208,-0.0305,NO
Ampiezza 2.0x,2. 8-D Solo Luminanza (L*),rand_pos_2x,rand_pos,0.1359,0.1202,-0.0156,0.3108,0.2271,-0.0837,yes
Ampiezza 2.0x,"3. 16-D Solo Cromatico (a*, b*)",rand_pos_2x,rand_pos,-0.0199,0.1254,0.1453,0.076,0.0349,-0.0411,NO
