prompt_id,condition,lit,off,cant_tell,n_scorable,rate
S1_photo,baseline,3,2,0,5,0.6000
S1_photo,blockshuf_neg_1x,0,5,0,5,0.0000
S1_photo,blockshuf_neg_2x,0,5,0,5,0.0000
S1_photo,preset_pos_1x,4,1,0,5,0.8000
S1_photo,preset_pos_2x,5,0,0,5,1.0000
S1_photo,rand_pos_1x,2,3,0,5,0.4000
S1_photo,rand_pos_2x,0,4,1,4,0.0000
S2_watercolor,baseline,0,3,2,3,0.0000
S2_watercolor,blockshuf_neg_1x,0,4,1,4,0.0000
S2_watercolor,blockshuf_neg_2x,0,5,0,5,0.0000
S2_watercolor,preset_pos_1x,0,2,3,2,0.0000
S2_watercolor,preset_pos_2x,5,0,0,5,1.0000
S2_watercolor,rand_pos_1x,0,5,0,5,0.0000
S2_watercolor,rand_pos_2x,0,4,1,4,0.0000
S3_lowpoly,baseline,1,4,0,5,0.2000
S3_lowpoly,blockshuf_neg_1x,3,1,1,4,0.7500
S3_lowpoly,blockshuf_neg_2x,0,5,0,5,0.0000
S3_lowpoly,preset_pos_1x,2,3,0,5,0.4000
S3_lowpoly,preset_pos_2x,5,0,0,5,1.0000
S3_lowpoly,rand_pos_1x,1,4,0,5,0.2000
S3_lowpoly,rand_pos_2x,0,3,2,3,0.0000
S4_claymation,baseline,4,1,0,5,0.8000
S4_claymation,blockshuf_neg_1x,3,2,0,5,0.6000
S4_claymation,blockshuf_neg_2x,0,5,0,5,0.0000
S4_claymation,preset_pos_1x,5,0,0,5,1.0000
S4_claymation,preset_pos_2x,5,0,0,5,1.0000
S4_claymation,rand_pos_1x,0,5,0,5,0.0000
S4_claymation,rand_pos_2x,0,5,0,5,0.0000
S5_ukiyoe,baseline,0,5,0,5,0.0000
S5_ukiyoe,blockshuf_neg_1x,0,5,0,5,0.0000
S5_ukiyoe,blockshuf_neg_2x,0,5,0,5,0.0000
S5_ukiyoe,preset_pos_1x,0,5,0,5,0.0000
S5_ukiyoe,preset_pos_2x,0,5,0,5,0.0000
S5_ukiyoe,rand_pos_1x,0,5,0,5,0.0000
S5_ukiyoe,rand_pos_2x,0,5,0,5,0.0000
S6_pixel,baseline,0,5,0,5,0.0000
S6_pixel,blockshuf_neg_1x,0,5,0,5,0.0000
S6_pixel,blockshuf_neg_2x,0,4,1,4,0.0000
S6_pixel,preset_pos_1x,0,5,0,5,0.0000
S6_pixel,preset_pos_2x,1,2,2,3,0.3333
S6_pixel,rand_pos_1x,0,4,1,4,0.0000
S6_pixel,rand_pos_2x,0,5,0,5,0.0000
S7_glass,baseline,2,0,3,2,1.0000
S7_glass,blockshuf_neg_1x,0,5,0,5,0.0000
S7_glass,blockshuf_neg_2x,0,5,0,5,0.0000
S7_glass,preset_pos_1x,5,0,0,5,1.0000
S7_glass,preset_pos_2x,5,0,0,5,1.0000
S7_glass,rand_pos_1x,3,2,0,5,0.6000
S7_glass,rand_pos_2x,2,3,0,5,0.4000
S8_charcoal,baseline,0,5,0,5,0.0000
S8_charcoal,blockshuf_neg_1x,0,5,0,5,0.0000
S8_charcoal,blockshuf_neg_2x,0,5,0,5,0.0000
S8_charcoal,preset_pos_1x,0,4,1,4,0.0000
S8_charcoal,preset_pos_2x,5,0,0,5,1.0000
S8_charcoal,rand_pos_1x,1,4,0,5,0.2000
S8_charcoal,rand_pos_2x,0,5,0,5,0.0000
