order,hash_id,prompt_id,prompt_sha1,cond_name,seed,src_path
1,922ff1de50f0,S1_photo,3dd4956c29,baseline,777,S1_photo_baseline_seed777_00001_.png
2,26ceda9073c0,S8_charcoal,eda77bf9e8,rand_pos_2x,4242145,S8_charcoal_rand_pos_2x_seed4242145_00001_.png
3,a6bdc77e3be1,S6_pixel,b369f4266a,preset_pos_2x,777,S6_pixel_preset_pos_2x_seed777_00001_.png
4,cdfd5777e419,S2_watercolor,aded1ad92b,baseline,9999,S2_watercolor_baseline_seed9999_00001_.png
5,53854242bcc0,S8_charcoal,eda77bf9e8,blockshuf_neg_2x,4242145,S8_charcoal_blockshuf_neg_2x_seed4242145_00001_.png
6,71feba0e73c2,S7_glass,80cb4b3354,rand_pos_1x,4242145,S7_glass_rand_pos_1x_seed4242145_00001_.png
7,c56be7345657,S4_claymation,47e50abd86,baseline,4242145,S4_claymation_baseline_seed4242145_00001_.png
8,8d9fcf7dee58,S5_ukiyoe,831f2d868c,blockshuf_neg_2x,4242145,S5_ukiyoe_blockshuf_neg_2x_seed4242145_00001_.png
9,ff7fc2d95349,S1_photo,3dd4956c29,blockshuf_neg_2x,4242145,S1_photo_blockshuf_neg_2x_seed4242145_00001_.png
10,f003a5f4d8c5,S5_ukiyoe,831f2d868c,rand_pos_1x,4242145,S5_ukiyoe_rand_pos_1x_seed4242145_00001_.png
11,6707476e6324,S6_pixel,b369f4266a,baseline,4242145,S6_pixel_baseline_seed4242145_00001_.png
12,67075882b366,S4_claymation,47e50abd86,blockshuf_neg_1x,4242145,S4_claymation_blockshuf_neg_1x_seed4242145_00001_.png
13,ec02342b627f,S7_glass,80cb4b3354,baseline,9999,S7_glass_baseline_seed9999_00001_.png
14,0376e90431e8,S2_watercolor,aded1ad92b,preset_pos_1x,9999,S2_watercolor_preset_pos_1x_seed9999_00001_.png
15,75af321877f3,S1_photo,3dd4956c29,blockshuf_neg_2x,777,S1_photo_blockshuf_neg_2x_seed777_00001_.png
16,288253080b08,S5_ukiyoe,831f2d868c,blockshuf_neg_1x,42,S5_ukiyoe_blockshuf_neg_1x_seed42_00001_.png
17,46387e2a12fe,S2_watercolor,aded1ad92b,blockshuf_neg_1x,4242145,S2_watercolor_blockshuf_neg_1x_seed4242145_00001_.png
18,6441b9b2cf62,S3_lowpoly,eb2c25425b,baseline,1337,S3_lowpoly_baseline_seed1337_00001_.png
19,2ecc80cf44e4,S8_charcoal,eda77bf9e8,rand_pos_1x,42,S8_charcoal_rand_pos_1x_seed42_00001_.png
20,22e53d4d698d,S2_watercolor,aded1ad92b,rand_pos_1x,4242145,S2_watercolor_rand_pos_1x_seed4242145_00001_.png
21,ab806e1587f5,S5_ukiyoe,831f2d868c,rand_pos_2x,777,S5_ukiyoe_rand_pos_2x_seed777_00001_.png
22,fe2a9032a55f,S4_claymation,47e50abd86,baseline,9999,S4_claymation_baseline_seed9999_00001_.png
23,5d36e1834abc,S6_pixel,b369f4266a,rand_pos_1x,42,S6_pixel_rand_pos_1x_seed42_00001_.png
24,44214753e5ec,S4_claymation,47e50abd86,rand_pos_2x,9999,S4_claymation_rand_pos_2x_seed9999_00001_.png
