amplitude,space,condition,r_half_style_2v3,r5_style_spearman_brown,r_half_subject_2v3,r5_subject_spearman_brown
Ampiezza 1.0x,"1. 24-D Completo (L*, a*, b*)",preset_pos_1x,0.3038,0.4660,0.1964,0.3284
Ampiezza 1.0x,"1. 24-D Completo (L*, a*, b*)",blockshuf_neg_1x,0.3984,0.5698,0.3072,0.4700
Ampiezza 1.0x,"1. 24-D Completo (L*, a*, b*)",rand_pos_1x,0.3782,0.5489,0.1559,0.2697
Ampiezza 1.0x,2. 8-D Solo Luminanza (L*),preset_pos_1x,0.2455,0.3942,0.3339,0.5006
Ampiezza 1.0x,2. 8-D Solo Luminanza (L*),blockshuf_neg_1x,0.3974,0.5688,0.2041,0.3390
Ampiezza 1.0x,2. 8-D Solo Luminanza (L*),rand_pos_1x,0.3222,0.4874,0.1422,0.2489
Ampiezza 1.0x,"3. 16-D Solo Cromatico (a*, b*)",preset_pos_1x,0.3400,0.5075,0.1293,0.2290
Ampiezza 1.0x,"3. 16-D Solo Cromatico (a*, b*)",blockshuf_neg_1x,0.3833,0.5542,0.3463,0.5144
Ampiezza 1.0x,"3. 16-D Solo Cromatico (a*, b*)",rand_pos_1x,0.3647,0.5345,0.1677,0.2872
Ampiezza 1.0x,4. 5-D Asse Tessitura,preset_pos_1x,0.8190,0.9005,0.6230,0.7677
Ampiezza 1.0x,4. 5-D Asse Tessitura,blockshuf_neg_1x,0.9287,0.9630,0.5951,0.7462
Ampiezza 1.0x,4. 5-D Asse Tessitura,rand_pos_1x,0.7493,0.8567,0.6069,0.7553
Ampiezza 2.0x,"1. 24-D Completo (L*, a*, b*)",preset_pos_2x,0.5193,0.6836,0.1939,0.3249
Ampiezza 2.0x,"1. 24-D Completo (L*, a*, b*)",blockshuf_neg_2x,0.4594,0.6296,0.3295,0.4957
Ampiezza 2.0x,"1. 24-D Completo (L*, a*, b*)",rand_pos_2x,0.5302,0.6930,0.1988,0.3316
Ampiezza 2.0x,2. 8-D Solo Luminanza (L*),preset_pos_2x,0.5357,0.6977,0.3220,0.4871
Ampiezza 2.0x,2. 8-D Solo Luminanza (L*),blockshuf_neg_2x,0.5685,0.7249,0.2129,0.3511
Ampiezza 2.0x,2. 8-D Solo Luminanza (L*),rand_pos_2x,0.4325,0.6038,0.1771,0.3008
Ampiezza 2.0x,"3. 16-D Solo Cromatico (a*, b*)",preset_pos_2x,0.4793,0.6480,0.1445,0.2524
Ampiezza 2.0x,"3. 16-D Solo Cromatico (a*, b*)",blockshuf_neg_2x,0.3146,0.4786,0.3900,0.5612
Ampiezza 2.0x,"3. 16-D Solo Cromatico (a*, b*)",rand_pos_2x,0.5786,0.7330,0.2193,0.3597
Ampiezza 2.0x,4. 5-D Asse Tessitura,preset_pos_2x,0.9320,0.9648,0.7568,0.8616
Ampiezza 2.0x,4. 5-D Asse Tessitura,blockshuf_neg_2x,0.9583,0.9787,0.8092,0.8946
Ampiezza 2.0x,4. 5-D Asse Tessitura,rand_pos_2x,0.8314,0.9079,0.7126,0.8322
